gene_name,gene_id,start,end,chromosome,chromosome_nc,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
SCGB1C1,gene-SCGB1C1,2628,4911,chr1,NC_023642.1,0.0,NA,NA,NA,NA,NA
ODF3,gene-ODF3,4916,10379,chr1,NC_023642.1,0.0,NA,NA,NA,NA,NA
BET1L,gene-BET1L,14423,18444,chr1,NC_023642.1,115.177885139455,-0.110504419676772,0.2107920507215,-0.524234283496636,0.600115598375929,1.0
RIC8A,gene-RIC8A,18597,25398,chr1,NC_023642.1,159.076235728442,-0.154235911536912,0.195087032757243,-0.790600530219947,0.429177137340015,1.0
SIRT3,gene-SIRT3,25740,49471,chr1,NC_023642.1,5.48512802132339,0.195752849182748,0.91847030630866,0.213129208247876,0.831226183096897,1.0
LOC103234607,gene-LOC103234607,28649,29165,chr1,NC_023642.1,1.3170374363263,0.219938672772665,2.12221300217375,0.10363647407088,0.917457841378798,1.0
PSMD13,gene-PSMD13,49510,67353,chr1,NC_023642.1,339.795196282435,-0.0656931984067964,0.140825112173069,-0.466487811677095,0.640866369846073,1.0
NLRP6,gene-NLRP6,92213,99919,chr1,NC_023642.1,0.231526669653617,0.0,5.39771667955942,0.0,1.0,1.0
ATHL1,gene-ATHL1,102388,109337,chr1,NC_023642.1,4.42559692517663,-0.148485819039521,0.974820303882159,-0.152321221099094,0.878933588196718,1.0
IFITM5,gene-IFITM5,112164,113988,chr1,NC_023642.1,0.0,NA,NA,NA,NA,NA
LOC103241759,gene-LOC103241759,124603,127671,chr1,NC_023642.1,2.05855000512726,-0.512405383542772,1.49040688048969,-0.343802347030508,0.730994935036563,1.0
IFITM1,gene-IFITM1,128309,129543,chr1,NC_023642.1,4.83349839741731,0.336509936770097,1.06133226502786,0.317063701781708,0.75119526673926,1.0
LOC103241765,gene-LOC103241765,129666,136899,chr1,NC_023642.1,0.176560492996078,1.10018502536501,5.3959432870051,0.203891139481499,0.838438569311586,1.0
IFITM3,gene-IFITM3,147228,148078,chr1,NC_023642.1,NA,NA,NA,NA,NA,NA
B4GALNT4,gene-B4GALNT4,194763,206351,chr1,NC_023642.1,49.8774047658546,-0.0462061469896569,0.371674792153665,-0.124318753827549,0.901062899080346,1.0
PKP3,gene-PKP3,214986,223958,chr1,NC_023642.1,70.20971173062,-0.130429917142438,0.286161432359223,-0.455791390429956,0.648539995815736,1.0
SIGIRR,gene-SIGIRR,224727,234769,chr1,NC_023642.1,14.7069549247003,-0.0553558149114429,0.602617546651973,-0.0918589497086321,0.926810106898709,1.0
ANO9,gene-ANO9,235246,253391,chr1,NC_023642.1,0.0925140410904046,0.0,5.39771667958253,0.0,1.0,1.0
PTDSS2,gene-PTDSS2,265181,302521,chr1,NC_023642.1,0.394043139465499,0.0,4.89010440443443,0.0,1.0,1.0
RNH1,gene-RNH1,305960,321021,chr1,NC_023642.1,227.702229622948,-0.229783028229204,0.177360509286345,-1.29557041279253,0.195123528037911,1.0
LOC103243628,gene-LOC103243628,309542,310479,chr1,NC_023642.1,4.29390571591069,0.0897831441196354,1.12526390839507,0.0797885220078645,0.936405453329367,1.0
HRAS,gene-HRAS,343613,345782,chr1,NC_023642.1,86.8525291520972,-0.0360569175638366,0.254654258186236,-0.141591653800138,0.88740255981283,1.0
LRRC56,gene-LRRC56,352131,370276,chr1,NC_023642.1,19.5513859828407,-0.674685639407359,0.550578897247384,-1.22541136752688,0.220420266054887,1.0
C1H11orf35,gene-C1H11orf35,370216,374411,chr1,NC_023642.1,41.9348995951643,-0.20674375098039,0.385158090446666,-0.53677634225632,0.591422115142733,1.0
RASSF7,gene-RASSF7,374723,379582,chr1,NC_023642.1,34.9117987591447,-0.0594148696384485,0.444887608355344,-0.133550291180491,0.893758193832257,1.0
LOC103222129,gene-LOC103222129,382280,384748,chr1,NC_023642.1,16.2587424248452,-0.0471816257561697,0.594340146414379,-0.0793848876620801,0.936726488602502,1.0
PHRF1,gene-PHRF1,391692,429982,chr1,NC_023642.1,587.552797810046,-0.299659256757391,0.149828974106281,-2.00000873359,0.0454993208346646,1.0
IRF7,gene-IRF7,430412,433959,chr1,NC_023642.1,0.115025653459332,0.0,5.39771667962051,0.0,1.0,1.0
CDHR5,gene-CDHR5,435562,443116,chr1,NC_023642.1,0.175300876917325,1.08414583103109,5.39700328814362,0.200879223737513,0.840793013626873,1.0
SCT,gene-SCT,444487,445535,chr1,NC_023642.1,0.0,NA,NA,NA,NA,NA
DRD4,gene-DRD4,454018,459582,chr1,NC_023642.1,0.803827878775043,0.605083492180373,2.78217546463469,0.217485740878612,0.827829818200035,1.0
DEAF1,gene-DEAF1,487497,510440,chr1,NC_023642.1,NA,NA,NA,NA,NA,NA
TMEM80,gene-TMEM80,510440,521231,chr1,NC_023642.1,48.9420131116816,-0.205426598498847,0.342946071071476,-0.59900554584873,0.54916918633279,1.0
EPS8L2,gene-EPS8L2,523811,540781,chr1,NC_023642.1,33.3231438853309,-0.193046417634983,0.41718422363583,-0.462736620173581,0.64355316598082,1.0
