seqid,start,end,id,name,seqid_old,start_id,end_id,start_pos,start_x,start_y,start_z,end_pos,end_x,end_y,end_z,middle,middle_x,middle_y,middle_z,middle_percent,middle_pos,center_of_mass,distance_from_com
chr20,1032837,1034392,gene-LOC103223653,LOC103223653,NC_023661.1,10,11,"[38.271416199200004, 21.5811760926, -1.4453592959000001]",38.2714161992,21.5811760926,-1.4453592959,"[38.2545935872, 21.575235681600002, -1.4416750344]",38.2545935872,21.5752356816,-1.4416750344,1033614,38.2545935872,21.5752356816,-1.4416750344,34.392,"[38.2545935872, 21.575235681600002, -1.4416750344]","[36.43118702909648, 17.974719701378255, 1.4678265467075036]",4.975311673697855
chr20,1221938,1256230,gene-LOC103225858,LOC103225858,NC_023661.1,12,13,"[37.5994042954, 20.965507577, -0.34889582539999997]",37.5994042954,20.965507577,-0.3488958253999999,"[37.858422059, 20.835763795, -0.5628196089999999]",37.858422059,20.835763795,-0.5628196089999999,1239084,37.858422059,20.835763795,-0.5628196089999999,56.23,"[37.858422059, 20.835763795, -0.5628196089999999]","[36.43118702909648, 17.974719701378255, 1.4678265467075036]",3.7876241822442243
chr20,1271259,1289232,gene-HSD17B7,HSD17B7,NC_023661.1,12,13,"[37.9719406047, 20.7789015735, -0.6565750197]",37.9719406047,20.7789015735,-0.6565750197,"[38.1076960656, 20.710900728, -0.7686959856]",38.1076960656,20.710900728,-0.7686959856,1280245,38.1076960656,20.710900728,-0.7686959856,89.232,"[38.1076960656, 20.710900728, -0.7686959856]","[36.43118702909648, 17.974719701378255, 1.4678265467075036]",3.9114450267697696
chr20,1298636,1451872,gene-DDR2,DDR2,NC_023661.1,12,15,"[37.4094749984, 20.932994092533335, -0.8885645968000001]",37.4094749984,20.93299409253333,-0.8885645968000001,"[37.3718402368, 20.753534305066665, -1.9395796736]",37.3718402368,20.753534305066665,-1.9395796736,1375254,37.3718402368,20.753534305066665,-1.9395796736,83.95733333333332,"[37.3718402368, 20.753534305066665, -1.9395796736]","[36.43118702909648, 17.974719701378255, 1.4678265467075036]",4.4963380888257465
chr20,1489372,1527767,gene-UAP1,UAP1,NC_023661.1,14,16,"[37.1900292264, 20.2143424732, -1.900009064]",37.1900292264,20.2143424732,-1.900009064,"[36.9967564754, 20.233083072699998, -2.151957054]",36.9967564754,20.2330830727,-2.151957054,1508569,36.9967564754,20.2330830727,-2.151957054,63.883500000000005,"[36.9967564754, 20.233083072699998, -2.151957054]","[36.43118702909648, 17.974719701378255, 1.4678265467075036]",4.303824721276501
chr20,1564205,1594841,gene-UHMK1,UHMK1,NC_023661.1,15,16,"[36.8933331165, 20.421839698499998, -2.4984231535]",36.8933331165,20.4218396985,-2.4984231535,"[36.6706492233, 20.290463339699997, -2.6075700307]",36.6706492233,20.2904633397,-2.6075700307,1579523,36.6706492233,20.2904633397,-2.6075700307,94.841,"[36.6706492233, 20.290463339699997, -2.6075700307]","[36.43118702909648, 17.974719701378255, 1.4678265467075036]",4.693492090546779
chr20,1667247,1684951,gene-SH2D1B,SH2D1B,NC_023661.1,16,17,"[36.8937388497, 20.3892770048, -2.0733746763000003]",36.8937388497,20.3892770048,-2.0733746763000003,"[36.9623436201, 20.421115878400002, -1.9278991379000001]",36.9623436201,20.4211158784,-1.9278991379,1676099,36.9623436201,20.4211158784,-1.9278991379,84.951,"[36.9623436201, 20.421115878400002, -1.9278991379000001]","[36.43118702909648, 17.974719701378255, 1.4678265467075036]",4.218759830117875
chr20,1693668,2002603,gene-LOC103223662,LOC103223662,NC_023661.1,16,21,"[36.835302404240004, 20.04282866992, -2.48006958344]",36.83530240424,20.04282866992,-2.48006958344,"[37.50203974254, 19.29904912132, -1.99892803574]",37.50203974254,19.29904912132,-1.99892803574,1848135,37.50203974254,19.29904912132,-1.99892803574,80.5206,"[37.50203974254, 19.29904912132, -1.99892803574]","[36.43118702909648, 17.974719701378255, 1.4678265467075036]",3.8625071237906283
chr20,1703879,1707212,gene-C20H1orf111,C20H1orf111,NC_023661.1,17,18,"[37.0461892506, 20.4246309789, -1.8245190241]",37.0461892506,20.4246309789,-1.8245190241,"[37.0681250568, 20.4043966692, -1.8419436148000001]",37.0681250568,20.4043966692,-1.8419436148,1705545,37.0681250568,20.4043966692,-1.8419436148,7.212000000000001,"[37.0681250568, 20.4043966692, -1.8419436148000001]","[36.43118702909648, 17.974719701378255, 1.4678265467075036]",4.15494870499068
chr20,2053696,2094142,gene-OLFML2B,OLFML2B,NC_023661.1,20,21,"[37.8292131648, 19.499539776, -1.6804622528]",37.8292131648,19.499539776,-1.6804622528,"[37.727038479600004, 19.119590052, -1.8261406556000002]",37.7270384796,19.119590052,-1.8261406556,2073919,37.7270384796,19.119590052,-1.8261406556,94.142,"[37.727038479600004, 19.119590052, -1.8261406556000002]","[36.43118702909648, 17.974719701378255, 1.4678265467075036]",3.7202391094367
