chromosome,timepoint,gene_name,middle_x,middle_y,middle_z,cluster
chr23,24hrs,LOC103244258,-68.6118142014,42.5544486196,61.6582481922,-1
chr23,24hrs,RGMB,-68.572768517,42.6257985442,61.9168134187,-1
chr23,24hrs,LOC103244262,-68.706586465,42.428942809,61.9497473615,-1
chr23,24hrs,CHD1,-67.9087328525,42.9856620862,61.8620063077,-1
chr23,24hrs,LOC103244267,-67.6065412924,43.0984108548,62.1441380392,-1
chr23,24hrs,LOC103244266,-67.5563342848,43.0823376096,62.0141546784,-1
chr23,24hrs,LOC103244268,-68.14577636195,42.78677057655,62.157094851050005,-1
chr23,24hrs,LOC103244269,-68.315925792,41.7988372192,62.6491396734,-1
chr23,24hrs,LOC103244271,-67.7843896094,40.3794260855,61.83959403,-1
chr23,24hrs,LOC103244273,-68.2276354956,40.212987596,62.5265651224,-1
chr23,24hrs,LOC103244275,-67.68200399050001,39.8740609675,61.725002909,-1
chr23,24hrs,FAM174A,-68.6721694175,41.30461689,61.703256565,-1
chr23,24hrs,ST8SIA4,-68.5820688191,41.768412209400005,61.6262207676,-1
chr23,24hrs,LOC103245155,-67.532188196,41.979718096,60.582999192,-1
chr23,24hrs,SLCO4C1,-67.084480855,41.877030425,60.833852095,-1
chr23,24hrs,SLCO6A1,-67.1955910704,41.93661796,60.9676124512,-1
chr23,24hrs,LOC103244281,-67.2441265448,41.9574105016,61.0530347736,-1
chr23,24hrs,LOC103244280,-67.7160729557,42.0506272819,61.6076180799,-1
chr23,24hrs,LOC103244285,-67.5266334734,42.8180226694,62.6376286548,-1
chr23,24hrs,PAM,-67.9436606987,42.1118670925,63.26520704195,-1
chr23,24hrs,GIN1,-68.2588020802,41.9466457498,62.8056487988,-1
chr23,24hrs,PPIP5K2,-67.876682481,42.152210753,62.2415297215,-1
chr23,24hrs,C23H5orf30,-67.58450347875,41.92766947625,61.92020035625,-1
chr23,24hrs,LOC103244291,-66.9761328692,42.0018431312,61.4922915944,1
chr23,24hrs,LOC103244292,-66.6173099279,41.1841905696,61.2200747345,-1
chr23,24hrs,LOC103244293,-66.9000113624,40.557840417,61.7008811854,-1
chr23,24hrs,NUDT12,-66.8805553305,40.4082032321,61.7047729886,-1
chr23,24hrs,LOC103244296,-67.1080300096,42.1854636948,60.8289506194,-1
chr23,24hrs,LOC103244297,-68.01117634799999,41.81099605,60.882414941,-1
chr23,24hrs,LOC103244300,-67.6819519102,40.1137184216,62.2492326338,-1
chr23,24hrs,EFNA5,-67.79751544125,40.550735855,63.362527671875,-1
chr23,24hrs,FBXL17,-67.78893546753334,41.19746426335,62.87426871113333,-1
chr23,24hrs,LOC103244304,-68.21314668699999,41.8396687852,63.2599514018,-1
chr23,24hrs,LOC103244303,-68.308119978,41.9533312488,63.1906077292,-1
chr23,24hrs,FER,-68.03262912448,41.4162590528,62.38124914752,-1
chr23,24hrs,LOC103244307,-67.7956925714,41.898667502,61.623841869,-1
chr23,24hrs,LOC103244309,-67.9379696301,41.416279643,62.1439070085,-1
chr23,24hrs,LOC103244312,-67.7742047875,40.994514775,62.7292833625,-1
chr23,24hrs,PJA2,-67.45669918589999,40.5488205992,62.37887313335,-1
chr23,24hrs,LOC103244310,-67.4506670771,40.5399073448,62.38025482615,-1
chr23,24hrs,MAN2A1,-67.38257270346666,40.46757077906667,62.25860238553334,-1
chr23,24hrs,TMEM232,-66.45872143872,41.50449276056,61.57818909208,-1
chr23,24hrs,LOC103244319,-67.0195142068,42.3892018904,61.428470818,-1
chr23,24hrs,SLC25A46,-67.1059320362,41.3852045634,62.1142578154,-1
chr23,24hrs,TSLP,-67.4090960157,41.9865637193,62.4421003733,1
chr23,24hrs,LOC103244323,-67.4126635317,42.0027980033,62.4616041773,1
chr23,24hrs,WDR36,-67.4729263875,42.2770292375,62.7910644875,1
chr23,24hrs,CAMK4,-67.198389008,40.8540460608,63.2586342816,-1
chr23,24hrs,STARD4,-67.08786887000001,40.9365779,63.1004055625,-1
chr23,24hrs,LOC103244331,-67.4278220496,41.7793070432,63.4684763768,-1
chr23,24hrs,NREP,-66.60509504145,41.51583523065,63.252293648675,1
chr23,24hrs,LOC103244333,-67.066899228,41.393298246,63.1322261396,1
chr23,24hrs,LOC103244334,-67.1803275132,41.225725032,63.5968576812,-1
chr23,24hrs,EPB41L4A,-67.1573030674,42.4975796568,62.7244833513,1
chr23,24hrs,LOC103244336,-67.25452864399999,42.480183886,62.112743415,1
chr23,24hrs,LOC103244340,-67.2338876513,42.2450106907,61.8263250875,1
chr23,24hrs,APC,-66.9885454776,42.73667642763333,62.20945301286667,-1
chr23,24hrs,SRP19,-67.000499162,42.8781560472,62.567006326,1
chr23,24hrs,REEP5,-67.3393943984,42.7754072716,63.2984465271,-1
chr23,24hrs,LOC103244341,-66.99455940649999,42.8765676814,62.5534260495,-1
chr23,24hrs,DCP2,-67.3523760062,42.621424694000005,63.2927981408,-1
