chromosome,timepoint,gene_name,middle_x,middle_y,middle_z,cluster
chr4,24hrs,PLEKHG4B,14.169597353,44.2032668142,47.5722753402,1
chr4,24hrs,LOC103214891,14.952461334,44.4461584276,47.2975010556,1
chr4,24hrs,LOC103214890,14.900776918,44.4301228052,47.3156415612,1
chr4,24hrs,LRRC14B,14.0114539175,44.1542011845,47.6277814695,1
chr4,24hrs,LOC103214892,14.082627116,44.1762834024,47.6028006744,1
chr4,24hrs,CCDC127,13.890491618,44.1166713852,47.6702375412,1
chr4,24hrs,SDHA,13.6721101275,44.0489162785,47.7468863835,1
chr4,24hrs,LOC103214896,13.6317823701,44.0356940478,47.7726152423,1
chr4,24hrs,PDCD6,13.7393561397,44.0672013566,47.7653140231,1
chr4,24hrs,AHRR,13.53436824365,44.13031735595,47.89465972345,1
chr4,24hrs,EXOC3,13.9368250546,44.2380742263,47.8578599468,1
chr4,24hrs,C4H5orf55,14.2030024248,44.2690160244,47.7957232784,1
chr4,24hrs,LOC103214898,13.9681513986,44.2417157583,47.8505470988,1
chr4,24hrs,SLC9A3,14.4750713461,44.212450069350005,47.718199358700005,1
chr4,24hrs,LOC103215234,14.29621258,44.13375135,47.75075207,1
chr4,24hrs,CEP72,14.496928721,44.603140546,47.918479756,1
chr4,24hrs,TPPP,14.8485041056,44.6031218412,47.8370345148,1
chr4,24hrs,LOC103214904,14.6899379712,44.4390943274,47.7989047346,1
chr4,24hrs,LOC103214912,14.917146014,44.29879193926667,47.823681575,1
chr4,24hrs,LOC103214911,14.317761262,44.4449007175,47.5683698585,1
chr4,24hrs,LOC103214910,14.3931652136,44.484605209,47.6003230438,1
chr4,24hrs,LOC103214909,14.2105255648,44.3629408648,47.5200517464,1
chr4,24hrs,LOC103214908,14.2356737824,44.3633539324,47.5292613732,1
chr4,24hrs,BRD9,14.5333011328,44.3682425578,47.6382566454,1
chr4,24hrs,TRIP13,14.7648191536,44.3720453161,47.7230417623,1
chr4,24hrs,LOC103214913,14.9747686672,44.3754938047,47.799928192100005,1
chr4,24hrs,LOC103214916,14.3165423737,44.01477287575,47.67003512225,1
chr4,24hrs,LOC103214915,14.9810990236,44.2753204108,47.8341023844,1
chr4,24hrs,NKD2,14.480189224,43.991363272,47.738255496,1
chr4,24hrs,LOC103214917,14.5583200096,44.0356542688,47.7532054784,1
chr4,24hrs,SLC12A7,13.6046030275,44.105816405,47.93006523,1
chr4,24hrs,LOC103214920,13.8037465369,44.0337355484,47.859348165,1
chr4,24hrs,LOC103214919,13.711912546,44.052216456,47.8832761,1
chr4,24hrs,LOC103214923,14.35065547525,43.8935705053,47.61169115825,1
chr4,24hrs,SLC6A19,13.962835681,43.969534123,47.7054665675,1
chr4,24hrs,SLC6A18,14.1742320772,43.9116435276,47.596770931,1
chr4,24hrs,LOC103214926,14.0175896788,43.9545398204,47.677313199,1
chr4,24hrs,TERT,14.4051444124,44.36262891665,47.6846027934,1
chr4,24hrs,LOC103214927,14.368492764,43.891356178,47.510106322,1
chr4,24hrs,CLPTM1L,14.7568683326,44.2919534377,47.5140546873,1
chr4,24hrs,LOC103214931,14.8519706144,44.3900484688,47.5150215312,1
chr4,24hrs,SLC6A3,15.4088464278,44.9997059377,47.5371154312,1
chr4,24hrs,LPCAT1,15.292086568,45.1253326,46.946107152,1
chr4,24hrs,LOC103214937,15.497719446,45.3887262623,46.880228522,1
chr4,24hrs,LOC103215235,15.73122479665,45.45532298425,47.6031749869,1
chr4,24hrs,LOC103214936,15.5265372133,45.4494798482,46.9418883678,1
chr4,24hrs,LOC103214935,15.6366432031,45.4949162774,47.2754204346,1
chr4,24hrs,LOC103214934,15.660624366,45.504812364,47.348063956,1
chr4,24hrs,LOC103214938,15.7102654695,45.525297303,47.498436337,1
chr4,24hrs,LOC103214939,15.4997969044,45.3338250034,47.4129800569,1
chr4,24hrs,LOC103214940,15.0326971296,44.9191196096,47.1923266288,1
chr4,24hrs,MRPL36,14.9067750348,44.7748822748,47.3280497869,1
chr4,24hrs,NDUFS6,14.8221267948,44.6779220348,47.419286566900006,1
chr4,24hrs,LOC103214943,14.36537114695,44.62570888815,47.35697631935,1
chr4,24hrs,IRX4,14.3749320604,44.383394678,47.6449140192,1
chr4,24hrs,LOC103214945,13.8468507611,44.2759101395,47.6283591128,1
chr4,24hrs,LOC103214946,14.7275032156,44.4770464016,47.3218775228,1
chr4,24hrs,LOC103214947,14.69542143,44.674993128,46.371872288000006,1
chr4,24hrs,LOC103214948,14.5806945306,44.9455372422,46.0859747693,1
chr4,24hrs,LOC103214949,14.6483957341,44.929322844,46.226201593,1
chr4,24hrs,LOC103215237,14.7862875983,44.898573172,46.513825859,1
chr4,24hrs,IRX2,14.8072882465,44.89389006,46.557630445,1
chr4,24hrs,C4H5orf38,14.8234818299,44.890278916,46.591408127,1
chr4,24hrs,LOC103214954,13.4801597141,44.59280744205,46.85816792245,1
chr4,24hrs,IRX1,13.538925552,44.686423376,46.812713344,1
chr4,24hrs,LOC103214956,13.4728589475,44.6199591925,46.959754095,1
chr4,24hrs,LOC103214957,13.439979478,45.4055260896,45.754594091200005,1
chr4,24hrs,LOC103214958,13.651347072,45.9368778176,45.5152671056,1
chr4,24hrs,LOC103214959,14.3407363246,45.769188414,45.9221040098,1
chr4,24hrs,LOC103214960,13.6808307532,45.948201838,45.51536689,1
chr4,24hrs,ADAMTS16,14.062389642466666,46.5442072914,46.469058929333336,1
chr4,24hrs,LOC103214963,14.2590232877,46.3868273786,46.1595433963,1
chr4,24hrs,KIAA0947,14.680957744,45.9909964384,46.3479030592,1
chr4,24hrs,LOC103214964,13.4819398017,44.927206656500005,46.4212933411,1
chr4,24hrs,LOC103214965,14.8643683223,45.2513712552,46.1909989631,1
chr4,24hrs,LOC103214966,15.2516786562,45.5734529698,46.6277205032,1
chr4,24hrs,MED10,15.2446183708,45.4572407132,46.8073972688,1
chr4,24hrs,LOC103214969,15.4817724776,46.1151909112,46.598255986400005,1
chr4,24hrs,UBE2QL1,15.5002339336,46.03264992,46.8220869092,1
chr4,24hrs,NSUN2,15.1209506972,45.9413281364,46.93339127855,1
chr4,24hrs,SRD5A1,15.229950309,45.5892300658,47.255996991,1
chr4,24hrs,LOC103214970,15.272243175,45.577656935,47.272424325,1
chr4,24hrs,LOC103215240,15.181402989,45.6025146818,47.237140311,1
chr4,24hrs,PAPD7,14.74430424,45.629823767,46.6694864022,1
chr4,24hrs,LOC103214975,14.71237348,45.5367784715,46.2183282419,1
chr4,24hrs,LOC103214976,14.8268826947,45.6270383877,46.1949567717,1
chr4,24hrs,LOC103214977,14.7998867274,46.4896937324,46.3177783599,1
chr4,24hrs,ADCY2,14.166747521033331,45.4292776191,47.12669255426667,1
chr4,24hrs,LOC103214979,15.0333519896,45.5684931768,47.1878092424,1
chr4,24hrs,LOC103214978,14.9575166915,45.4540218695,47.1426927385,1
chr4,24hrs,C4H5orf49,14.4884886362,45.3183490546,46.8322901614,1
chr4,24hrs,LOC103214985,14.3465543204,45.32159309319999,46.9128419788,1
chr4,24hrs,FASTKD3,14.303619797,45.322574401,46.937208559000005,1
chr4,24hrs,MTRR,14.0392714256,45.3286163248,47.0872338832,1
chr4,24hrs,LOC103214986,13.1366400599,45.0713327299,46.8919598893,1
chr4,24hrs,LOC103214987,13.5374733413,45.20658646,46.4169735244,1
chr4,24hrs,LOC103214989,13.601470823,45.410374891,46.1712320092,1
chr4,24hrs,LOC103214990,14.1207113577,45.8016715314,45.7592723806,1
chr4,24hrs,LOC103214991,13.6855954723,45.77095299265,45.88582141995,1
chr4,24hrs,LOC103214992,14.3832881955,46.0804819725,45.8987938855,1
chr4,24hrs,LOC103214994,14.6883412912,45.6134911253,47.01507288236667,1
chr4,24hrs,LOC103214993,14.0317733401,46.1366810031,45.9331833142,1
chr4,24hrs,LOC103214996,14.84624451755,46.4659701769,46.50702153835,1
chr4,24hrs,LOC103214995,14.7686901996,45.7937408146,46.9135393912,1
chr4,24hrs,LOC103214997,14.9377721302,46.2750431977,46.6322843644,1
