chromosome,timepoint,gene_name,middle_x,middle_y,middle_z,cluster
chr15,24hrs,RPSA,-19.5264458902,61.9225733699,-12.9088126493,-1
chr15,24hrs,SLC25A38,-19.731593406,61.979125247,-12.874908529,-1
chr15,24hrs,LOC103221036,-19.8090843752,62.0004867524,-12.8621018268,-1
chr15,24hrs,LOC103221037,-19.9856992826,62.0491732037,-12.8329132059,-1
chr15,24hrs,CCR8,-20.0321815276,62.0619867062,-12.8252312234,-1
chr15,24hrs,CX3CR1,-20.6140599288,62.2223898956,-12.7290659092,-1
chr15,24hrs,LOC103221044,-20.6677942852,62.2372025474,-12.7201853918,-1
chr15,24hrs,XIRP1,-20.8118842536,62.280923342,-12.8922237548,-1
chr15,24hrs,CSRNP1,-20.5359297562,62.2100219015,-13.1909192791,8
chr15,24hrs,TTC21A,-20.5921725367,62.348556892,-13.5988893629,-1
chr15,24hrs,GORASP1,-20.3370474613,62.2032125695,-13.573538384,8
chr15,24hrs,WDR48,-20.2715767105,62.2940959075,-14.05136264,8
chr15,24hrs,LOC103221049,-20.2388510952,62.339524028,-14.290203536,-1
chr15,24hrs,SCN11A,-20.849993489000003,62.46492919,-13.819737764,-1
chr15,24hrs,SCN10A,-21.2424798692,62.110550423,-14.668410847,-1
chr15,24hrs,SCN5A,-21.0887264215,62.2190175479,-14.3607934119,7
chr15,24hrs,EXOG,-21.77906988485,62.07184977685,-14.54936667765,-1
chr15,24hrs,ACVR2B,-21.672662496,62.2264805424,-14.1897529512,-1
chr15,24hrs,XYLB,-21.4645632095,62.3152963065,-13.744415474,-1
chr15,24hrs,SLC22A14,-21.14140612905,62.2125256994,-14.2514162432,7
chr15,24hrs,SLC22A13,-20.80487978,62.289173582,-14.023451224,7
chr15,24hrs,OXSR1,-20.35712408825,61.5527076255,-14.3111548365,-1
chr15,24hrs,LOC103221062,-20.563000998,62.2462121962,-14.2631593384,-1
chr15,24hrs,MYD88,-20.1707607179,61.4872221109,-14.4881538734,-1
chr15,24hrs,ACAA1,-20.1187310706,61.3487039726,-14.5090111476,6
chr15,24hrs,DLEC1,-20.0714860566,62.0566717063,-13.9540815758,8
chr15,24hrs,PLCD1,-19.9945959275,61.988184325000006,-13.8911468,8
chr15,24hrs,VILL,-20.4593036544,61.6479151312,-13.8650527504,-1
chr15,24hrs,CTDSPL,-21.1128827789,62.007129036950005,-13.9881859182,7
chr15,24hrs,ITGA9,-21.29544252604,61.72565662504,-14.09262654964,-1
chr15,24hrs,LOC103221074,-21.1026599964,62.0799485436,-13.8486133384,7
chr15,24hrs,LOC103221073,-21.36197368,61.8583573936,-13.6613339104,7
chr15,24hrs,C15H3orf35,-21.34319256,61.7198416912,-14.1241204768,-1
chr15,24hrs,GOLGA4,-20.234560733,60.696704731,-14.235741907,-1
chr15,24hrs,LOC103221318,-19.6672112435,60.0882768574,-13.9260242077,-1
chr15,24hrs,LRRFIP2,-19.2583714929,60.6184431079,-13.5653493503,6
chr15,24hrs,MLH1,-19.33458977315,59.8936924343,-13.98784503995,-1
chr15,24hrs,EPM2AIP1,-19.1292030195,60.4934775225,-13.5836617207,6
chr15,24hrs,TRANK1,-19.8962701054,60.0678201942,-14.6855716852,6
chr15,24hrs,DCLK3,-20.793935446000003,60.1869987369,-15.3392131765,-1
chr15,24hrs,HRG,-20.6946610884,60.7173512948,-15.0710277194,6
chr15,24hrs,FETUB,-20.6283162176,60.9010271872,-14.9548510016,6
chr15,24hrs,AHSG,-20.4583783704,60.881692805,-14.934686016,6
chr15,24hrs,DNAJB11,-20.1445641024,60.68970908,-14.985961296,6
chr15,24hrs,TBCCD1,-19.9567800408,60.574827485,-15.016644032,6
chr15,24hrs,CRYGS,-19.897249135200003,60.538407965,-15.026371008,6
chr15,24hrs,LOC103221096,-19.6918474695,60.4847439935,-14.6781344905,6
chr15,24hrs,LOC103221099,-19.517321593,60.7878943036,-14.0903221765,6
chr15,24hrs,DGKG,-19.8554805256,61.72577962253333,-14.241723684766669,8
chr15,24hrs,LOC103221100,-19.794741738400003,61.7901904688,-14.2345866184,-1
chr15,24hrs,ETV5,-19.6233778184,61.7485644584,-13.6156703464,-1
chr15,24hrs,LOC103221102,-19.415344915,61.4305828094,-14.144640524,-1
chr15,24hrs,TRA2B,-19.3814471991,61.08004592135,-13.5760017459,6
chr15,24hrs,IGF2BP2,-19.5629643316,61.3807485416,-13.6712806688,-1
chr15,24hrs,SENP2,-19.6833023885,61.0206287402,-14.0813342504,6
