gene_name,expr_delta_12h,expr_delta_18h,expr_delta_24h,acc_delta_12h_tss,acc_delta_18h_tss,acc_delta_24h_tss
PLEKHG4B,-0.0435333264138222,-0.365357399104999,-0.399158328995337,0.3881699999999997,-0.7211399999999997,1.4778799999999999
LOC103214891,,,,-0.47886000000000006,1.8778100000000002,-1.5778199999999996
LRRC14B,1.31967606819909,-1.0472043086776,-0.56679725360109,0.09992999999999963,2.8466500000000003,-1.0791699999999995
LOC103214892,0.674081945309383,-0.396684301503837,0.0514007100407471,-3.937800000000001,-2.0464200000000003,-3.9626099999999997
CCDC127,0.592015749656668,2.26410594039791,-2.80013623228738,-1.7294400000000003,0.24494999999999978,-65.01367
SDHA,-0.505617146989503,-0.437892333587159,-0.746443463430681,4.72331,1.39614,-4.461269999999999
LOC103214896,0.34942904444794,-0.789462351658515,-0.776398218364015,,0.7293700000000003,
PDCD6,-0.285942084357846,-0.315048551137257,-0.753543203604769,0.48348999999999975,0.7293700000000003,-0.29025999999999996
AHRR,0.670918710028799,0.701430063626599,1.52316964828552,-2.8847099999999997,-0.7810100000000002,-0.5985899999999997
EXOC3,-0.304079681987659,-0.0948180449535798,-0.111744820648104,0.8693399999999998,0.1850900000000002,-3.17371
C4H5orf55,0.629246071790045,0.189093545710707,-0.366553296815707,2.319799999999999,-0.17410999999999976,-2.1763899999999996
LOC103214898,-0.351933344435679,0.17528699332342,0.0939296677416479,-9.139890000000001,-0.7211399999999997,-7.01829
SLC9A3,,,,1.54344,0.9117199999999999,2.6112600000000006
LOC103215234,-0.461476668217117,-0.469702707871175,-0.845231928167434,0.6764099999999997,0.7293700000000003,3.0918400000000004
CEP72,1.54337779109167,0.934456203298638,1.62298836421714,3.8539999999999996,2.96638,1.3237100000000002
TPPP,,,,-0.7671000000000001,0.3674300000000006,0.67089
LOC103214904,0.0,0.0,-0.47611566869659,3.56575,1.8778100000000002,
LOC103214912,2.3046904940222,2.34050710673456,3.72292764105022,-0.28593000000000046,-0.66127,-2.5389699999999995
LOC103214911,3.26735365558171,2.85588853051404,3.87481638792109,-0.28593000000000046,0.7892399999999999,1.1514600000000002
LOC103214910,0.679348378985107,-0.806118481477698,0.0,,,
LOC103214909,,,,-2.21061,-1.2626799999999996,-1.7319899999999997
LOC103214908,2.49205107909662,1.96603736958065,2.46400947966857,,,-1.40557
BRD9,0.0828001461778688,0.0383513641770055,0.545757615892063,0.19523999999999964,2.4220999999999995,1.4778799999999999
TRIP13,0.296412620623484,0.2757194190219,-0.324642749762933,-21.64808,-6.936800000000002,1.1695400000000005
LOC103214913,1.82362938385995,3.74132971016053,2.40978801052756,-0.9600300000000002,-2.1689000000000007,-0.9249999999999998
LOC103214916,,,,-2.49885,2.3622300000000003,0.8612099999999998
LOC103214915,0.0,0.0,2.40178883633417,3.37282,1.5757400000000001,-1.0972399999999998
NKD2,1.95599721649857,-0.462660872763233,-0.476911935066486,-2.0176800000000004,-0.11423999999999968,-0.6166699999999996
LOC103214917,-0.490567524686462,0.316322868587971,-0.428912241796416,1.3505099999999999,0.7892399999999999,0.9973000000000001
SLC12A7,-0.277197797328256,2.37554064892216,2.55154968488722,-0.09299999999999997,0.3674300000000006,0.3625600000000002
LOC103214920,1.43495002743481,0.0,2.40175947833132,-1.3435800000000002,-0.41905999999999954,-2.5208899999999996
LOC103214919,,,,1.0622699999999998,3.8753599999999997,-2.5208899999999996
LOC103214923,-0.0654547189214325,0.107740956549327,-0.190597552344305,0.5811000000000002,2.54457,2.30293
SLC6A19,1.4349411870043,2.73571680178964,0.0,1.92931,-1.5675000000000003,-4.941839999999999
SLC6A18,,,,1.54344,0.6695100000000007,-0.7708399999999997
LOC103214926,,,,-5.955500000000001,4.78159,-4.59734
TERT,0.712544576946749,-0.599448803806955,-1.38901626373745,0.00462999999999969,-0.29383999999999943,3.109910000000001
LOC103214927,,,,-0.9600300000000002,0.4871699999999999,-0.29025999999999996
CLPTM1L,0.0992808550870962,-0.158006179968625,-0.100999596927626,-1.4411999999999998,-0.5387899999999997,0.5167299999999999
SLC6A3,-0.218755407324123,-1.11402916188868,-1.22736191155011,0.48348999999999975,0.1850900000000002,-0.6166699999999996
LPCAT1,,,,0.09992999999999963,0.1850900000000002,-2.0583899999999997
LOC103214937,,,,-3.46119,-7.42672,
LOC103215235,-0.0239438301770166,0.158440489831525,0.583719873876395,1.8316899999999996,-0.4789300000000001,0.67089
LOC103214936,-0.115690788074876,-0.730982987451653,0.436006845110574,2.89165,-7.12189,-4.75155
LOC103214935,-0.0478596502919432,0.076202766931,0.716896672458092,,0.1850900000000002,0.67089
LOC103214934,-0.778729309273825,0.238222929382082,1.02275339104026,,,
LOC103214938,0.664502074744104,0.059866014522078,0.927447771292551,-8.412599999999998,-57.68,-45.464290000000005
LOC103214940,,,,0.6764099999999997,-0.8408699999999998,
MRPL36,-0.941112189197275,-0.124982643391061,-0.389676931795526,5.106890000000001,-1.2654299999999998,-5.077939999999999
NDUFS6,-0.7369324872738,-0.32844104475665,-0.0104649050756279,-7.003800000000002,-10.4392,-12.59487
LOC103214943,,,,-0.7671000000000001,2.3622300000000003,-2.8472999999999997
IRX4,0.0,0.0,2.40178883633417,-0.47886000000000006,1.5757400000000001,0.34448000000000034
LOC103214945,-0.233110319920339,0.264264571928933,0.0339560726571756,-2.21061,-4.10109,-0.11801999999999957
LOC103214946,-0.235253144361975,3.67890702396321,3.99192863303434,,,
LOC103214949,,,,,,
LOC103215237,0.676753251344636,0.0,0.0,,,-2.0583899999999997
IRX2,,,,,,-0.7708399999999997
C4H5orf38,,,,,,
LOC103214954,,,,,,-0.6166699999999996
IRX1,,,,,-0.11697999999999986,0.34448000000000034
ADAMTS16,-1.52257551036239,-2.9248066748832,-3.61401505477274,2.2175499999999997,3.26846,-0.13608999999999982
LOC103214963,1.58771224179045,4.03016936095649,2.55160921077603,-14.886200000000002,-24.1414,-20.574399999999997
KIAA0947,0.0523755419976678,0.410166707250171,0.486795170375282,-14.886200000000002,-24.1414,
LOC103214965,,,,,,
MED10,,,,-0.09068000000000076,-1.8668300000000002,
LOC103214969,,,,-1.5365099999999998,1.33352,
UBE2QL1,0.893390569559848,-0.217255168905039,1.96081679273685,,-1.62736,
NSUN2,0.534858921149186,0.966624775939831,0.979779911608696,3.5751000000000026,0.1850900000000002,3.4182500000000005
SRD5A1,0.643461026285939,0.606144216267583,-0.122184887759633,3.5751000000000026,-17.87686,-12.440750000000001
LOC103214970,,,,,,
LOC103215240,-1.28946228643532,2.05144508508051,0.0,,0.5470299999999999,
PAPD7,0.0,0.0,-0.47611566869659,3.2775099999999995,1.8778100000000002,0.34448000000000034
LOC103214976,2.81336814293439,-0.139909704366942,1.83411148244368,0.19523999999999964,,
ADCY2,,,,3.1798999999999995,-2.8955399999999996,
C4H5orf49,1.42776761948958,0.0,3.39604232373565,,-1.3252900000000003,
LOC103214985,1.31227678248072,0.0,0.0,,,
FASTKD3,0.340660443112252,0.53152867891521,0.520529215843171,11.271379999999999,-9.5275,-6.05719
MTRR,0.201752946661878,0.226374791370014,0.263929369666383,11.271379999999999,-9.5275,
LOC103214990,1.91495099876544,-0.180012780045642,1.17143393458912,,,
LOC103214991,0.210328755118556,-0.40087364548723,-0.235133605861459,-13.163699999999999,-13.272099999999998,-13.5379
LOC103214994,,,,23.791140000000002,8.23241,1.8223599999999998
LOC103214993,,,,,,
LOC103214996,-1.18700869476937,-1.63799317864091,-1.9832492892723,1.0622699999999998,3.51067,
LOC103214998,,,,,,
FAM173B,-1.1062281385321,1.48994056732095,-3.47824549293918,-6.73409,0.5470299999999999,0.67089
