gene_name,gene_id,gene_start,gene_end,chromosome,peak_start,peak_end,chromosome_nc,name,score,strand,signalValue,pValue,qValue,peak,structure_start_id,structure_end_id,start_pos,start_x,start_y,start_z,end_pos,end_x,end_y,end_z,middle,middle_percent,middle_pos,middle_x,middle_y,middle_z
TMEM30A,gene-TMEM30A,4877,36725,chr17,4123,5887,NC_023658.1,2803_001_autosomes_peak_91639,1382,.,44.7489,141.483,138.241,775,0,1,"[22.7507215348, 8.1304248197, 26.838941318]",22.7507215348,8.1304248197,26.838941318,"[22.7461485412, 8.138158019299999, 26.822123342]",22.7461485412,8.138158019299999,26.822123342,5005,5.887,"[22.7461485412, 8.138158019299999, 26.822123342]",22.7461485412,8.138158019299999,26.822123342
TMEM30A,gene-TMEM30A,4877,36725,chr17,17493,17676,NC_023658.1,2803_001_autosomes_peak_91640,47,.,4.81171,6.6564,4.77727,79,0,1,"[22.7160611468, 8.1890375627, 26.711471738]",22.7160611468,8.1890375627,26.711471738,"[22.715586737600002, 8.1898398164, 26.709727016000002]",22.7155867376,8.1898398164,26.709727016,17584,17.676,"[22.715586737600002, 8.1898398164, 26.709727016000002]",22.7155867376,8.1898398164,26.709727016
TMEM30A,gene-TMEM30A,4877,36725,chr17,22979,23233,NC_023658.1,2803_001_autosomes_peak_91641,47,.,4.81171,6.6564,4.77727,179,0,1,"[22.701839240400002, 8.2130876381, 26.659168214]",22.7018392404,8.2130876381,26.659168214,"[22.7011807708, 8.214201148699999, 26.656746578]",22.7011807708,8.214201148699999,26.656746578,23106,23.233,"[22.7011807708, 8.214201148699999, 26.656746578]",22.7011807708,8.214201148699999,26.656746578
LOC103243885,gene-LOC103243885,45771,51466,chr17,45009,46404,NC_023658.1,2803_001_autosomes_peak_91642a,67,.,5.77405,8.71856,6.76339,218,0,1,"[22.6447286684, 8.309664955099999, 26.449134194]",22.6447286684,8.309664955099999,26.449134194,"[22.6411122704, 8.315780495599999, 26.435834264]",22.6411122704,8.315780495599999,26.435834264,45706,46.404,"[22.6411122704, 8.315780495599999, 26.435834264]",22.6411122704,8.315780495599999,26.435834264
LOC103243885,gene-LOC103243885,45771,51466,chr17,45009,46404,NC_023658.1,2803_001_autosomes_peak_91642b,952,.,33.682,98.2493,95.2834,848,0,1,"[22.6447286684, 8.309664955099999, 26.449134194]",22.6447286684,8.309664955099999,26.449134194,"[22.6411122704, 8.315780495599999, 26.435834264]",22.6411122704,8.315780495599999,26.435834264,45706,46.404,"[22.6411122704, 8.315780495599999, 26.435834264]",22.6411122704,8.315780495599999,26.435834264
LOC103243885,gene-LOC103243885,45771,51466,chr17,46807,46968,NC_023658.1,2803_001_autosomes_peak_91643,14,.,2.88702,3.05827,1.41458,24,0,1,"[22.6400675332, 8.317547207299999, 26.431992062]",22.6400675332,8.317547207299999,26.431992062,"[22.639650156800002, 8.3182530152, 26.430457088]",22.6396501568,8.3182530152,26.430457088,46887,46.968,"[22.639650156800002, 8.3182530152, 26.430457088]",22.6396501568,8.3182530152,26.430457088
COL12A1,gene-COL12A1,83473,205366,chr17,83009,84823,NC_023658.1,2803_001_autosomes_peak_91647a,159,.,9.62341,18.1771,15.9999,189,0,1,"[22.5462174684, 8.4762531551, 26.086842194]",22.5462174684,8.4762531551,26.086842194,"[22.5415148548, 8.484205549699999, 26.069547518]",22.5415148548,8.484205549699999,26.069547518,83916,84.82300000000001,"[22.5415148548, 8.484205549699999, 26.069547518]",22.5415148548,8.484205549699999,26.069547518
COL12A1,gene-COL12A1,83473,205366,chr17,83009,84823,NC_023658.1,2803_001_autosomes_peak_91647b,952,.,33.682,98.2493,95.2834,514,0,1,"[22.5462174684, 8.4762531551, 26.086842194]",22.5462174684,8.4762531551,26.086842194,"[22.5415148548, 8.484205549699999, 26.069547518]",22.5415148548,8.484205549699999,26.069547518,83916,84.82300000000001,"[22.5415148548, 8.484205549699999, 26.069547518]",22.5415148548,8.484205549699999,26.069547518
COL12A1,gene-COL12A1,83473,205366,chr17,83009,84823,NC_023658.1,2803_001_autosomes_peak_91647c,383,.,17.3221,40.8479,38.3656,1484,0,1,"[22.5462174684, 8.4762531551, 26.086842194]",22.5462174684,8.4762531551,26.086842194,"[22.5415148548, 8.484205549699999, 26.069547518]",22.5415148548,8.484205549699999,26.069547518,83916,84.82300000000001,"[22.5415148548, 8.484205549699999, 26.069547518]",22.5415148548,8.484205549699999,26.069547518
COL12A1,gene-COL12A1,83473,205366,chr17,85050,85234,NC_023658.1,2803_001_autosomes_peak_91648,21,.,3.3682,3.87986,2.15898,44,0,1,"[22.54092638, 8.485200695, 26.0673833]",22.54092638,8.485200695,26.0673833,"[22.540449378399998, 8.4860073326, 26.065629043999998]",22.5404493784,8.4860073326,26.065629044,85142,85.234,"[22.540449378399998, 8.4860073326, 26.065629043999998]",22.5404493784,8.4860073326,26.065629044
