gene_name,gene_id,gene_start,gene_end,chromosome,peak_start,peak_end,chromosome_nc,name,score,strand,signalValue,pValue,qValue,peak,structure_start_id,structure_end_id,start_pos,start_x,start_y,start_z,end_pos,end_x,end_y,end_z,middle,middle_percent,middle_pos,middle_x,middle_y,middle_z
ZNF596,gene-ZNF596,29165,50523,chr8,29834,31162,NC_023649.1,2803_002_autosomes_peak_26281a,500,.,24.2677,53.138,50.0977,293,0,1,"[79.40095070379999, 92.5893770134, 38.9665157616]",79.40095070379999,92.5893770134,38.9665157616,"[79.40391307339999, 92.5758249062, 38.9615256688]",79.40391307339999,92.5758249062,38.9615256688,30498,31.162,"[79.40391307339999, 92.5758249062, 38.9615256688]",79.40391307339999,92.5758249062,38.9615256688
ZNF596,gene-ZNF596,29165,50523,chr8,29834,31162,NC_023649.1,2803_002_autosomes_peak_26281b,223,.,13.482,24.8988,22.3058,576,0,1,"[79.40095070379999, 92.5893770134, 38.9665157616]",79.40095070379999,92.5893770134,38.9665157616,"[79.40391307339999, 92.5758249062, 38.9615256688]",79.40391307339999,92.5758249062,38.9615256688,30498,31.162,"[79.40391307339999, 92.5758249062, 38.9615256688]",79.40391307339999,92.5758249062,38.9615256688
LOC103215708,gene-LOC103215708,180696,184652,chr8,182687,183235,NC_023649.1,2803_002_autosomes_peak_26284a,76,.,6.74102,9.90672,7.68582,113,1,2,"[79.74191989090001, 91.0295274337, 38.3921553288]",79.74191989090001,91.0295274337,38.3921553288,"[79.7431423145, 91.0239351485, 38.390096164]",79.7431423145,91.0239351485,38.390096164,182961,83.235,"[79.7431423145, 91.0239351485, 38.390096164]",79.7431423145,91.0239351485,38.390096164
LOC103215708,gene-LOC103215708,180696,184652,chr8,182687,183235,NC_023649.1,2803_002_autosomes_peak_26284b,255,.,14.8302,28.1957,25.5403,351,1,2,"[79.74191989090001, 91.0295274337, 38.3921553288]",79.74191989090001,91.0295274337,38.3921553288,"[79.7431423145, 91.0239351485, 38.390096164]",79.7431423145,91.0239351485,38.390096164,182961,83.235,"[79.7431423145, 91.0239351485, 38.390096164]",79.7431423145,91.0239351485,38.390096164
FBXO25,gene-FBXO25,183147,247701,chr8,182687,183235,NC_023649.1,2803_002_autosomes_peak_26284a,76,.,6.74102,9.90672,7.68582,113,1,2,"[79.74191989090001, 91.0295274337, 38.3921553288]",79.74191989090001,91.0295274337,38.3921553288,"[79.7431423145, 91.0239351485, 38.390096164]",79.7431423145,91.0239351485,38.390096164,182961,83.235,"[79.7431423145, 91.0239351485, 38.390096164]",79.7431423145,91.0239351485,38.390096164
FBXO25,gene-FBXO25,183147,247701,chr8,182687,183235,NC_023649.1,2803_002_autosomes_peak_26284b,255,.,14.8302,28.1957,25.5403,351,1,2,"[79.74191989090001, 91.0295274337, 38.3921553288]",79.74191989090001,91.0295274337,38.3921553288,"[79.7431423145, 91.0239351485, 38.390096164]",79.7431423145,91.0239351485,38.390096164,182961,83.235,"[79.7431423145, 91.0239351485, 38.390096164]",79.7431423145,91.0239351485,38.390096164
FBXO25,gene-FBXO25,183147,247701,chr8,225221,225439,NC_023649.1,2803_002_autosomes_peak_26285,19,.,3.37051,3.83133,1.95257,27,2,3,"[79.68181491760001, 90.7109768308, 38.470060194300004]",79.68181491760001,90.7109768308,38.4700601943,"[79.6809615784, 90.70975053720001, 38.4712958837]",79.6809615784,90.7097505372,38.4712958837,225330,25.439,"[79.6809615784, 90.70975053720001, 38.4712958837]",79.6809615784,90.7097505372,38.4712958837
FBXO25,gene-FBXO25,183147,247701,chr8,232374,232710,NC_023649.1,2803_002_autosomes_peak_26286,40,.,4.71871,6.09502,4.04188,119,2,3,"[79.6538152144, 90.6707397752, 38.5106055442]",79.6538152144,90.6707397752,38.5106055442,"[79.652499976, 90.668849708, 38.512510093]",79.652499976,90.668849708,38.512510093,232542,32.71,"[79.652499976, 90.668849708, 38.512510093]",79.652499976,90.668849708,38.512510093
TDRP,gene-TDRP,267302,323918,chr8,323447,323684,NC_023649.1,2803_002_autosomes_peak_26287,40,.,4.71871,6.09502,4.04188,177,3,4,"[79.434680968, 90.415607321, 38.6943092761]",79.434680968,90.415607321,38.6943092761,"[79.435141696, 90.416873612, 38.6922915292]",79.435141696,90.416873612,38.6922915292,323565,23.684,"[79.435141696, 90.416873612, 38.6922915292]",79.435141696,90.416873612,38.6922915292
ERICH1,gene-ERICH1,444997,504020,chr8,463888,464023,NC_023649.1,2803_002_autosomes_peak_26292,64,.,6.06692,8.5891,6.41772,49,4,5,"[79.7387031184, 90.832903496, 38.6920006864]",79.7387031184,90.832903496,38.6920006864,"[79.73903107390001, 90.8329209785, 38.6933730019]",79.73903107390001,90.8329209785,38.6933730019,463955,64.023,"[79.73903107390001, 90.8329209785, 38.6933730019]",79.73903107390001,90.8329209785,38.6933730019
ERICH1,gene-ERICH1,444997,504020,chr8,465581,465832,NC_023649.1,2803_002_autosomes_peak_26293,19,.,3.37051,3.83133,1.95257,40,4,5,"[79.7428159233, 90.8331227395, 38.7092105393]",79.7428159233,90.8331227395,38.7092105393,"[79.7434256776, 90.833155244, 38.711762029599996]",79.7434256776,90.833155244,38.7117620296,465706,65.83200000000001,"[79.7434256776, 90.833155244, 38.711762029599996]",79.7434256776,90.833155244,38.7117620296
ERICH1,gene-ERICH1,444997,504020,chr8,499015,499118,NC_023649.1,2803_002_autosomes_peak_26294,29,.,4.04461,4.93036,2.95342,55,4,5,"[79.8240371395, 90.83745244250001, 39.049077179499996]",79.8240371395,90.8374524425,39.0490771795,"[79.8242873574, 90.837465781, 39.050124205399996]",79.8242873574,90.837465781,39.0501242054,499066,99.118,"[79.8242873574, 90.837465781, 39.050124205399996]",79.8242873574,90.837465781,39.0501242054
ERICH1,gene-ERICH1,444997,504020,chr8,499525,499683,NC_023649.1,2803_002_autosomes_peak_26295,29,.,4.04461,4.93036,2.95342,65,4,5,"[79.8252760825, 90.8375184875, 39.054261482499996]",79.8252760825,90.8375184875,39.0542614825,"[79.8256599119, 90.8375389485, 39.0558675999]",79.8256599119,90.8375389485,39.0558675999,499604,99.683,"[79.8256599119, 90.8375389485, 39.0558675999]",79.8256599119,90.8375389485,39.0558675999
ERICH1,gene-ERICH1,444997,504020,chr8,503841,505045,NC_023649.1,2803_002_autosomes_peak_26296,811,.,35.0533,84.5261,81.1041,204,5,6,"[79.81754653520001, 90.8707581739, 39.0328882344]",79.81754653520001,90.8707581739,39.0328882344,"[79.814761924, 90.8811582055, 39.024675028]",79.814761924,90.8811582055,39.024675028,504443,5.045,"[79.814761924, 90.8811582055, 39.024675028]",79.814761924,90.8811582055,39.024675028
LOC103215265,gene-LOC103215265,510361,1256653,chr8,536582,536966,NC_023649.1,2803_002_autosomes_peak_26297,191,.,12.1338,21.6867,19.1581,279,5,6,"[79.74182315040001, 91.1535716578, 38.8095422288]",79.74182315040001,91.1535716578,38.8095422288,"[79.7409350352, 91.1568886114, 38.8069227344]",79.7409350352,91.1568886114,38.8069227344,536774,36.966,"[79.7409350352, 91.1568886114, 38.8069227344]",79.7409350352,91.1568886114,38.8069227344
LOC103215265,gene-LOC103215265,510361,1256653,chr8,729307,729538,NC_023649.1,2803_002_autosomes_peak_26298,29,.,4.04461,4.93036,2.95342,165,7,8,"[78.6050329791, 91.2885585364, 37.3667573467]",78.6050329791,91.2885585364,37.3667573467,"[78.6031483194, 91.2885643576, 37.3649758978]",78.6031483194,91.2885643576,37.3649758978,729422,29.538,"[78.6031483194, 91.2885643576, 37.3649758978]",78.6031483194,91.2885643576,37.3649758978
LOC103215265,gene-LOC103215265,510361,1256653,chr8,746085,746259,NC_023649.1,2803_002_autosomes_peak_26299,64,.,6.06692,8.5891,6.41772,79,7,8,"[78.4681463105, 91.288981342, 37.2373670885]",78.4681463105,91.288981342,37.2373670885,"[78.46672669670001, 91.2889857268, 37.2360252179]",78.46672669670001,91.2889857268,37.2360252179,746172,46.259,"[78.46672669670001, 91.2889857268, 37.2360252179]",78.46672669670001,91.2889857268,37.2360252179
LOC103215265,gene-LOC103215265,510361,1256653,chr8,912011,912152,NC_023649.1,2803_002_autosomes_peak_26300,19,.,3.37051,3.83133,1.95257,34,9,10,"[78.9216431887, 91.3830661725, 37.1436385156]",78.9216431887,91.3830661725,37.1436385156,"[78.9205252984, 91.38365802, 37.143937379200004]",78.9205252984,91.38365802,37.1439373792,912081,12.152,"[78.9205252984, 91.38365802, 37.143937379200004]",78.9205252984,91.38365802,37.1439373792
LOC103215265,gene-LOC103215265,510361,1256653,chr8,1061432,1061590,NC_023649.1,2803_002_autosomes_peak_26301,19,.,3.37051,3.83133,1.95257,38,10,11,"[78.7436379992, 92.0075209528, 37.7443514032]",78.7436379992,92.0075209528,37.7443514032,"[78.744974379, 92.008177111, 37.745416733999996]",78.744974379,92.008177111,37.745416734,1061511,61.59,"[78.744974379, 92.008177111, 37.745416733999996]",78.744974379,92.008177111,37.745416734
LOC103215264,gene-LOC103215264,729126,730932,chr8,729307,729538,NC_023649.1,2803_002_autosomes_peak_26298,29,.,4.04461,4.93036,2.95342,165,7,8,"[78.6050329791, 91.2885585364, 37.3667573467]",78.6050329791,91.2885585364,37.3667573467,"[78.6031483194, 91.2885643576, 37.3649758978]",78.6031483194,91.2885643576,37.3649758978,729422,29.538,"[78.6031483194, 91.2885643576, 37.3649758978]",78.6031483194,91.2885643576,37.3649758978
LOC103215263,gene-LOC103215263,742787,749463,chr8,746085,746259,NC_023649.1,2803_002_autosomes_peak_26299,64,.,6.06692,8.5891,6.41772,79,7,8,"[78.4681463105, 91.288981342, 37.2373670885]",78.4681463105,91.288981342,37.2373670885,"[78.46672669670001, 91.2889857268, 37.2360252179]",78.46672669670001,91.2889857268,37.2360252179,746172,46.259,"[78.46672669670001, 91.2889857268, 37.2360252179]",78.46672669670001,91.2889857268,37.2360252179
LOC103215268,gene-LOC103215268,1304284,1380010,chr8,1341749,1341946,NC_023649.1,2803_002_autosomes_peak_26302,29,.,4.04461,4.93036,2.95342,133,13,14,"[78.7980219168, 92.3728556212, 38.2102045597]",78.7980219168,92.3728556212,38.2102045597,"[78.7963835072, 92.3736985448, 38.2110349738]",78.7963835072,92.3736985448,38.2110349738,1341847,41.946,"[78.7963835072, 92.3736985448, 38.2110349738]",78.7963835072,92.3736985448,38.2110349738
