gene_name,gene_id,gene_start,gene_end,chromosome,peak_start,peak_end,chromosome_nc,name,score,strand,signalValue,pValue,qValue,peak
TMEM30A,gene-TMEM30A,4877,36725,chr17,4123,5887,NC_023658.1,2803_001_autosomes_peak_91639,1382,.,44.7489,141.483,138.241,775
TMEM30A,gene-TMEM30A,4877,36725,chr17,17493,17676,NC_023658.1,2803_001_autosomes_peak_91640,47,.,4.81171,6.6564,4.77727,79
TMEM30A,gene-TMEM30A,4877,36725,chr17,22979,23233,NC_023658.1,2803_001_autosomes_peak_91641,47,.,4.81171,6.6564,4.77727,179
LOC103243885,gene-LOC103243885,45771,51466,chr17,45009,46404,NC_023658.1,2803_001_autosomes_peak_91642a,67,.,5.77405,8.71856,6.76339,218
LOC103243885,gene-LOC103243885,45771,51466,chr17,45009,46404,NC_023658.1,2803_001_autosomes_peak_91642b,952,.,33.682,98.2493,95.2834,848
LOC103243885,gene-LOC103243885,45771,51466,chr17,46807,46968,NC_023658.1,2803_001_autosomes_peak_91643,14,.,2.88702,3.05827,1.41458,24
COL12A1,gene-COL12A1,83473,205366,chr17,83009,84823,NC_023658.1,2803_001_autosomes_peak_91647a,159,.,9.62341,18.1771,15.9999,189
COL12A1,gene-COL12A1,83473,205366,chr17,83009,84823,NC_023658.1,2803_001_autosomes_peak_91647b,952,.,33.682,98.2493,95.2834,514
COL12A1,gene-COL12A1,83473,205366,chr17,83009,84823,NC_023658.1,2803_001_autosomes_peak_91647c,383,.,17.3221,40.8479,38.3656,1484
COL12A1,gene-COL12A1,83473,205366,chr17,85050,85234,NC_023658.1,2803_001_autosomes_peak_91648,21,.,3.3682,3.87986,2.15898,44
COL12A1,gene-COL12A1,83473,205366,chr17,87578,87736,NC_023658.1,2803_001_autosomes_peak_91649,14,.,2.88702,3.05827,1.41458,9
COL12A1,gene-COL12A1,83473,205366,chr17,93028,93787,NC_023658.1,2803_001_autosomes_peak_91650,57,.,5.29288,7.66889,5.74981,612
COL12A1,gene-COL12A1,83473,205366,chr17,171365,171670,NC_023658.1,2803_001_autosomes_peak_91651,21,.,3.3682,3.87986,2.15898,65
COL12A1,gene-COL12A1,83473,205366,chr17,190989,191839,NC_023658.1,2803_001_autosomes_peak_91652,280,.,13.954,30.4499,28.0891,253
LOC103243886,gene-LOC103243886,90519,94300,chr17,93028,93787,NC_023658.1,2803_001_autosomes_peak_91650,57,.,5.29288,7.66889,5.74981,612
LOC103243889,gene-LOC103243889,355723,523981,chr17,356597,356946,NC_023658.1,2803_001_autosomes_peak_91656,57,.,5.29288,7.66889,5.74981,208
CD109,gene-CD109,1322681,1461945,chr17,1326798,1327125,NC_023658.1,2803_001_autosomes_peak_91673,29,.,3.84937,4.75735,2.97448,144
CD109,gene-CD109,1322681,1461945,chr17,1341839,1342022,NC_023658.1,2803_001_autosomes_peak_91674,29,.,3.84937,4.75735,2.97448,105
CD109,gene-CD109,1322681,1461945,chr17,1376417,1376900,NC_023658.1,2803_001_autosomes_peak_91675,639,.,25.0209,66.6643,63.9399,297
CD109,gene-CD109,1322681,1461945,chr17,1427416,1427558,NC_023658.1,2803_001_autosomes_peak_91676,88,.,6.73639,10.9183,8.89845,69
CD109,gene-CD109,1322681,1461945,chr17,1430909,1431010,NC_023658.1,2803_001_autosomes_peak_91677,38,.,4.33054,5.68452,3.84989,46
CD109,gene-CD109,1322681,1461945,chr17,1452902,1453736,NC_023658.1,2803_001_autosomes_peak_91678,863,.,31.2761,89.2503,86.3492,298
CD109,gene-CD109,1322681,1461945,chr17,1459890,1462878,NC_023658.1,2803_001_autosomes_peak_91679a,135,.,8.66107,15.6603,13.5311,354
CD109,gene-CD109,1322681,1461945,chr17,1459890,1462878,NC_023658.1,2803_001_autosomes_peak_91679b,916,.,32.7196,94.6306,91.6904,1954
CD109,gene-CD109,1322681,1461945,chr17,1459890,1462878,NC_023658.1,2803_001_autosomes_peak_91679c,239,.,12.5104,26.2054,23.9012,2384
SLC17A5,gene-SLC17A5,1499110,1558954,chr17,1499127,1500816,NC_023658.1,2803_001_autosomes_peak_91682a,309,.,14.9163,33.354,30.9572,239
SLC17A5,gene-SLC17A5,1499110,1558954,chr17,1499127,1500816,NC_023658.1,2803_001_autosomes_peak_91682b,639,.,25.0209,66.6643,63.9399,443
SLC17A5,gene-SLC17A5,1499110,1558954,chr17,1507348,1507462,NC_023658.1,2803_001_autosomes_peak_91683,29,.,3.84937,4.75735,2.97448,65
SLC17A5,gene-SLC17A5,1499110,1558954,chr17,1554251,1554500,NC_023658.1,2803_001_autosomes_peak_91684,57,.,5.29288,7.66889,5.74981,89
EEF1A1,gene-EEF1A1,1626701,1630445,chr17,1625691,1627762,NC_023658.1,2803_001_autosomes_peak_91689a,135,.,8.66107,15.6603,13.5311,431
EEF1A1,gene-EEF1A1,1626701,1630445,chr17,1625691,1627762,NC_023658.1,2803_001_autosomes_peak_91689b,1305,.,42.8242,133.768,130.572,1118
EEF1A1,gene-EEF1A1,1626701,1630445,chr17,1625691,1627762,NC_023658.1,2803_001_autosomes_peak_91689c,111,.,7.69873,13.2369,11.1598,1866
EEF1A1,gene-EEF1A1,1626701,1630445,chr17,1628954,1629238,NC_023658.1,2803_001_autosomes_peak_91690,38,.,4.33054,5.68452,3.84989,168
EEF1A1,gene-EEF1A1,1626701,1630445,chr17,1629638,1629751,NC_023658.1,2803_001_autosomes_peak_91691,14,.,2.88702,3.05827,1.41458,9
EEF1A1,gene-EEF1A1,1626701,1630445,chr17,1629950,1630082,NC_023658.1,2803_001_autosomes_peak_91692,14,.,2.88702,3.05827,1.41458,49
MTO1,gene-MTO1,1650818,1688362,chr17,1653413,1653525,NC_023658.1,2803_001_autosomes_peak_91698,29,.,3.84937,4.75735,2.97448,55
