gene_name,gene_id,start,end,chromosome,chromosome_nc,structure_start_id,structure_end_id,start_pos,start_x,start_y,start_z,end_pos,end_x,end_y,end_z,middle,middle_x,middle_y,middle_z,middle_percent,middle_pos
RPSA,gene-RPSA,23915,29889,chr15,NC_023656.1,0,1,"[-19.473804197, 61.9080619265, -12.917512585499999]",-19.473804197,61.9080619265,-12.917512585499999,"[-19.526445890199998, 61.9225733699, -12.9088126493]",-19.526445890199998,61.9225733699,-12.9088126493,26902,-19.526445890199998,61.9225733699,-12.9088126493,29.889,"[-19.526445890199998, 61.9225733699, -12.9088126493]"
SLC25A38,gene-SLC25A38,39051,53170,chr15,NC_023656.1,0,1,"[-19.6071796018, 61.9448287841, -12.8954700287]",-19.6071796018,61.9448287841,-12.8954700287,"[-19.731593406, 61.979125247, -12.874908529]",-19.731593406,61.979125247,-12.874908529,46110,-19.731593406,61.979125247,-12.874908529,53.169999999999995,"[-19.731593406, 61.979125247, -12.874908529]"
LOC103221036,gene-LOC103221036,55401,61964,chr15,NC_023656.1,0,1,"[-19.7512525318, 61.9845445691, -12.8716595237]",-19.7512525318,61.9845445691,-12.8716595237,"[-19.809084375199998, 62.0004867524, -12.8621018268]",-19.809084375199998,62.0004867524,-12.8621018268,58682,-19.809084375199998,62.0004867524,-12.8621018268,61.964,"[-19.809084375199998, 62.0004867524, -12.8621018268]"
LOC103221037,gene-LOC103221037,80850,82007,chr15,NC_023656.1,0,1,"[-19.97550403, 62.046362735, -12.834598145000001]",-19.97550403,62.046362735,-12.834598145000001,"[-19.9856992826, 62.0491732037, -12.8329132059]",-19.9856992826,62.0491732037,-12.8329132059,81428,-19.9856992826,62.0491732037,-12.8329132059,82.00699999999999,"[-19.9856992826, 62.0491732037, -12.8329132059]"
CCR8,gene-CCR8,83215,87282,chr15,NC_023656.1,0,1,"[-19.996343937, 62.0521075565, -12.831153995500001]",-19.996343937,62.0521075565,-12.831153995500001,"[-20.0321815276, 62.0619867062, -12.825231223400001]",-20.0321815276,62.0619867062,-12.825231223400001,85248,-20.0321815276,62.0619867062,-12.825231223400001,87.28200000000001,"[-20.0321815276, 62.0619867062, -12.825231223400001]"
CX3CR1,gene-CX3CR1,136757,153316,chr15,NC_023656.1,1,2,"[-20.4681453326, 62.1821664287, -12.753180780900001]",-20.4681453326,62.1821664287,-12.753180780900001,"[-20.6140599288, 62.2223898956, -12.729065909200001]",-20.6140599288,62.2223898956,-12.729065909200001,145036,-20.6140599288,62.2223898956,-12.729065909200001,53.315999999999995,"[-20.6140599288, 62.2223898956, -12.729065909200001]"
LOC103221044,gene-LOC103221044,158866,159414,chr15,NC_023656.1,1,2,"[-20.6629654188, 62.235871400600004, -12.7209834442]",-20.6629654188,62.235871400600004,-12.7209834442,"[-20.6677942852, 62.2372025474, -12.720185391800001]",-20.6677942852,62.2372025474,-12.720185391800001,159140,-20.6677942852,62.2372025474,-12.720185391800001,59.414,"[-20.6677942852, 62.2372025474, -12.720185391800001]"
XIRP1,gene-XIRP1,221365,232284,chr15,NC_023656.1,2,3,"[-20.884109071, 62.299480182500005, -12.8140469905]",-20.884109071,62.299480182500005,-12.8140469905,"[-20.8118842536, 62.280923342, -12.8922237548]",-20.8118842536,62.280923342,-12.8922237548,226824,-20.8118842536,62.280923342,-12.8922237548,32.284,"[-20.8118842536, 62.280923342, -12.8922237548]"
CSRNP1,gene-CSRNP1,262329,274003,chr15,NC_023656.1,2,3,"[-20.6131485966, 62.2298618645, -13.1073369413]",-20.6131485966,62.2298618645,-13.1073369413,"[-20.535929756199998, 62.2100219015, -13.190919279100001]",-20.535929756199998,62.2100219015,-13.190919279100001,268166,-20.535929756199998,62.2100219015,-13.190919279100001,74.003,"[-20.535929756199998, 62.2100219015, -13.190919279100001]"
TTC21A,gene-TTC21A,276965,308194,chr15,NC_023656.1,2,4,"[-20.71722750575, 62.34487187, -13.32820107525]",-20.71722750575,62.34487187,-13.32820107525,"[-20.5921725367, 62.348556892, -13.5988893629]",-20.5921725367,62.348556892,-13.5988893629,292579,-20.5921725367,62.348556892,-13.5988893629,54.096999999999994,"[-20.5921725367, 62.348556892, -13.5988893629]"
