chr,bin1_start,bin2_start,contact_count
chr19,1000000,1000000,21756.72265625
chr19,1000000,1100000,5957.2724609375
chr19,1100000,1100000,21229.876953125
chr19,1000000,1200000,3900.9130859375
chr19,1100000,1200000,4836.296875
chr19,1200000,1200000,16114.3837890625
chr19,1000000,1300000,985.193603515625
chr19,1100000,1300000,1101.3648681640625
chr19,1200000,1300000,4123.68310546875
chr19,1300000,1300000,17650.6796875
chr19,1000000,1400000,1105.649169921875
chr19,1100000,1400000,882.1140747070312
chr19,1200000,1400000,1835.096435546875
chr19,1300000,1400000,3527.464599609375
chr19,1400000,1400000,17131.19921875
chr19,1000000,1500000,908.21826171875
chr19,1100000,1500000,673.74169921875
chr19,1200000,1500000,1255.57470703125
chr19,1300000,1500000,1948.9334716796875
chr19,1400000,1500000,4980.92333984375
chr19,1500000,1500000,17360.640625
chr19,1000000,1600000,911.8946533203125
chr19,1100000,1600000,637.1638793945312
chr19,1200000,1600000,1331.25341796875
chr19,1300000,1600000,1748.7620849609375
chr19,1400000,1600000,3085.4892578125
chr19,1500000,1600000,5240.63720703125
chr19,1600000,1600000,17001.443359375
chr19,1000000,1700000,669.0202026367188
chr19,1100000,1700000,595.6329345703125
chr19,1200000,1700000,1594.225341796875
chr19,1300000,1700000,1988.56494140625
chr19,1400000,1700000,2057.1259765625
chr19,1500000,1700000,2123.548583984375
chr19,1600000,1700000,3814.170166015625
chr19,1700000,1700000,14578.6572265625
chr19,1000000,1800000,241.07994079589844
chr19,1100000,1800000,356.861572265625
chr19,1200000,1800000,563.7601318359375
chr19,1300000,1800000,999.916748046875
chr19,1400000,1800000,570.0160522460938
chr19,1500000,1800000,580.50732421875
chr19,1600000,1800000,730.7958984375
chr19,1700000,1800000,2797.250732421875
chr19,1800000,1800000,17834.87890625
chr19,1000000,1900000,160.12994384765625
chr19,1100000,1900000,188.78713989257812
chr19,1200000,1900000,484.4644775390625
chr19,1300000,1900000,670.0953979492188
chr19,1400000,1900000,394.2709045410156
chr19,1500000,1900000,412.9080505371094
chr19,1600000,1900000,469.7462158203125
chr19,1700000,1900000,1815.6219482421875
chr19,1800000,1900000,5199.5830078125
chr19,1900000,1900000,15790.7822265625
chr19,1000000,2000000,83.97953796386719
chr19,1100000,2000000,98.11065673828125
chr19,1200000,2000000,275.62469482421875
chr19,1300000,2000000,345.4512939453125
chr19,1400000,2000000,271.1000061035156
chr19,1500000,2000000,254.4654541015625
chr19,1600000,2000000,341.9259948730469
chr19,1700000,2000000,1067.539794921875
chr19,1800000,2000000,1294.239013671875
chr19,1900000,2000000,3422.0166015625
chr19,2000000,2000000,14994.3935546875
chr19,1000000,2100000,86.59669494628906
chr19,1100000,2100000,137.62152099609375
chr19,1200000,2100000,170.58741760253906
chr19,1300000,2100000,298.0235900878906
chr19,1400000,2100000,192.0872344970703
chr19,1500000,2100000,169.3128204345703
chr19,1600000,2100000,236.89959716796875
chr19,1700000,2100000,574.51708984375
chr19,1800000,2100000,879.9382934570312
chr19,1900000,2100000,1445.870849609375
chr19,2000000,2100000,4487.28857421875
chr19,2100000,2100000,17067.501953125
chr19,1000000,2200000,85.84358215332031
chr19,1100000,2200000,102.12430572509766
chr19,1200000,2200000,190.06224060058594
chr19,1300000,2200000,284.4670104980469
chr19,1400000,2200000,156.6856231689453
chr19,1500000,2200000,144.93458557128906
chr19,1600000,2200000,159.19961547851562
chr19,1700000,2200000,507.1877136230469
chr19,1800000,2200000,910.9048461914062
chr19,1900000,2200000,1501.167236328125
chr19,2000000,2200000,3451.46630859375
chr19,2100000,2200000,5610.5947265625
chr19,2200000,2200000,16695.802734375
chr19,1000000,2300000,120.95087432861328
chr19,1100000,2300000,133.86610412597656
chr19,1200000,2300000,180.23695373535156
chr19,1300000,2300000,326.974365234375
chr19,1400000,2300000,257.3816223144531
chr19,1500000,2300000,300.2209167480469
chr19,1600000,2300000,353.0107421875
chr19,1700000,2300000,790.9260864257812
chr19,1800000,2300000,909.682861328125
chr19,1900000,2300000,1529.1517333984375
chr19,2000000,2300000,2684.74609375
chr19,2100000,2300000,2130.276123046875
chr19,2200000,2300000,3261.9296875
chr19,2300000,2300000,15565.302734375
chr19,1000000,2400000,82.9732894897461
chr19,1100000,2400000,85.89844512939453
chr19,1200000,2400000,192.89588928222656
chr19,1300000,2400000,258.58740234375
chr19,1400000,2400000,185.31698608398438
chr19,1500000,2400000,218.1898193359375
chr19,1600000,2400000,271.5577087402344
chr19,1700000,2400000,635.7886352539062
chr19,1800000,2400000,826.5426025390625
chr19,1900000,2400000,1333.63671875
chr19,2000000,2400000,1761.3243408203125
chr19,2100000,2400000,1228.37939453125
