chromosome,timepoint,gene_name,middle_x,middle_y,middle_z,cluster
chr3,24hrs,LOC103248951,-41.280529328,16.728850968,-19.801994614,-1
chr3,24hrs,MRPL57,-41.319138352,16.608130112,-19.728694976,-1
chr3,24hrs,SKA3,-41.3881963232,16.3922029392,-19.5975876916,1
chr3,24hrs,SAP18,-41.4285995232,16.2658721392,-19.5208817916,1
chr3,24hrs,LOC103248954,-41.5298430944,15.9493085664,-19.3286698072,1
chr3,24hrs,LATS2,-41.688955591,15.8293497959,-19.5212929216,1
chr3,24hrs,XPO4,-41.1972329896,15.3642766744,-19.8655211014,1
chr3,24hrs,N6AMT2,-41.846482077000005,15.212427448,-20.102815265,1
chr3,24hrs,IL17D,-41.1831444725,15.3126397675,-20.2636499625,1
chr3,24hrs,LOC103248962,-41.07693816085,15.38949825475,-20.52438478225,1
chr3,24hrs,LOC103248963,-41.401640504,15.184359048,-20.55664572,1
chr3,24hrs,CRYL1,-41.2780719581,15.071545816266667,-20.0517050714,1
chr3,24hrs,GJB6,-40.878237864,15.205367568,-19.966864997,1
chr3,24hrs,GJB2,-41.019795824,15.1520262925,-19.9524852905,1
chr3,24hrs,GJA3,-41.1050870368,15.1202218235,-20.3801556671,1
chr3,24hrs,LOC103248970,-41.147923312,15.10424849,-20.594946914,1
chr3,24hrs,LOC103248969,-41.1558847072,15.101279744,-20.6348672384,1
chr3,24hrs,ZMYM2,-40.9328349384,15.0807553144,-20.094105404466667,1
chr3,24hrs,ZMYM5,-40.8751296672,15.440193952,-19.67912652,1
chr3,24hrs,PSPC1,-40.7928189555,15.412104039,-20.308777893,1
chr3,24hrs,LOC103248975,-40.5843301392,15.542092432,-19.9940433312,1
chr3,24hrs,MPHOSPH8,-40.7238133155,15.59205988,-20.348295033,1
chr3,24hrs,LOC103248978,-40.4760355136,15.6916957728,-19.9402450432,1
chr3,24hrs,TPTE2,-41.0930541168,15.253617564,-19.6867105464,1
chr3,24hrs,LOC103248982,-40.3452909838,15.7400349324,-19.7199559706,1
chr3,24hrs,LOC103248981,-41.075535913,15.249216957,-19.59019804,1
chr3,24hrs,LOC103248980,-41.031710824,15.277146936,-19.58858592,1
