gene_name,gene_id,gene_start,gene_end,chromosome,peak_start,peak_end,chromosome_nc,name,score,strand,signalValue,pValue,qValue,peak
SCGB1C1,gene-SCGB1C1,2628,4911,chr1,2873,3717,NC_023642.1,2803_005_autosomes_peak_2,47,.,4.80575,6.64704,4.70516,99
SCGB1C1,gene-SCGB1C1,2628,4911,chr1,4073,4567,NC_023642.1,2803_005_autosomes_peak_3,29,.,3.8446,4.75003,2.95094,151
ODF3,gene-ODF3,4916,10379,chr1,5490,6310,NC_023642.1,2803_005_autosomes_peak_4a,66,.,5.7669,8.70715,6.65214,162
ODF3,gene-ODF3,4916,10379,chr1,5490,6310,NC_023642.1,2803_005_autosomes_peak_4b,66,.,5.7669,8.70715,6.65214,463
ODF3,gene-ODF3,4916,10379,chr1,6952,7903,NC_023642.1,2803_005_autosomes_peak_5,38,.,4.32517,5.67619,3.80116,506
ODF3,gene-ODF3,4916,10379,chr1,8228,8939,NC_023642.1,2803_005_autosomes_peak_6,38,.,4.32517,5.67619,3.80116,520
ODF3,gene-ODF3,4916,10379,chr1,10212,10421,NC_023642.1,2803_005_autosomes_peak_7,14,.,2.88345,3.05299,1.44702,75
BET1L,gene-BET1L,14423,18444,chr1,15000,15265,NC_023642.1,2803_005_autosomes_peak_9,29,.,3.8446,4.75003,2.95094,89
BET1L,gene-BET1L,14423,18444,chr1,16549,16703,NC_023642.1,2803_005_autosomes_peak_10,14,.,2.88345,3.05299,1.44702,59
BET1L,gene-BET1L,14423,18444,chr1,17046,19930,NC_023642.1,2803_005_autosomes_peak_11a,702,.,26.9122,73.4223,70.2489,685
BET1L,gene-BET1L,14423,18444,chr1,17046,19930,NC_023642.1,2803_005_autosomes_peak_11b,651,.,25.4705,68.3021,65.1854,783
BET1L,gene-BET1L,14423,18444,chr1,17046,19930,NC_023642.1,2803_005_autosomes_peak_11c,292,.,14.4172,31.8648,29.2379,1069
BET1L,gene-BET1L,14423,18444,chr1,17046,19930,NC_023642.1,2803_005_autosomes_peak_11d,196,.,11.0532,22.0854,19.6388,1701
BET1L,gene-BET1L,14423,18444,chr1,17046,19930,NC_023642.1,2803_005_autosomes_peak_11e,278,.,13.9367,30.4209,27.8181,1836
BET1L,gene-BET1L,14423,18444,chr1,17046,19930,NC_023642.1,2803_005_autosomes_peak_11f,121,.,8.16977,14.4197,12.1577,2390
RIC8A,gene-RIC8A,18597,25398,chr1,17046,19930,NC_023642.1,2803_005_autosomes_peak_11a,702,.,26.9122,73.4223,70.2489,685
RIC8A,gene-RIC8A,18597,25398,chr1,17046,19930,NC_023642.1,2803_005_autosomes_peak_11b,651,.,25.4705,68.3021,65.1854,783
RIC8A,gene-RIC8A,18597,25398,chr1,17046,19930,NC_023642.1,2803_005_autosomes_peak_11c,292,.,14.4172,31.8648,29.2379,1069
RIC8A,gene-RIC8A,18597,25398,chr1,17046,19930,NC_023642.1,2803_005_autosomes_peak_11d,196,.,11.0532,22.0854,19.6388,1701
RIC8A,gene-RIC8A,18597,25398,chr1,17046,19930,NC_023642.1,2803_005_autosomes_peak_11e,278,.,13.9367,30.4209,27.8181,1836
RIC8A,gene-RIC8A,18597,25398,chr1,17046,19930,NC_023642.1,2803_005_autosomes_peak_11f,121,.,8.16977,14.4197,12.1577,2390
SIRT3,gene-SIRT3,25740,49471,chr1,33869,34707,NC_023642.1,2803_005_autosomes_peak_12,38,.,4.32517,5.67619,3.80116,744
SIRT3,gene-SIRT3,25740,49471,chr1,36787,37387,NC_023642.1,2803_005_autosomes_peak_13,222,.,12.0144,24.7976,22.2967,299
SIRT3,gene-SIRT3,25740,49471,chr1,48553,49700,NC_023642.1,2803_005_autosomes_peak_14a,209,.,11.5338,23.4327,20.9588,281
SIRT3,gene-SIRT3,25740,49471,chr1,48553,49700,NC_023642.1,2803_005_autosomes_peak_14b,335,.,15.859,36.2799,33.5826,814
PSMD13,gene-PSMD13,49510,67353,chr1,48553,49700,NC_023642.1,2803_005_autosomes_peak_14a,209,.,11.5338,23.4327,20.9588,281
PSMD13,gene-PSMD13,49510,67353,chr1,48553,49700,NC_023642.1,2803_005_autosomes_peak_14b,335,.,15.859,36.2799,33.5826,814
