gene_name,gene_id,start,end,chromosome,chromosome_nc,structure_start_id,structure_end_id,start_pos,start_x,start_y,start_z,end_pos,end_x,end_y,end_z,middle,middle_x,middle_y,middle_z,middle_percent,middle_pos
PCMTD2,gene-PCMTD2,11397,31197,chr2,NC_023643.1,0,1,"[27.321451455400002, -25.4812683399, -12.1394646991]",27.321451455400002,-25.4812683399,-12.1394646991,"[27.400813815400003, -25.5079329999, -12.3026226391]",27.400813815400003,-25.5079329999,-12.3026226391,21297,27.400813815400003,-25.5079329999,-12.3026226391,31.197000000000003,"[27.400813815400003, -25.5079329999, -12.3026226391]"
LOC103242308,gene-LOC103242308,44849,50451,chr2,NC_023643.1,0,1,"[27.4555337618, -25.5263181483, -12.415119214699999]",27.4555337618,-25.5263181483,-12.415119214699999,"[27.4779876982, -25.5338623617, -12.4612813753]",27.4779876982,-25.5338623617,-12.4612813753,47650,27.4779876982,-25.5338623617,-12.4612813753,50.451,"[27.4779876982, -25.5338623617, -12.4612813753]"
MYT1,gene-MYT1,59574,96113,chr2,NC_023643.1,0,1,"[27.5145545068, -25.5461483058, -12.5364576322]",27.5145545068,-25.5461483058,-12.5364576322,"[27.6610101266, -25.5953553771, -12.8375499539]",27.6610101266,-25.5953553771,-12.8375499539,77843,27.6610101266,-25.5953553771,-12.8375499539,96.113,"[27.6610101266, -25.5953553771, -12.8375499539]"
NPBWR2,gene-NPBWR2,141897,145294,chr2,NC_023643.1,1,2,"[27.8445215554, -25.6570126899, -13.2148238491]",27.8445215554,-25.6570126899,-13.2148238491,"[27.8581374108, -25.6615874298, -13.2428161482]",27.8581374108,-25.6615874298,-13.2428161482,143595,27.8581374108,-25.6615874298,-13.2428161482,45.294000000000004,"[27.8581374108, -25.6615874298, -13.2428161482]"
OPRL1,gene-OPRL1,148462,157915,chr2,NC_023643.1,1,2,"[27.8708353884, -25.6658537754, -13.2689214186]",27.8708353884,-25.6658537754,-13.2689214186,"[27.908724903, -25.6785841305, -13.3468169745]",27.908724903,-25.6785841305,-13.3468169745,153188,27.908724903,-25.6785841305,-13.3468169745,57.915000000000006,"[27.908724903, -25.6785841305, -13.3468169745]"
LOC103242338,gene-LOC103242338,155881,166480,chr2,NC_023643.1,1,2,"[27.9005722242, -25.6758449427, -13.3300562043]",27.9005722242,-25.6758449427,-13.3300562043,"[27.943055136, -25.690118616, -13.417395144]",27.943055136,-25.690118616,-13.417395144,161180,27.943055136,-25.690118616,-13.417395144,66.47999999999999,"[27.943055136, -25.690118616, -13.417395144]"
LKAAEAR1,gene-LKAAEAR1,160545,163273,chr2,NC_023643.1,1,2,"[27.919266469, -25.6821259515, -13.368488963499999]",27.919266469,-25.6821259515,-13.368488963499999,"[27.9302008386, -25.6857997491, -13.3909685019]",27.9302008386,-25.6857997491,-13.3909685019,161909,27.9302008386,-25.6857997491,-13.3909685019,63.273,"[27.9302008386, -25.6857997491, -13.3909685019]"
RGS19,gene-RGS19,166690,173324,chr2,NC_023643.1,1,2,"[27.943896858000002, -25.690401423, -13.419125607]",27.943896858000002,-25.690401423,-13.419125607,"[27.970487256800002, -25.6993354308, -13.473791757199999]",27.970487256800002,-25.6993354308,-13.473791757199999,170007,27.970487256800002,-25.6993354308,-13.473791757199999,73.324,"[27.970487256800002, -25.6993354308, -13.473791757199999]"
TCEA2,gene-TCEA2,174158,184237,chr2,NC_023643.1,1,2,"[27.9738300956, -25.7004585786, -13.480664167399999]",27.9738300956,-25.7004585786,-13.480664167399999,"[28.0142287434, -25.7140319679, -13.5637181511]",28.0142287434,-25.7140319679,-13.5637181511,179197,28.0142287434,-25.7140319679,-13.5637181511,84.237,"[28.0142287434, -25.7140319679, -13.5637181511]"
LOC103242374,gene-LOC103242374,185205,209280,chr2,NC_023643.1,1,3,"[27.90498626275, -25.51611350275, -12.848883705499999]",27.90498626275,-25.51611350275,-12.848883705499999,"[27.969520504000002, -25.492244344, -12.843035888]",27.969520504000002,-25.492244344,-12.843035888,197242,27.969520504000002,-25.492244344,-12.843035888,54.64,"[27.969520504000002, -25.492244344, -12.843035888]"
