gene_name,gene_id,gene_start,gene_end,chromosome,peak_start,peak_end,chromosome_nc,name,score,strand,signalValue,pValue,qValue,peak
LOC103235588,gene-LOC103235588,315569,343837,chr7,322825,323035,NC_023648.1,2803_005_autosomes_peak_38465,929,.,33.1597,96.3664,92.9583,189
TMPRSS11E,gene-TMPRSS11E,483747,521490,chr7,516780,516900,NC_023648.1,2803_005_autosomes_peak_38466,14,.,2.88345,3.05299,1.44702,82
YTHDC1,gene-YTHDC1,633158,670000,chr7,632838,633517,NC_023648.1,2803_005_autosomes_peak_38470,292,.,14.4172,31.8648,29.2379,328
YTHDC1,gene-YTHDC1,633158,670000,chr7,633693,633937,NC_023648.1,2803_005_autosomes_peak_38471,14,.,2.88345,3.05299,1.44702,91
YTHDC1,gene-YTHDC1,633158,670000,chr7,636268,636442,NC_023648.1,2803_005_autosomes_peak_38472,14,.,2.88345,3.05299,1.44702,48
YTHDC1,gene-YTHDC1,633158,670000,chr7,640887,640994,NC_023648.1,2803_005_autosomes_peak_38473,21,.,3.36402,3.87357,2.16261,62
TMPRSS11A,gene-TMPRSS11A,1005831,1046469,chr7,1043936,1044276,NC_023648.1,2803_005_autosomes_peak_38478,14,.,2.88345,3.05299,1.44702,169
UBA6,gene-UBA6,1246462,1320919,chr7,1245921,1247073,NC_023648.1,2803_005_autosomes_peak_38482a,569,.,23.0676,59.933,56.9144,450
UBA6,gene-UBA6,1246462,1320919,chr7,1245921,1247073,NC_023648.1,2803_005_autosomes_peak_38482b,504,.,21.1453,53.3979,50.4605,661
CENPC,gene-CENPC,1393336,1464189,chr7,1392703,1393678,NC_023648.1,2803_005_autosomes_peak_38484a,56,.,5.28632,7.6585,5.65683,259
CENPC,gene-CENPC,1393336,1464189,chr7,1392703,1393678,NC_023648.1,2803_005_autosomes_peak_38484b,472,.,20.1841,50.188,47.2923,587
EPHA5,gene-EPHA5,3219396,3564416,chr7,3219001,3219653,NC_023648.1,2803_005_autosomes_peak_38490,145,.,9.13092,16.889,14.5606,366
EPHA5,gene-EPHA5,3219396,3564416,chr7,3221244,3221383,NC_023648.1,2803_005_autosomes_peak_38491,14,.,2.88345,3.05299,1.44702,48
EPHA5,gene-EPHA5,3219396,3564416,chr7,3400526,3400748,NC_023648.1,2803_005_autosomes_peak_38492,21,.,3.36402,3.87357,2.16261,48
TECRL,gene-TECRL,4414168,4536561,chr7,4505418,4505663,NC_023648.1,2803_005_autosomes_peak_38493,29,.,3.8446,4.75003,2.95094,52
TECRL,gene-TECRL,4414168,4536561,chr7,4507493,4507723,NC_023648.1,2803_005_autosomes_peak_38494,21,.,3.36402,3.87357,2.16261,125
LPHN3,gene-LPHN3,6726400,7261059,chr7,7047611,7047798,NC_023648.1,2803_005_autosomes_peak_38502,38,.,4.32517,5.67619,3.80116,129
LPHN3,gene-LPHN3,6726400,7261059,chr7,7141792,7142331,NC_023648.1,2803_005_autosomes_peak_38503,47,.,4.80575,6.64704,4.70516,293
LPHN3,gene-LPHN3,6726400,7261059,chr7,7166167,7166382,NC_023648.1,2803_005_autosomes_peak_38504,29,.,3.8446,4.75003,2.95094,64
LPHN3,gene-LPHN3,6726400,7261059,chr7,7226044,7226228,NC_023648.1,2803_005_autosomes_peak_38505,21,.,3.36402,3.87357,2.16261,110
LOC103235626,gene-LOC103235626,8027113,8029986,chr7,8026876,8027274,NC_023648.1,2803_005_autosomes_peak_38518,76,.,6.24747,9.79008,7.68686,125
LOC103235631,gene-LOC103235631,11542483,11544981,chr7,11544117,11544803,NC_023648.1,2803_005_autosomes_peak_38537,66,.,5.7669,8.70715,6.65214,287
IGFBP7,gene-IGFBP7,11617096,11694530,chr7,11617385,11617876,NC_023648.1,2803_005_autosomes_peak_38544,47,.,4.80575,6.64704,4.70516,245
IGFBP7,gene-IGFBP7,11617096,11694530,chr7,11624237,11625454,NC_023648.1,2803_005_autosomes_peak_38545,76,.,6.24747,9.79008,7.68686,663
IGFBP7,gene-IGFBP7,11617096,11694530,chr7,11625957,11626557,NC_023648.1,2803_005_autosomes_peak_38546,56,.,5.28632,7.6585,5.65683,402
IGFBP7,gene-IGFBP7,11617096,11694530,chr7,11645556,11646650,NC_023648.1,2803_005_autosomes_peak_38547,441,.,19.223,47.019,44.1655,489
IGFBP7,gene-IGFBP7,11617096,11694530,chr7,11647412,11647536,NC_023648.1,2803_005_autosomes_peak_38548,14,.,2.88345,3.05299,1.44702,46
IGFBP7,gene-IGFBP7,11617096,11694530,chr7,11647897,11648711,NC_023648.1,2803_005_autosomes_peak_38549a,47,.,4.80575,6.64704,4.70516,99
IGFBP7,gene-IGFBP7,11617096,11694530,chr7,11647897,11648711,NC_023648.1,2803_005_autosomes_peak_38549b,87,.,6.72805,10.9048,8.75743,534
IGFBP7,gene-IGFBP7,11617096,11694530,chr7,11649079,11649521,NC_023648.1,2803_005_autosomes_peak_38550,121,.,8.16977,14.4197,12.1577,283
IGFBP7,gene-IGFBP7,11617096,11694530,chr7,11652244,11653339,NC_023648.1,2803_005_autosomes_peak_38551a,66,.,5.7669,8.70715,6.65214,257
IGFBP7,gene-IGFBP7,11617096,11694530,chr7,11652244,11653339,NC_023648.1,2803_005_autosomes_peak_38551b,87,.,6.72805,10.9048,8.75743,471
IGFBP7,gene-IGFBP7,11617096,11694530,chr7,11655837,11656504,NC_023648.1,2803_005_autosomes_peak_38552,133,.,8.65034,15.6427,13.3468,320
IGFBP7,gene-IGFBP7,11617096,11694530,chr7,11660182,11660371,NC_023648.1,2803_005_autosomes_peak_38553,21,.,3.36402,3.87357,2.16261,100
IGFBP7,gene-IGFBP7,11617096,11694530,chr7,11662147,11662425,NC_023648.1,2803_005_autosomes_peak_38554,21,.,3.36402,3.87357,2.16261,257
IGFBP7,gene-IGFBP7,11617096,11694530,chr7,11671040,11671545,NC_023648.1,2803_005_autosomes_peak_38555,76,.,6.24747,9.79008,7.68686,333
IGFBP7,gene-IGFBP7,11617096,11694530,chr7,11674728,11674839,NC_023648.1,2803_005_autosomes_peak_38556,14,.,2.88345,3.05299,1.44702,43
IGFBP7,gene-IGFBP7,11617096,11694530,chr7,11681260,11681484,NC_023648.1,2803_005_autosomes_peak_38557,38,.,4.32517,5.67619,3.80116,173
IGFBP7,gene-IGFBP7,11617096,11694530,chr7,11687182,11687967,NC_023648.1,2803_005_autosomes_peak_38558,38,.,4.32517,5.67619,3.80116,267
POLR2B,gene-POLR2B,11694446,11736215,chr7,11701880,11702730,NC_023648.1,2803_005_autosomes_peak_38559,504,.,21.1453,53.3979,50.4605,396
POLR2B,gene-POLR2B,11694446,11736215,chr7,11704699,11705243,NC_023648.1,2803_005_autosomes_peak_38560,133,.,8.65034,15.6427,13.3468,329
POLR2B,gene-POLR2B,11694446,11736215,chr7,11711505,11711696,NC_023648.1,2803_005_autosomes_peak_38561,21,.,3.36402,3.87357,2.16261,124
REST,gene-REST,11749312,11776103,chr7,11770719,11770889,NC_023648.1,2803_005_autosomes_peak_38563,29,.,3.8446,4.75003,2.95094,69
REST,gene-REST,11749312,11776103,chr7,11774341,11775650,NC_023648.1,2803_005_autosomes_peak_38564a,121,.,8.16977,14.4197,12.1577,418
