gene_name,expr_delta_12h,expr_delta_18h,expr_delta_24h,acc_delta_12h_tss,acc_delta_18h_tss,acc_delta_24h_tss
LOC103233554,2.32613725561904,1.1840238634507,0.962718776196847,0.0023100000000000342,0.6695100000000007,0.5167299999999999
PPAP2C,-2.56139745195172,-0.814563978205939,0.0,0.5811000000000002,-2.83567,0.20839000000000052
MIER2,0.638096894328491,0.976699235955681,1.45293339016843,2.4104799999999997,4.47951,-0.29025999999999996
THEG,2.3498496083237,-0.786753266103361,0.951042688304255,0.48348999999999975,0.4871699999999999,-0.6166699999999996
LOC103233555,0.0951017873339921,0.207855880611505,0.681793061386245,0.48348999999999975,0.4871699999999999,
C2CD4C,,,,-0.9600300000000002,-0.5387899999999997,0.34448000000000034
SHC2,-0.387613339863627,-0.378633577749026,-0.684416682840961,0.6764099999999997,0.6096499999999994,0.67089
LOC103233558,-0.563341078213766,-0.657229826034714,-0.408160820216181,,,
ODF3L2,-2.23705607704287,-2.4094872137142,-3.31362280373259,-1.4411999999999998,0.4871699999999999,-3.32787
MADCAM1,1.99596547887599,0.0,-1.46653318539633,2.02461,0.1850900000000002,-3.5001199999999995
TPGS1,-0.344898608882913,1.5394833874373,0.95592972010278,9.8372,-16.4154,-12.114270000000001
CDC34,-0.767830574528979,-0.435059754322041,-0.274511546508745,-1.5341900000000006,1.2764100000000003,-0.44442000000000004
GZMM,2.18172351942559,0.0,0.957650465400019,-1.5365099999999998,0.6695100000000007,3.4182500000000005
LOC103233585,0.0,0.0,-0.492126251241272,32.3592,2.4220999999999995,26.97495
LOC103233584,,,,-5.38358,1.09132,-0.11801999999999957
BSG,-0.568599115274873,-1.34617764166156,-1.72886006237122,-4.709479999999999,-5.7339400000000005,-4.116739999999999
HCN2,0.988949951426702,1.05452654691702,1.44570556307645,0.6764099999999997,0.005499999999999616,1.3237100000000002
POLRMT,0.22372413763152,-0.265127632911309,-0.114689671531213,-0.47886000000000006,0.30756999999999923,1.1695400000000005
FGF22,-1.90157859252677,0.0,-0.476128532183249,7.517329999999999,2.66706,-1.40557
RNF126,,,,-6.0576799999999995,-0.41905999999999954,-1.5778199999999996
FSTL3,-0.329462952248783,-0.184631951680786,-0.204930170970968,1.25521,1.2764100000000003,1.6501100000000006
LOC103233580,0.0,0.0,-0.47611566869659,1.8316899999999996,,
PRSS57,,,,1.3505099999999999,1.6356000000000002,-2.0583899999999997
PALM,0.986894934791222,0.901556906968909,3.35398593430409,1.8316899999999996,-1.2654299999999998,-0.11801999999999957
MISP,-0.9679294576485,-1.39361330419447,-1.63513303374359,0.00462999999999969,4.17743,-4.923719999999999
PTBP1,-0.466413972762569,-0.563953486494729,-0.534541080292156,1.7363799999999996,3.3909400000000005,6.011480000000001
LOC103233575,0.676753251344636,0.0,0.0,2.4104799999999997,-6.640140000000001,-11.17122
AZU1,,,,,-2.47373,1.6501100000000006
PRTN3,,,,,1.2138,-0.29025999999999996
ELANE,,,,2.2220999999999993,-4.4031899999999995,-3.17371
CFD,,,,2.5057899999999997,2.1200299999999994,-0.5985899999999997
MED16,,,,-0.8624099999999997,0.06536000000000008,1.8223599999999998
LOC103233569,1.4528696344081,0.37310904088423,0.7228937716765,-5.288279999999999,-39.182500000000005,-46.987899999999996
R3HDM4,-0.280006241511535,-0.342837000197536,-0.0529067383864206,6.262129999999999,0.4871699999999999,-0.29025999999999996
KISS1R,2.64375058251753,2.31246471660558,2.90494249797008,2.69872,0.06810999999999989,-0.11801999999999957
ARID3A,-0.0198235087353729,-0.420221290481262,0.859134371196362,-2.594150000000001,3.0888600000000004,-0.11801999999999957
WDR18,0.277515849317279,-0.253165370555748,-0.261710380907242,-1.4366000000000003,-1.2599300000000007,1.8223599999999998
GRIN3B,-0.0430813465654845,1.89669650500935,1.05570643005967,2.02461,-0.11697999999999986,-0.6166699999999996
TMEM259,0.263218956106347,0.473925585847043,0.435337829007959,0.19523999999999964,1.2138,-0.11801999999999957
ABCA7,0.326205787686443,0.428107988258465,0.710875445916875,34.286190000000005,19.17524,1.1695400000000005
HMHA1,-0.1390849503569,1.21046899183789,1.96198402961834,-0.47886000000000006,-1.4450199999999995,-1.8861499999999998
POLR2E,-0.585635597032673,-0.510083530600059,-0.634644534909722,0.0023100000000000342,0.12522000000000055,-1.25141
GPX4,-1.13421320292294,-1.10742852430759,-2.69304778391917,3.56575,1.39614,1.8042800000000003
SBNO2,0.376956662764012,0.538227302990334,0.360445737621852,-2.6917800000000005,-0.5387899999999997,-1.8861499999999998
STK11,-0.220345484281338,0.744471158681524,0.404360707526889,-9.326,8.04732,0.036150000000000126
C6H19orf26,0.701055033411253,1.55176381135744,2.09615675246534,-18.089290000000002,-12.681640000000002,-6.383559999999999
ATP5D,-0.895894015754295,-0.969324700573178,-1.59929266385782,-6.9201000000000015,1.03145,-3.9806899999999996
LOC103234319,0.244165275435802,-3.25832851279328,-0.0272928034836649,-52.63588,15.30539,-18.99649
MIDN,-0.813814873708664,-0.609836456552996,-0.212308165855007,-52.63588,7.141089999999999,-0.25410999999999895
CIRBP,-0.385309336787462,-0.571743782424499,-0.969619679401004,-0.9600300000000002,2.06016,3.8988300000000002
C6H19orf24,-0.312272193656945,0.0479758046704234,0.0622710730233842,2.3151699999999993,0.42730000000000024,0.036150000000000126
EFNA2,-0.254524512674279,1.37788934125655,1.12159846283821,0.0023100000000000342,3.0888600000000004,-0.11801999999999957
LOC103233604,1.35774800023294,1.46591466400279,1.92049559508277,-0.9554000000000009,3.9950900000000003,0.6889600000000007
TRNAF-GAA,0.434052608749029,0.536451920716996,0.582447218858533,3.1030999999999977,-5.0535,
TRNAN-GUU,-0.629570857457874,3.0857051650189,3.98729788675183,3.1030999999999977,-5.0535,-18.99649
NDUFS7,-0.770095565234957,-0.829190968382116,-0.53684242811055,3.1030999999999977,-5.0535,-18.99649
GAMT,-0.828506658618179,-1.32462309414698,-2.08113126738039,1.0622699999999998,-0.2965800000000005,-1.40557
DAZAP1,0.950603059791758,1.16056211031442,1.97368483547473,25.71582,0.6096499999999994,-3.6542899999999996
RPS15,-0.358739143183455,-0.0963778550738993,-1.00404297153287,-11.055400000000002,-8.330190000000002,1.3237100000000002
APC2,-0.171039050934912,-0.430143959704307,-0.612939227162832,-15.967,2.9065200000000004,-5.8668700000000005
C6H19orf25,0.377436600598215,0.535535594806607,1.04191136667854,3.5702999999999996,1.5757400000000001,-0.11801999999999957
PCSK4,,,,-0.47886000000000006,1.2138,-0.5985899999999997
LOC103234308,-0.791117973358745,-1.59229320246445,-1.48960582210968,,,
REEP6,-0.47283004294428,-1.08233037471351,-2.81635426745165,25.6182,13.18804,-10.86289
ADAMTSL5,0.106638371464391,0.679557099642037,0.63344117664943,0.0023100000000000342,1.33352,-2.0583899999999997
PLK5,,,,0.48348999999999975,0.9715900000000004,0.9973000000000001
MEX3D,-0.76546707054887,-0.743202728119044,-1.36976438057539,0.29286999999999974,-2.9554,-0.7708399999999997
MBD3,-0.432465281640656,-0.51338075731918,-1.18646859474979,1.54344,1.7580800000000005,-1.8861499999999998
LOC103234309,,,,,0.9117199999999999,
LOC103233614,-1.29719505464764,-1.62691647878906,-2.78719319846572,0.48348999999999975,2.66431,1.4778799999999999
TCF3,,,,0.6764099999999997,0.12522000000000055,0.1903100000000002
LOC103234323,,,,0.48348999999999975,0.1850900000000002,1.1514600000000002
ATP8B3,,,,0.48348999999999975,-0.11697999999999986,0.9973000000000001
