chromosome,timepoint,gene_name,middle_x,middle_y,middle_z,cluster
chr26,24hrs,LOC103245207,-18.3780892734,-28.0980219987,-24.4756766203,0
chr26,24hrs,FAM154B,-18.8221973977,-28.2200198902,-24.5692369002,0
chr26,24hrs,EFTUD1,-18.838875342,-27.9118732812,-25.110859242,0
chr26,24hrs,MEX3B,-19.3484036077,-28.230793645,-24.7670073709,0
chr26,24hrs,TMC3,-18.9221784812,-28.4629210712,-24.7964891907,0
chr26,24hrs,STARD5,-18.9790472592,-28.2890456992,-24.9401259612,0
chr26,24hrs,IL16,-19.044009412,-28.465521612,-24.354328128,0
chr26,24hrs,C26H15orf26,-18.9156282185,-28.5200233675,-24.525150471,0
chr26,24hrs,LOC103245216,-18.8150512724,-28.38817786,-24.98309301435,0
chr26,24hrs,MESDC1,-19.0681472024,-27.905798116,-25.137778012,0
chr26,24hrs,MESDC2,-18.9461620104,-27.8282637704,-25.1953809608,0
chr26,24hrs,CEMIP,-18.74542948413333,-27.785583248,-25.341507331733336,0
chr26,24hrs,LOC103246057,-18.7828507873,-27.7427811137,-24.4833403294,0
chr26,24hrs,ABHD17C,-18.6239283451,-27.7471515419,-25.3467969578,0
chr26,24hrs,ARNT2,-19.091589624,-26.857897624000003,-22.853487084,-1
chr26,24hrs,LOC103245221,-19.053600995,-27.067005526800003,-23.0693221526,-1
chr26,24hrs,FAH,-19.3710512404,-28.3045768472,-23.4769442099,-1
chr26,24hrs,ZFAND6,-20.27760415375,-28.18870558895,-23.3468662382,-1
chr26,24hrs,BCL2A1,-20.2051208915,-27.8618012535,-23.005784626,-1
chr26,24hrs,LOC103246058,-19.9491801463,-27.7269121227,-22.844128317200003,-1
chr26,24hrs,LOC103245228,-19.2379588985,-27.507061476,-22.934690227,-1
chr26,24hrs,ST20,-19.773963053200003,-27.6589045833,-22.8182205278,-1
chr26,24hrs,LOC103245230,-19.070975204,-27.426486701,-22.855101366,-1
chr26,24hrs,TRNAC-GCA,-18.7883582001,-27.4564421695,-23.3951067178,-1
chr26,24hrs,LOC103245233,-18.835214388,-28.1417090465,-24.242540722,0
chr26,24hrs,KIAA1024,-19.222065928,-28.7363229336,-23.8300472584,0
chr26,24hrs,TMED3,-19.6662151104,-28.2313056824,-23.6820845752,-1
chr26,24hrs,LOC103245238,-19.7255075744,-28.0464271039,-23.6907236947,-1
chr26,24hrs,ANKRD34C,-19.56843598125,-27.95431285625,-23.54722764375,-1
chr26,24hrs,LOC103245239,-20.223951185,-27.519890733,-23.693189978,1
chr26,24hrs,RASGRF1,-20.419443061,-26.9546577042,-23.652816563,1
chr26,24hrs,CTSH,-20.63526278,-27.08767949,-23.49398137,1
chr26,24hrs,MORF4L1,-20.621160562,-27.068295325,-23.849480967,1
chr26,24hrs,TRNAK-CUU,-20.6142691502,-27.1798733075,-23.9620039257,1
chr26,24hrs,LOC103246059,-20.9671972382,-26.9290479182,-24.1594178622,1
