gene_name,log2FC_12h,log2FC_18h,log2FC_24h,acc_untr_12h_tss,acc_untr_12h_avg,acc_vacv_12h_tss,acc_vacv_12h_avg,acc_untr_18h_tss,acc_untr_18h_avg,acc_vacv_18h_tss,acc_vacv_18h_avg,acc_untr_24h_tss,acc_untr_24h_avg,acc_vacv_24h_tss,acc_vacv_24h_avg,expr_delta_12h,expr_delta_18h,expr_delta_24h,acc_delta_12h_tss,acc_delta_18h_tss,acc_delta_24h_tss,acc_delta_12h_avg,acc_delta_18h_avg,acc_delta_24h_avg,expr_var,expr_range,acc_tss_var,acc_tss_range,acc_avg_var,acc_avg_range,expr_slope,acc_tss_slope,acc_avg_slope
SCGB1C1,,,,5.77405,8.179925,12.1338,6.516306666666666,3.02076,5.092134285714286,5.44286,5.715,4.80575,4.325175,,,,,,6.359750000000001,2.4220999999999995,,-1.6636183333333348,0.6228657142857141,,,,7.752543761250005,3.9376500000000014,2.6140046500081944,2.286484047619049,,-0.6562750000000003,0.381080674603175
ODF3,,,,5.77405,4.2102450000000005,5.39281,4.71871,3.92698,4.8057490909090905,5.44286,5.00743,5.7669,4.613518,4.8419,5.110893333333333,,,,-0.38124,1.5158799999999997,-0.9249999999999998,0.5084649999999993,0.20168090909090974,0.4973753333333333,,,1.6421057343999994,2.4408799999999995,0.030279108611625437,0.30678409090908954,,-0.04531333333333316,-0.0009241388888888356
BET1L,-0.315038774861263,-0.368512170582717,-0.155558458515422,18.7657,23.817952499999997,6.06692,16.777641111111112,3.32283,13.126565454545455,5.44286,10.885704285714285,3.8446,13.3359525,12.1047,12.1047,-0.315038774861263,-0.368512170582717,-0.155558458515422,-12.69878,2.1200299999999994,8.2601,-7.040311388888885,-2.24086116883117,-1.2312525,0.012273776472498856,0.21295371206729502,116.09537337923331,20.95888,9.633199542261675,5.8090588888888846,0.013290026362153397,1.746573333333332,0.48408824074073975
RIC8A,-0.295794630350065,-0.221667799143412,-0.362167478640339,18.7657,19.728001999999996,4.04461,16.55294,4.22906,15.305173333333336,5.44286,11.792845,26.9122,16.659928333333333,4.03491,4.4384049999999995,-0.295794630350065,-0.221667799143412,-0.362167478640339,-14.72109,1.2138,-22.87729,-3.175061999999997,-3.512328333333336,-12.221523333333334,0.004940050338940426,0.140499679496927,150.13748919003334,24.091089999999998,26.300381463853377,9.046461333333337,-0.005531070690856161,-0.679683333333332,-0.7538717777777773
SIRT3,0.552195943598951,-0.984312593879594,0.300940147507879,3.84937,15.4662,4.71871,12.673081999999999,3.62491,9.389523333333333,3.26571,6.2592775000000005,4.32517,10.9330925,3.22793,4.0349125,0.552195943598951,-0.984312593879594,0.300940147507879,0.8693399999999998,-0.35919999999999996,-1.0972399999999998,-2.7931180000000015,-3.1302458333333325,-6.898180000000001,0.6793104283429718,1.536508537478545,0.9869084115999995,1.9665799999999996,5.193752847364344,4.105061999999999,-0.02093798300758935,-0.16388166666666645,-0.3420884999999996
PSMD13,-0.625220145442542,-0.688457345093323,-0.557434736317151,8.66107,16.039015,17.5266,15.9537,5.73944,10.908291111111112,10.8857,9.434266666666668,3.36402,8.265894,4.03491,4.03491,-0.625220145442542,-0.688457345093323,-0.557434736317151,8.865529999999998,5.14626,0.67089,-0.08531499999999959,-1.474024444444444,-4.230983999999999,0.004293454853413867,0.131022608776172,16.835671783233327,8.194639999999998,4.4526518949365474,4.145669,0.005648784093782568,-0.682886666666666,-0.3454724166666663
NLRP6,0.0,0.0,3.40452908375144,2.88702,3.007315,4.04461,5.055764999999999,3.02076,3.8406757142857146,4.35428,4.535713333333334,3.8446,4.393825714285714,3.22793,3.4969233333333336,0.0,0.0,3.40452908375144,1.1575899999999995,1.33352,-0.6166699999999996,2.048449999999999,0.6950376190476191,-0.8969023809523802,3.8636060940364736,3.40452908375144,1.1636984914333328,1.9501899999999996,2.173516447416173,2.945352380952379,0.2837107569792863,-0.14785499999999974,-0.24544603174603138
ATHL1,0.521359167389512,-2.22121994350677,-0.0407249233707549,3.3682,3.548635,4.71871,4.3142499999999995,2.71868,5.691742105263158,4.89857,5.878285,5.7669,6.343588,5.64888,5.2453883333333335,0.521359167389512,-2.22121994350677,-0.0407249233707549,1.3505099999999999,2.1798900000000003,-0.11801999999999957,0.7656149999999995,0.18654289473684216,-1.098199666666666,2.0987062062414,2.742579110896282,1.3541403188999999,2.29791,0.9099488439762209,1.8638146666666655,-0.04684034089668898,-0.12237749999999972,-0.15531788888888864
IFITM5,,,,4.33054,4.33054,5.39281,4.71871,5.13529,5.316534,5.44286,5.624286666666666,3.8446,3.60431,4.8419,4.8419,,,,1.0622699999999998,0.30756999999999923,0.9973000000000001,0.3881699999999997,0.30775266666666656,1.23759,,,0.17492011063333368,0.7547000000000006,0.2654297917268149,0.9298373333333334,,-0.005414166666666656,0.07078499999999993
LOC103241759,-0.139961192278955,-1.43372852788884,-3.48368248703568,37.5313,22.133846666666667,27.6382,16.5155025,33.8325,24.770233333333334,22.3157,16.51,28.3539,23.548166666666663,8.06983,7.262845,-0.139961192278955,-1.43372852788884,-3.48368248703568,-9.8931,-11.516800000000003,-20.28407,-5.618344166666667,-8.260233333333332,-16.28532166666666,2.8427695417204157,3.343721294756725,31.24561374729999,10.39097,30.861005018709925,10.666977499999994,-0.27864344122972684,-0.8659141666666659,-0.8889147916666653
IFITM1,0.0307138836245888,0.731248196567441,-0.137637020689475,3.3682,4.089955,5.39281,5.39281,5.73944,4.94649,7.62,7.62,3.36402,3.36402,4.03491,4.5729,0.0307138836245888,0.731248196567441,-0.137637020689475,2.02461,1.88056,0.67089,1.302855,2.6735100000000003,1.2088799999999997,0.2123419785602125,0.868885217256916,0.5527682916333334,1.35372,0.6721112444250004,1.4646300000000005,-0.014029242026171937,-0.11280999999999987,-0.007831249999999974
LOC103241765,0.0,0.0,0.957402987681126,5.29288,4.1701500000000005,,,3.62491,4.73252,6.53143,5.715,5.7669,6.88824,4.03491,4.2366575,0.0,0.0,0.957402987681126,,2.9065200000000004,-1.7319899999999997,,0.9824799999999998,-2.6515825,0.3055401602735821,0.957402987681126,10.75788751005,4.63851,6.6032051269531244,3.6340624999999998,0.07978358230676041,-0.7730849999999998,-0.605677083333333
IFITM3,,,,3.84937,3.84937,4.71871,4.71871,3.32283,3.32283,4.35428,4.35428,,,6.45586,6.45586,,,,0.8693399999999998,1.03145,,0.8693399999999998,1.03145,,,,0.013139826050000032,0.1621100000000002,0.013139826050000032,0.1621100000000002,,0.0270183333333334,0.0270183333333334
B4GALNT4,-0.00827829959749,-1.06047498777814,-0.879571244941176,4.33054,4.1243228571428565,5.39281,4.622411428571428,4.53114,5.801937586206897,5.44286,6.05517875,2.88345,5.31635875,3.22793,4.328360909090909,-0.00827829959749,-1.06047498777814,-0.879571244941176,1.0622699999999998,0.9117199999999999,0.34448000000000034,0.4980885714285712,0.2532411637931027,-0.9879978409090908,0.316499238566071,1.0521966881806502,0.1432748340333331,0.7177899999999995,0.6348462241257542,1.486086412337662,-0.07260774544530713,-0.05981583333333322,-0.12384053436147166
PKP3,-0.050246007655728,0.0445116104723782,-0.473549348963175,25.502,14.3148225,20.2231,13.114355454545455,24.7702,7.363096875,9.25285,8.8718525,13.4561,9.385344117647058,7.26285,5.4183142857142865,-0.050246007655728,0.0445116104723782,-0.473549348963175,-5.2789,-15.517349999999999,-6.193249999999999,-1.2004670454545447,1.5087556249999992,-3.9670298319327717,0.07609198044110782,0.5180609594355532,32.100122522499994,10.238449999999998,7.496330583331243,5.475785456932771,-0.03527527844228721,-0.0761958333333336,-0.2305468988731852
SIGIRR,2.17875128265687,0.563639589274575,1.28389311457649,4.33054,8.24005,4.71871,7.5836412499999994,3.92698,6.3152703125,7.62,6.216314210526316,3.36402,6.407663888888888,4.8419,4.8418971428571425,2.17875128265687,0.563639589274575,1.28389311457649,0.3881699999999997,3.69302,1.4778799999999999,-0.6564087500000007,-0.09895610197368399,-1.5657667460317457,0.6546870106317058,1.6151116933822949,2.8360577710333343,3.3048500000000005,0.5482031475434083,1.4668106440580617,-0.07457151400669829,0.09080916666666672,-0.07577983300264533
ANO9,1.4349710042221,0.0,0.0,3.84937,3.560666,5.39281,4.26931,3.92698,4.812378275862068,4.89857,6.086102727272728,3.8446,4.630991818181818,6.45586,5.04364,1.4349710042221,0.0,0.0,1.54344,0.9715900000000004,2.6112600000000006,0.708644,1.2737244514106596,0.41264818181818175,0.6863805943193941,1.4349710042221,0.6926282806333336,1.6396700000000002,0.19139696383381608,0.8610762695924778,-0.11958091701850822,0.08898499999999997,-0.02466631818181814
PTDSS2,3.12280486289768,0.0,2.41096481671541,37.0501,9.14224,38.4238,8.7633225,25.3744,5.360088837209303,22.86,5.652196923076923,19.223,5.686801666666666,12.1047,4.841893571428571,3.12280486289768,0.0,2.41096481671541,1.3736999999999995,-2.514400000000002,-7.1183,-0.3789175,0.2921080858676204,-0.844908095238095,2.678562968420957,3.12280486289768,18.071213469999996,8.491999999999999,0.3267047279725937,1.1370161811057153,-0.059320003848522505,-0.7076666666666659,-0.03883254960317451
RNH1,-0.450101022202271,-0.83812662661831,-0.804371731966021,5.29288,11.593930952380953,5.39281,12.639403,6.04151,8.804946296296297,5.44286,7.876130000000001,6.72805,9.586202105263157,4.03491,5.406784,-0.450101022202271,-0.83812662661831,-0.804371731966021,0.09992999999999963,-0.5986500000000001,-2.6931399999999996,1.0454720476190467,-0.9288162962962963,-4.1794181052631565,0.04620183306532179,0.38802560441603906,2.1126904002333324,2.7930699999999993,6.96061728251067,5.224890152882203,-0.029522559146979144,-0.23275583333333302,-0.4354075127401832
HRAS,-0.570950836785051,-0.438172580441864,-0.570141233234507,,,3.37051,5.797274,3.92698,4.8634189999999995,5.98714,7.075713333333333,5.28632,5.28632,3.22793,3.6314200000000003,-0.570950836785051,-0.438172580441864,-0.570141233234507,,2.06016,-2.0583899999999997,,2.2122943333333334,-1.6548999999999996,0.005841074355891882,0.13277825634318696,8.48122705125,4.11855,7.477596005882721,3.867194333333333,6.746696254533224e-05,-0.6864249999999996,-0.6445323888888885
LRRC56,0.344292935400758,0.702609396275232,1.30206831686612,5.29288,6.561417272727272,7.41512,7.66789875,6.04151,5.824018,11.9743,6.930570666666667,12.0144,6.151358,4.8419,4.572902222222222,0.344292935400758,0.702609396275232,1.30206831686612,2.1222399999999997,5.93279,-7.1725,1.1064814772727276,1.1065526666666674,-1.5784557777777781,0.23417922749178677,0.957775381465362,45.44351815903333,13.10529,2.403026402560676,2.6850084444444455,0.07981461512211342,-0.7745616666666656,-0.2237447712542085
C1H11orf35,0.231105857544569,0.316311536977542,0.106876108881777,11.5481,8.6610675,12.1338,8.426265,3.02076,5.0386223999999995,4.35428,6.686935714285714,3.36402,6.099602307692307,6.45586,4.265478571428572,0.231105857544569,0.316311536977542,0.106876108881777,0.585700000000001,1.33352,3.0918400000000004,-0.23480249999999891,1.6483133142857147,-1.8341237362637353,0.01109270613368523,0.20943542809576499,1.6552769457333327,2.5061399999999994,3.0385535663027774,3.48243705054945,-0.010352479055232653,0.20884499999999975,-0.1332767696886445
RASSF7,0.655706417324988,-0.246876374283361,-0.220619906662194,5.29288,8.661066250000001,4.04461,8.763312222222222,3.92698,5.262479473684211,4.89857,6.05517875,6.72805,6.127328333333334,4.8419,4.8419,0.655706417324988,-0.246876374283361,-0.220619906662194,-1.2482700000000007,0.9715900000000004,-1.8861499999999998,0.10224597222222087,0.7926992763157887,-1.2854283333333338,0.26388215398539155,0.9025827916083491,2.250224536933334,2.85774,1.1201633509031321,2.0781276096491226,-0.07302719366559848,-0.05315666666666645,-0.11563952546296272
