gene_name,gene_id,gene_start,gene_end,chromosome,peak_start,peak_end,chromosome_nc,name,score,strand,signalValue,pValue,qValue,peak
WASH1,gene-WASH1,10075,27633,chr11,10155,10274,NC_023652.1,2803_001_autosomes_peak_55890,21,.,3.3682,3.87986,2.15898,30
WASH1,gene-WASH1,10075,27633,chr11,23737,24250,NC_023652.1,2803_001_autosomes_peak_55891,147,.,9.14224,16.9076,14.754,383
WASH1,gene-WASH1,10075,27633,chr11,26255,27455,NC_023652.1,2803_001_autosomes_peak_55892a,123,.,8.1799,14.4363,12.3326,323
WASH1,gene-WASH1,10075,27633,chr11,26255,27455,NC_023652.1,2803_001_autosomes_peak_55892b,185,.,10.5858,20.7783,18.5562,492
WASH1,gene-WASH1,10075,27633,chr11,26255,27455,NC_023652.1,2803_001_autosomes_peak_55892c,135,.,8.66107,15.6603,13.5311,922
IQSEC3,gene-IQSEC3,69565,179968,chr11,69794,70288,NC_023652.1,2803_001_autosomes_peak_55893a,225,.,12.0293,24.8224,22.538,165
IQSEC3,gene-IQSEC3,69565,179968,chr11,69794,70288,NC_023652.1,2803_001_autosomes_peak_55893b,225,.,12.0293,24.8224,22.538,238
IQSEC3,gene-IQSEC3,69565,179968,chr11,80782,81258,NC_023652.1,2803_001_autosomes_peak_55894,47,.,4.81171,6.6564,4.77727,279
IQSEC3,gene-IQSEC3,69565,179968,chr11,105894,106040,NC_023652.1,2803_001_autosomes_peak_55895,21,.,3.3682,3.87986,2.15898,52
IQSEC3,gene-IQSEC3,69565,179968,chr11,108931,109226,NC_023652.1,2803_001_autosomes_peak_55896,21,.,3.3682,3.87986,2.15898,33
IQSEC3,gene-IQSEC3,69565,179968,chr11,136593,136707,NC_023652.1,2803_001_autosomes_peak_55897,21,.,3.3682,3.87986,2.15898,55
IQSEC3,gene-IQSEC3,69565,179968,chr11,143340,143767,NC_023652.1,2803_001_autosomes_peak_55898,21,.,3.3682,3.87986,2.15898,66
IQSEC3,gene-IQSEC3,69565,179968,chr11,157671,157871,NC_023652.1,2803_001_autosomes_peak_55899,21,.,3.3682,3.87986,2.15898,126
IQSEC3,gene-IQSEC3,69565,179968,chr11,160372,160511,NC_023652.1,2803_001_autosomes_peak_55900,21,.,3.3682,3.87986,2.15898,72
IQSEC3,gene-IQSEC3,69565,179968,chr11,167233,167976,NC_023652.1,2803_001_autosomes_peak_55901,67,.,5.77405,8.71856,6.76339,45
IQSEC3,gene-IQSEC3,69565,179968,chr11,176053,176165,NC_023652.1,2803_001_autosomes_peak_55902,21,.,3.3682,3.87986,2.15898,62
IQSEC3,gene-IQSEC3,69565,179968,chr11,176422,176773,NC_023652.1,2803_001_autosomes_peak_55903,29,.,3.84937,4.75735,2.97448,120
IQSEC3,gene-IQSEC3,69565,179968,chr11,178765,179067,NC_023652.1,2803_001_autosomes_peak_55904,38,.,4.33054,5.68452,3.84989,56
LOC103218346,gene-LOC103218346,104228,125739,chr11,105894,106040,NC_023652.1,2803_001_autosomes_peak_55895,21,.,3.3682,3.87986,2.15898,52
LOC103218346,gene-LOC103218346,104228,125739,chr11,108931,109226,NC_023652.1,2803_001_autosomes_peak_55896,21,.,3.3682,3.87986,2.15898,33
LOC103218852,gene-LOC103218852,189868,192745,chr11,191265,191598,NC_023652.1,2803_001_autosomes_peak_55908,38,.,4.33054,5.68452,3.84989,95
LOC103218852,gene-LOC103218852,189868,192745,chr11,191808,192276,NC_023652.1,2803_001_autosomes_peak_55909,21,.,3.3682,3.87986,2.15898,104
SLC6A12,gene-SLC6A12,192590,223809,chr11,194858,195051,NC_023652.1,2803_001_autosomes_peak_55910,14,.,2.88702,3.05827,1.41458,34
SLC6A12,gene-SLC6A12,192590,223809,chr11,205029,205133,NC_023652.1,2803_001_autosomes_peak_55911,14,.,2.88702,3.05827,1.41458,49
SLC6A12,gene-SLC6A12,192590,223809,chr11,207280,207574,NC_023652.1,2803_001_autosomes_peak_55912,123,.,8.1799,14.4363,12.3326,203
SLC6A12,gene-SLC6A12,192590,223809,chr11,207827,208203,NC_023652.1,2803_001_autosomes_peak_55913,38,.,4.33054,5.68452,3.84989,318
SLC6A12,gene-SLC6A12,192590,223809,chr11,217273,217548,NC_023652.1,2803_001_autosomes_peak_55914,47,.,4.81171,6.6564,4.77727,139
SLC6A12,gene-SLC6A12,192590,223809,chr11,223136,223678,NC_023652.1,2803_001_autosomes_peak_55915,338,.,15.8786,36.313,33.8813,243
SLC6A13,gene-SLC6A13,223912,274499,chr11,258934,259244,NC_023652.1,2803_001_autosomes_peak_55916,21,.,3.3682,3.87986,2.15898,113
