gene_name,gene_id,start,end,chromosome,chromosome_nc,structure_start_id,structure_end_id,start_pos,start_x,start_y,start_z,end_pos,end_x,end_y,end_z,middle,middle_x,middle_y,middle_z,middle_percent,middle_pos
LOC103246556,gene-LOC103246556,1209802,1212150,chr28,NC_023669.1,12,13,"[45.7991132268, 4.0112986165999995, -37.8571025202]",45.7991132268,4.0112986165999995,-37.8571025202,"[45.79900381, 4.026885345, -37.840126715000004]",45.79900381,4.026885345,-37.840126715000004,1210976,45.79900381,4.026885345,-37.840126715000004,12.15,"[45.79900381, 4.026885345, -37.840126715000004]"
LOC103246557,gene-LOC103246557,1217722,1236972,chr28,NC_023669.1,12,13,"[45.798744154800005, 4.0638739526, -37.7998417122]",45.798744154800005,4.0638739526,-37.7998417122,"[45.7978471048, 4.1916612276, -37.6606661372]",45.7978471048,4.1916612276,-37.6606661372,1227347,45.7978471048,4.1916612276,-37.6606661372,36.972,"[45.7978471048, 4.1916612276, -37.6606661372]"
ZNF479,gene-ZNF479,1327249,1342323,chr28,NC_023669.1,13,14,"[45.6179795181, 4.5333731393, -36.993748476899995]",45.6179795181,4.5333731393,-36.993748476899995,"[45.5201025287, 4.4909503811, -36.8768963363]",45.5201025287,4.4909503811,-36.8768963363,1334786,45.5201025287,4.4909503811,-36.8768963363,42.323,"[45.5201025287, 4.4909503811, -36.8768963363]"
LOC103246564,gene-LOC103246564,1386338,1399250,chr28,NC_023669.1,13,14,"[45.2343087322, 4.3670789666, -36.5356964578]",45.2343087322,4.3670789666,-36.5356964578,"[45.150469825, 4.330740725, -36.435603924999995]",45.150469825,4.330740725,-36.435603924999995,1392794,45.150469825,4.330740725,-36.435603924999995,99.25,"[45.150469825, 4.330740725, -36.435603924999995]"
LOC103246563,gene-LOC103246563,1408390,1414781,chr28,NC_023669.1,14,15,"[45.169626443, 4.400589352000001, -36.46696609]",45.169626443,4.400589352000001,-36.46696609,"[45.1879283497, 4.4554036808, -36.495284610999995]",45.1879283497,4.4554036808,-36.495284610999995,1411585,45.1879283497,4.4554036808,-36.495284610999995,14.780999999999999,"[45.1879283497, 4.4554036808, -36.495284610999995]"
LOC103246561,gene-LOC103246561,1438451,1467856,chr28,NC_023669.1,14,15,"[45.255712128700004, 4.6584165368, -36.600166380999994]",45.255712128700004,4.6584165368,-36.600166380999994,"[45.3399192272, 4.9106173408, -36.730459935999995]",45.3399192272,4.9106173408,-36.730459935999995,1453153,45.3399192272,4.9106173408,-36.730459935999995,67.85600000000001,"[45.3399192272, 4.9106173408, -36.730459935999995]"
LOC103246567,gene-LOC103246567,1467881,1482841,chr28,NC_023669.1,14,15,"[45.3399908197, 4.9108317608, -36.730570711]",45.3399908197,4.9108317608,-36.730570711,"[45.3828317717, 5.0391406888, -36.796858471]",45.3828317717,5.0391406888,-36.796858471,1475361,45.3828317717,5.0391406888,-36.796858471,82.841,"[45.3828317717, 5.0391406888, -36.796858471]"
LOC103246565,gene-LOC103246565,1486886,1488471,chr28,NC_023669.1,14,15,"[45.3944154382, 5.073833844799999, -36.814781866]",45.3944154382,5.073833844799999,-36.814781866,"[45.3989544027, 5.0874280728, -36.821805001]",45.3989544027,5.0874280728,-36.821805001,1487678,45.3989544027,5.0874280728,-36.821805001,88.471,"[45.3989544027, 5.0874280728, -36.821805001]"
LOC103246926,gene-LOC103246926,1497856,1499056,chr28,NC_023669.1,14,15,"[45.4258302272, 5.1679213407999995, -36.863389936]",45.4258302272,5.1679213407999995,-36.863389936,"[45.4292666672, 5.1782135008, -36.868707136]",45.4292666672,5.1782135008,-36.868707136,1498456,45.4292666672,5.1782135008,-36.868707136,99.056,"[45.4292666672, 5.1782135008, -36.868707136]"
VKORC1L1,gene-VKORC1L1,1535346,1617484,chr28,NC_023669.1,15,17,"[45.4661866953, 5.1226712943, -36.8633342089]",45.4661866953,5.1226712943,-36.8633342089,"[45.5457003862, 4.9747859322, -36.841128200600004]",45.5457003862,4.9747859322,-36.841128200600004,1576415,45.5457003862,4.9747859322,-36.841128200600004,58.742000000000004,"[45.5457003862, 4.9747859322, -36.841128200600004]"
