chromosome,id,x,y,z
NC_023642.1,1.0,-5.99758,-21.43519,-66.96814
NC_023642.1,2.0,-5.33466,-22.23705,-66.64847
NC_023642.1,3.0,-5.25258,-21.29809,-66.58089
NC_023642.1,4.0,-4.92791,-21.83566,-65.88348
NC_023642.1,5.0,-3.9195,-21.89583,-66.31948
NC_023642.1,6.0,-4.98653,-22.52973,-66.06575
NC_023642.1,7.0,-5.56186,-22.73695,-65.4148
NC_023642.1,8.0,-4.6516,-22.30442,-65.73078
NC_023642.1,9.0,-4.30427,-21.69391,-66.46649
NC_023642.1,10.0,-4.12793,-21.91984,-67.56997
NC_023642.1,11.0,-4.45325,-22.63004,-68.24202
NC_023642.1,12.0,-4.9644,-23.4546,-68.04862
NC_023642.1,13.0,-5.77679,-23.65835,-68.51745
NC_023642.1,14.0,-4.9033,-23.19215,-68.25853
NC_023642.1,15.0,-4.34772,-22.35594,-68.18918
NC_023642.1,16.0,-4.7448,-23.07005,-68.73703
NC_023642.1,17.0,-5.67326,-23.46244,-68.26379
NC_023642.1,18.0,-5.2016,-22.57956,-68.66157
NC_023642.1,19.0,-4.87994,-21.58145,-68.29455
NC_023642.1,20.0,-3.8766,-21.68049,-68.12442
NC_023642.1,21.0,-4.76682,-21.61192,-67.71902
NC_023642.1,22.0,-4.44967,-21.67948,-66.81482
NC_023642.1,23.0,-3.75571,-21.37578,-67.53232
NC_023642.1,24.0,-4.34017,-22.23135,-67.67412
NC_023642.1,25.0,-4.53021,-22.05314,-68.6348
NC_023642.1,26.0,-3.91346,-21.91713,-68.00081
NC_023642.1,27.0,-4.04985,-21.73217,-66.99421
NC_023642.1,28.0,-4.80063,-22.32148,-66.46871
NC_023642.1,29.0,-3.88879,-22.14846,-66.01361
NC_023642.1,30.0,-4.39614,-21.80505,-66.89006
NC_023642.1,31.0,-4.40338,-22.09159,-67.80707
NC_023642.1,32.0,-4.46286,-22.62572,-68.56928
NC_023642.1,33.0,-5.11576,-23.44092,-68.47756
NC_023642.1,34.0,-4.40427,-22.55288,-68.58192
NC_023642.1,35.0,-4.94225,-22.73992,-67.83046
NC_023642.1,36.0,-5.01707,-22.04589,-68.52249
NC_023642.1,37.0,-4.13304,-21.79147,-68.15259
NC_023642.1,38.0,-4.89629,-22.25919,-68.88199
NC_023642.1,39.0,-4.92319,-23.26404,-68.6593
NC_023642.1,40.0,-5.05213,-24.05106,-68.07554
NC_023642.1,41.0,-5.13588,-22.95735,-68.40094
NC_023642.1,42.0,-5.62613,-23.18751,-67.59055
NC_023642.1,43.0,-4.51517,-22.63227,-67.68726
NC_023642.1,44.0,-4.58002,-21.51869,-67.38521
NC_023642.1,45.0,-5.38035,-21.89873,-66.97806
NC_023642.1,46.0,-4.52164,-21.5457,-66.93455
NC_023642.1,47.0,-5.46274,-21.26751,-67.4581
NC_023642.1,48.0,-4.69502,-21.87488,-67.14528
NC_023642.1,49.0,-5.53012,-21.41593,-67.8306
NC_023642.1,50.0,-6.4163,-22.10993,-67.62843
NC_023642.1,51.0,-5.46599,-22.15621,-68.27134
NC_023642.1,52.0,-5.55987,-23.31655,-68.24828
NC_023642.1,53.0,-6.16519,-22.61312,-68.00748
NC_023642.1,54.0,-6.13979,-23.52898,-68.41162
NC_023642.1,55.0,-6.24044,-22.61175,-68.80022
NC_023642.1,56.0,-5.66886,-22.18182,-68.23764
NC_023642.1,57.0,-6.25968,-22.8029,-67.77857
NC_023642.1,58.0,-5.84923,-23.79783,-67.92807
NC_023642.1,59.0,-6.70377,-23.1749,-67.82423
NC_023642.1,60.0,-6.44802,-23.25522,-66.92488
NC_023642.1,61.0,-5.7867,-22.83909,-66.30814
NC_023642.1,62.0,-5.76341,-21.86402,-66.74912
NC_023642.1,63.0,-5.24598,-22.05889,-65.96503
NC_023642.1,64.0,-5.96187,-21.42899,-66.40416
NC_023642.1,65.0,-5.74464,-21.9388,-67.1598
NC_023642.1,66.0,-6.37588,-22.8277,-67.14007
NC_023642.1,67.0,-6.67798,-22.15549,-66.51709
NC_023642.1,68.0,-5.99139,-21.46339,-67.17456
NC_023642.1,69.0,-6.47991,-22.27073,-66.96209
NC_023642.1,70.0,-5.90448,-21.71089,-66.28916
NC_023642.1,71.0,-6.65151,-22.17141,-66.85492
NC_023642.1,72.0,-5.95098,-21.65686,-67.16951
NC_023642.1,73.0,-6.78998,-22.11326,-66.4814
NC_023642.1,74.0,-6.77397,-23.12249,-66.76756
NC_023642.1,75.0,-6.6855,-23.81392,-67.47951
NC_023642.1,76.0,-6.50891,-24.02189,-66.49309
NC_023642.1,77.0,-6.75522,-23.18746,-65.96849
NC_023642.1,78.0,-6.48171,-23.67779,-66.87576
NC_023642.1,79.0,-6.19104,-22.76118,-66.86889
NC_023642.1,80.0,-5.99473,-22.36627,-65.88805
NC_023642.1,81.0,-5.04265,-21.89016,-66.02481
NC_023642.1,82.0,-4.70139,-22.31422,-65.19626
NC_023642.1,83.0,-5.61196,-22.14882,-65.14681
NC_023642.1,84.0,-6.34057,-22.47195,-65.85621
NC_023642.1,85.0,-7.08744,-22.50472,-66.73597
NC_023642.1,86.0,-6.95062,-23.04332,-65.9225
NC_023642.1,87.0,-6.94083,-23.97089,-66.29785
NC_023642.1,88.0,-6.32337,-24.20005,-67.02454
NC_023642.1,89.0,-6.25395,-24.59471,-66.0003
NC_023642.1,90.0,-6.59462,-24.00287,-66.92927
NC_023642.1,91.0,-6.03429,-23.74591,-66.12924
NC_023642.1,92.0,-5.78797,-23.38817,-65.30133
NC_023642.1,93.0,-4.99625,-22.85328,-65.26315
NC_023642.1,94.0,-6.25331,-22.69564,-65.30355
NC_023642.1,95.0,-5.77075,-23.18055,-65.91775
NC_023642.1,96.0,-5.31151,-23.92392,-66.66694
NC_023642.1,97.0,-5.07668,-24.11421,-67.61071
NC_023642.1,98.0,-5.65441,-23.93681,-66.88082
NC_023642.1,99.0,-5.534,-24.09949,-67.81656
NC_023642.1,100.0,-5.6624,-24.7349,-66.90139
NC_023642.1,101.0,-5.46094,-23.82157,-66.97993
NC_023642.1,102.0,-5.19738,-23.33162,-66.09508
NC_023642.1,103.0,-5.10501,-23.83857,-65.30047
NC_023642.1,104.0,-5.42573,-24.33587,-66.1892
NC_023642.1,105.0,-4.89795,-24.20369,-67.0308
NC_023642.1,106.0,-5.74959,-23.5462,-67.28665
NC_023642.1,107.0,-4.89147,-24.02623,-67.55782
NC_023642.1,108.0,-4.75211,-23.33373,-66.87733
NC_023642.1,109.0,-5.06608,-24.26132,-67.0723
NC_023642.1,110.0,-4.87056,-23.9129,-66.18349
NC_023642.1,111.0,-4.28041,-23.18632,-65.67478
NC_023642.1,112.0,-5.03857,-23.70958,-65.88328
NC_023642.1,113.0,-4.1713,-23.91873,-66.00143
