gene_name,gene_id,gene_start,gene_end,chromosome,peak_start,peak_end,chromosome_nc,name,score,strand,signalValue,pValue,qValue,peak
LOC103237737,gene-LOC103237737,53653,54893,chr9,53645,53836,NC_023650.1,2803_006_autosomes_peak_27869,16,.,3.22793,3.94805,1.68706,49
LOC103237737,gene-LOC103237737,53653,54893,chr9,54785,55031,NC_023650.1,2803_006_autosomes_peak_27870,52,.,5.64888,8.14205,5.28039,43
LOC103237738,gene-LOC103237738,57937,59227,chr9,58175,58277,NC_023650.1,2803_006_autosomes_peak_27873,16,.,3.22793,3.94805,1.68706,49
LOC103237738,gene-LOC103237738,57937,59227,chr9,58560,58681,NC_023650.1,2803_006_autosomes_peak_27874,27,.,4.03491,5.27184,2.76836,73
LOC103238131,gene-LOC103238131,110923,163286,chr9,117741,117955,NC_023650.1,2803_006_autosomes_peak_27875,27,.,4.03491,5.27184,2.76836,146
ZMYND11,gene-ZMYND11,162438,275764,chr9,164280,164725,NC_023650.1,2803_006_autosomes_peak_27876,39,.,4.8419,6.67379,3.97677,213
ZMYND11,gene-ZMYND11,162438,275764,chr9,180256,180398,NC_023650.1,2803_006_autosomes_peak_27877,16,.,3.22793,3.94805,1.68706,64
ZMYND11,gene-ZMYND11,162438,275764,chr9,231338,231450,NC_023650.1,2803_006_autosomes_peak_27878,16,.,3.22793,3.94805,1.68706,49
LOC103237740,gene-LOC103237740,163790,198322,chr9,164280,164725,NC_023650.1,2803_006_autosomes_peak_27876,39,.,4.8419,6.67379,3.97677,213
LOC103237740,gene-LOC103237740,163790,198322,chr9,180256,180398,NC_023650.1,2803_006_autosomes_peak_27877,16,.,3.22793,3.94805,1.68706,64
DIP2C,gene-DIP2C,293786,668102,chr9,294394,294760,NC_023650.1,2803_006_autosomes_peak_27879,16,.,3.22793,3.94805,1.68706,195
DIP2C,gene-DIP2C,293786,668102,chr9,333356,333759,NC_023650.1,2803_006_autosomes_peak_27880,39,.,4.8419,6.67379,3.97677,350
DIP2C,gene-DIP2C,293786,668102,chr9,359823,359976,NC_023650.1,2803_006_autosomes_peak_27881,27,.,4.03491,5.27184,2.76836,59
