gene_name,gene_id,gene_start,gene_end,chromosome,peak_start,peak_end,chromosome_nc,name,score,strand,signalValue,pValue,qValue,peak
GAB4,gene-GAB4,1024325,1073723,chr19,1033012,1033147,NC_023660.1,2803_006_autosomes_peak_62792,16,.,3.22793,3.94805,1.68706,43
GAB4,gene-GAB4,1024325,1073723,chr19,1073115,1073665,NC_023660.1,2803_006_autosomes_peak_62793,39,.,4.8419,6.67379,3.97677,324
LOC103223590,gene-LOC103223590,1088328,1123505,chr19,1120531,1120645,NC_023660.1,2803_006_autosomes_peak_62794,16,.,3.22793,3.94805,1.68706,17
LOC103223590,gene-LOC103223590,1088328,1123505,chr19,1121172,1121863,NC_023660.1,2803_006_autosomes_peak_62795,81,.,7.26285,11.2446,8.10932,628
LOC103222863,gene-LOC103222863,1121427,1257156,chr19,1121172,1121863,NC_023660.1,2803_006_autosomes_peak_62795,81,.,7.26285,11.2446,8.10932,628
LOC103222863,gene-LOC103222863,1121427,1257156,chr19,1243440,1243585,NC_023660.1,2803_006_autosomes_peak_62796,39,.,4.8419,6.67379,3.97677,97
IL17RA,gene-IL17RA,1288106,1319023,chr19,1287783,1289170,NC_023660.1,2803_006_autosomes_peak_62798a,81,.,7.26285,11.2446,8.10932,239
IL17RA,gene-IL17RA,1288106,1319023,chr19,1287783,1289170,NC_023660.1,2803_006_autosomes_peak_62798b,160,.,11.2978,19.7351,16.0682,375
IL17RA,gene-IL17RA,1288106,1319023,chr19,1307382,1307755,NC_023660.1,2803_006_autosomes_peak_62799,66,.,6.45586,9.66788,6.66308,62
IL17RA,gene-IL17RA,1288106,1319023,chr19,1308252,1308419,NC_023660.1,2803_006_autosomes_peak_62800,16,.,3.22793,3.94805,1.68706,28
IL17RA,gene-IL17RA,1288106,1319023,chr19,1312150,1312309,NC_023660.1,2803_006_autosomes_peak_62801,27,.,4.03491,5.27184,2.76836,115
CECR6,gene-CECR6,1321527,1325003,chr19,1324616,1324729,NC_023660.1,2803_006_autosomes_peak_62802,16,.,3.22793,3.94805,1.68706,20
CECR6,gene-CECR6,1321527,1325003,chr19,1324914,1325119,NC_023660.1,2803_006_autosomes_peak_62803,39,.,4.8419,6.67379,3.97677,182
