chromosome,id,x,y,z
NC_023642.1,1.0,9.90159,-65.80377,24.87095
NC_023642.1,2.0,10.36373,-65.04178,25.34735
NC_023642.1,3.0,11.33002,-65.10169,25.38182
NC_023642.1,4.0,12.06598,-65.31784,24.7464
NC_023642.1,5.0,11.43677,-65.89652,24.44941
NC_023642.1,6.0,10.80065,-65.16733,24.771
NC_023642.1,7.0,11.76612,-64.8419,25.1215
NC_023642.1,8.0,11.62051,-65.87167,25.19488
NC_023642.1,9.0,12.59827,-65.82568,25.46297
NC_023642.1,10.0,12.31253,-66.76048,25.53968
NC_023642.1,11.0,11.89212,-66.06944,25.04763
NC_023642.1,12.0,11.8103,-65.76947,26.0196
NC_023642.1,13.0,12.01617,-66.5116,25.44726
NC_023642.1,14.0,12.27556,-67.09435,24.75673
NC_023642.1,15.0,11.86952,-66.41065,25.35175
NC_023642.1,16.0,12.72454,-67.08116,25.61977
NC_023642.1,17.0,12.35968,-66.21372,25.58999
NC_023642.1,18.0,12.70986,-67.08163,25.47977
NC_023642.1,19.0,12.33796,-66.49652,26.32589
NC_023642.1,20.0,12.64287,-67.01647,25.56913
NC_023642.1,21.0,12.95168,-66.99586,26.53662
NC_023642.1,22.0,12.51772,-66.118,26.38059
NC_023642.1,23.0,12.04735,-66.00325,27.37471
NC_023642.1,24.0,11.08473,-65.48502,27.15074
NC_023642.1,25.0,10.49016,-66.2227,27.31542
NC_023642.1,26.0,11.22938,-65.62836,27.19118
NC_023642.1,27.0,10.53812,-65.92577,26.6466
NC_023642.1,28.0,10.28656,-65.6724,25.66685
NC_023642.1,29.0,10.84075,-65.78807,26.46823
NC_023642.1,30.0,11.76384,-65.99035,26.56563
NC_023642.1,31.0,11.43696,-66.13462,27.48982
NC_023642.1,32.0,11.79738,-66.02534,26.62053
NC_023642.1,33.0,10.73756,-66.12317,26.90402
NC_023642.1,34.0,11.72939,-65.8925,27.48064
NC_023642.1,35.0,12.63913,-66.33019,26.98214
NC_023642.1,36.0,11.87008,-65.7428,27.01859
NC_023642.1,37.0,10.83556,-66.06442,26.8407
NC_023642.1,38.0,11.47504,-66.09821,27.7471
NC_023642.1,39.0,12.3363,-66.00651,27.03375
NC_023642.1,40.0,12.73435,-66.82189,27.3977
NC_023642.1,41.0,12.95568,-66.69528,26.46106
NC_023642.1,42.0,11.98686,-66.58598,26.10819
NC_023642.1,43.0,12.56347,-66.81862,25.28723
NC_023642.1,44.0,12.52993,-65.98456,25.85131
NC_023642.1,45.0,12.60539,-66.87381,25.92342
NC_023642.1,46.0,12.69636,-66.14221,26.76628
NC_023642.1,47.0,11.71012,-66.17278,26.83665
NC_023642.1,48.0,12.05564,-65.3696,26.34968
NC_023642.1,49.0,11.27449,-65.95084,26.72787
NC_023642.1,50.0,10.77719,-65.38028,26.20603
NC_023642.1,51.0,11.74249,-64.99076,26.08492
NC_023642.1,52.0,12.62502,-65.24301,25.4381
NC_023642.1,53.0,11.51199,-65.28521,25.51082
NC_023642.1,54.0,12.69491,-65.55326,25.71463
NC_023642.1,55.0,11.96747,-65.00345,25.30351
NC_023642.1,56.0,11.10175,-65.349,25.11736
NC_023642.1,57.0,10.32348,-65.92485,25.29774
NC_023642.1,58.0,9.96088,-66.23548,26.17846
NC_023642.1,59.0,10.62361,-65.71136,25.73759
NC_023642.1,60.0,11.23582,-65.71413,24.85998
NC_023642.1,61.0,12.13573,-65.45586,24.80485
NC_023642.1,62.0,12.4512,-66.35399,24.62983
NC_023642.1,63.0,12.72063,-65.621,25.36496
NC_023642.1,64.0,12.18679,-65.7499,24.50106
NC_023642.1,65.0,11.39668,-65.27783,24.11236
NC_023642.1,66.0,10.4866,-65.48191,24.56504
NC_023642.1,67.0,10.01667,-66.33944,24.70569
NC_023642.1,68.0,10.21571,-65.43299,25.14634
NC_023642.1,69.0,10.94495,-64.62557,24.69954
NC_023642.1,70.0,10.83814,-65.29798,23.93222
NC_023642.1,71.0,11.77768,-65.33486,23.82858
NC_023642.1,72.0,12.22988,-66.18483,24.01816
NC_023642.1,73.0,11.56222,-65.49498,23.82794
NC_023642.1,74.0,12.28003,-66.02032,24.06367
NC_023642.1,75.0,11.72761,-66.58896,23.52283
NC_023642.1,76.0,10.89454,-66.07929,23.38145
NC_023642.1,77.0,11.8635,-66.37739,23.52632
NC_023642.1,78.0,11.05488,-67.0222,23.49541
NC_023642.1,79.0,11.28456,-66.18322,23.86281
NC_023642.1,80.0,10.21517,-66.3341,24.0152
NC_023642.1,81.0,9.5485,-66.22813,24.7799
NC_023642.1,82.0,9.59665,-65.23342,24.70308
NC_023642.1,83.0,9.93873,-65.09107,23.82448
NC_023642.1,84.0,11.022,-65.09804,24.13147
NC_023642.1,85.0,11.32648,-65.42964,23.23684
NC_023642.1,86.0,10.46224,-65.25487,23.37557
NC_023642.1,87.0,10.93099,-66.09508,23.26179
NC_023642.1,88.0,10.24893,-66.81003,23.15656
NC_023642.1,89.0,9.36642,-66.51628,23.48301
NC_023642.1,90.0,9.63898,-65.97436,24.22555
NC_023642.1,91.0,10.14679,-66.9073,24.00661
NC_023642.1,92.0,10.92743,-66.85134,23.30512
NC_023642.1,93.0,10.40348,-66.78533,24.11797
NC_023642.1,94.0,9.45366,-66.92211,24.23164
NC_023642.1,95.0,9.73191,-66.11107,24.8991
NC_023642.1,96.0,9.93659,-66.02238,25.85095
NC_023642.1,97.0,10.83853,-66.5119,25.59231
NC_023642.1,98.0,11.73926,-66.90135,25.26145
NC_023642.1,99.0,10.62301,-66.83465,24.78255
NC_023642.1,100.0,10.80781,-66.91927,23.85717
NC_023642.1,101.0,11.63945,-67.25562,23.97905
NC_023642.1,102.0,12.30653,-66.70695,24.59325
NC_023642.1,103.0,11.69528,-66.28576,24.01513
NC_023642.1,104.0,11.00239,-66.87651,24.24887
NC_023642.1,105.0,10.50234,-67.75221,24.25526
NC_023642.1,106.0,11.28207,-67.30876,24.87495
NC_023642.1,107.0,10.6879,-66.58875,25.46394
NC_023642.1,108.0,10.16607,-66.51288,26.3768
NC_023642.1,109.0,10.89351,-66.65198,25.69777
NC_023642.1,110.0,9.91714,-66.9946,25.91805
NC_023642.1,111.0,9.7222,-67.21637,24.98654
NC_023642.1,112.0,10.3695,-67.87756,24.55963
NC_023642.1,113.0,9.81405,-67.01613,24.90835
NC_023642.1,114.0,10.23805,-66.40963,25.59582
NC_023642.1,115.0,10.87437,-67.22059,25.3615
NC_023642.1,116.0,10.01009,-66.92752,25.79649
NC_023642.1,117.0,10.69996,-67.49356,25.5972
NC_023642.1,118.0,11.19347,-66.80755,25.02341
NC_023642.1,119.0,12.12488,-67.19444,24.64419
NC_023642.1,120.0,11.15481,-67.22384,24.645
NC_023642.1,121.0,12.12675,-67.37677,24.74872
NC_023642.1,122.0,10.8402,-67.27232,24.85834
NC_023642.1,123.0,11.84907,-67.22982,25.1328
NC_023642.1,124.0,10.91459,-67.16402,25.0945
NC_023642.1,125.0,10.97981,-66.59367,25.89594
NC_023642.1,126.0,10.30268,-67.24135,25.81575
NC_023642.1,127.0,10.51603,-66.99932,26.62543
NC_023642.1,128.0,10.448,-67.89753,26.17693
NC_023642.1,129.0,10.61245,-67.14185,26.92172
NC_023642.1,130.0,10.8585,-67.56706,26.09721
NC_023642.1,131.0,10.58214,-67.16785,26.95307
NC_023642.1,132.0,11.23529,-67.78022,27.18169
NC_023642.1,133.0,10.46346,-67.28837,27.5747
NC_023642.1,134.0,10.57325,-67.77972,26.59956
NC_023642.1,135.0,10.46716,-67.31954,27.49933
NC_023642.1,136.0,11.28592,-67.75421,27.22389
NC_023642.1,137.0,11.57697,-68.29002,26.49501
NC_023642.1,138.0,10.85122,-67.78595,26.89233
NC_023642.1,139.0,11.86405,-67.76641,27.04334
NC_023642.1,140.0,12.31902,-68.03926,26.09705
NC_023642.1,141.0,11.39104,-68.30329,25.96573
NC_023642.1,142.0,12.14812,-67.99088,26.51933
NC_023642.1,143.0,11.90684,-67.99215,27.4931
NC_023642.1,144.0,12.61882,-67.39869,27.82965
NC_023642.1,145.0,12.83717,-67.9561,27.07756
NC_023642.1,146.0,12.15247,-68.22148,27.83458
NC_023642.1,147.0,12.70535,-67.90982,26.91801
NC_023642.1,148.0,12.91865,-68.06444,25.9973
NC_023642.1,149.0,12.947,-67.78264,27.06698
NC_023642.1,150.0,12.67797,-67.63729,28.07434
NC_023642.1,151.0,11.742,-67.4141,28.40082
NC_023642.1,152.0,10.85502,-67.22697,28.39377
NC_023642.1,153.0,11.82154,-67.04337,28.27655
NC_023642.1,154.0,12.52162,-67.33475,27.57492
NC_023642.1,155.0,11.78114,-66.95,27.03264
NC_023642.1,156.0,10.86608,-67.17515,26.76326
