gene_name,gene_id,gene_start,gene_end,chromosome,peak_start,peak_end,chromosome_nc,name,score,strand,signalValue,pValue,qValue,peak
LOC103226004,gene-LOC103226004,1567673,1604720,chr21,1577161,1577340,NC_023662.1,2803_003_autosomes_peak_138047,50,.,4.22906,6.78034,5.01545,94
LOC103226004,gene-LOC103226004,1567673,1604720,chr21,1598051,1598994,NC_023662.1,2803_003_autosomes_peak_138048,2203,.,47.728,223.802,220.341,503
LOC103226006,gene-LOC103226006,1756077,1793766,chr21,1756001,1756883,NC_023662.1,2803_003_autosomes_peak_138053,1067,.,27.791,109.628,106.718,382
ZNF273,gene-ZNF273,1855080,1886457,chr21,1885712,1886837,NC_023662.1,2803_003_autosomes_peak_138054,833,.,23.2598,86.1479,83.3839,681
LOC103226009,gene-LOC103226009,1916411,1919515,chr21,1918784,1918915,NC_023662.1,2803_003_autosomes_peak_138058,22,.,3.02076,3.8262,2.27297,56
ZNF680,gene-ZNF680,2222870,2270353,chr21,2222854,2223573,NC_023662.1,2803_003_autosomes_peak_138062,1019,.,26.8847,104.841,101.96,204
ZNF727P,gene-ZNF727P,2452301,2496416,chr21,2493594,2494805,NC_023662.1,2803_003_autosomes_peak_138064a,225,.,9.66642,24.754,22.5321,316
ZNF727P,gene-ZNF727P,2452301,2496416,chr21,2493594,2494805,NC_023662.1,2803_003_autosomes_peak_138064b,864,.,23.864,89.2106,86.4264,727
ZNF679,gene-ZNF679,2528984,2578192,chr21,2540667,2540806,NC_023662.1,2803_003_autosomes_peak_138067,16,.,2.71868,3.17905,1.695,54
ZNF679,gene-ZNF679,2528984,2578192,chr21,2572740,2573604,NC_023662.1,2803_003_autosomes_peak_138068a,82,.,5.43736,10.2074,8.29348,380
ZNF679,gene-ZNF679,2528984,2578192,chr21,2572740,2573604,NC_023662.1,2803_003_autosomes_peak_138068b,82,.,5.43736,10.2074,8.29348,639
ZNF679,gene-ZNF679,2528984,2578192,chr21,2574179,2574448,NC_023662.1,2803_003_autosomes_peak_138069,28,.,3.32283,4.51284,2.8984,116
