chromosome,id,x,y,z
NC_023642.1,1.0,43.93567,-50.27034,42.2889
NC_023642.1,2.0,43.10069,-50.73361,42.52108
NC_023642.1,3.0,43.96243,-51.09749,42.02766
NC_023642.1,4.0,44.16613,-50.19817,41.69931
NC_023642.1,5.0,43.89111,-51.15083,41.75649
NC_023642.1,6.0,43.1907,-50.56009,41.94178
NC_023642.1,7.0,43.77603,-51.38604,41.36885
NC_023642.1,8.0,43.78207,-51.87784,42.37875
NC_023642.1,9.0,44.69872,-51.8904,41.95807
NC_023642.1,10.0,44.11675,-52.06191,41.03964
NC_023642.1,11.0,44.52857,-52.82743,41.59003
NC_023642.1,12.0,44.47771,-51.92471,41.605
NC_023642.1,13.0,43.99896,-52.86969,41.47303
NC_023642.1,14.0,43.73204,-52.20875,42.12299
NC_023642.1,15.0,43.9113,-52.92957,41.48253
NC_023642.1,16.0,44.7319,-52.36857,41.5461
NC_023642.1,17.0,43.90877,-51.71059,41.80421
NC_023642.1,18.0,44.85598,-52.03132,42.20614
NC_023642.1,19.0,44.57181,-52.98619,42.04694
NC_023642.1,20.0,44.69852,-52.33186,42.91462
NC_023642.1,21.0,44.93835,-53.20697,42.47719
NC_023642.1,22.0,44.54606,-52.63859,43.10334
NC_023642.1,23.0,44.90515,-53.29382,42.46653
NC_023642.1,24.0,44.37572,-53.35717,43.47454
NC_023642.1,25.0,43.80642,-53.0297,44.15665
NC_023642.1,26.0,42.97169,-52.44677,43.97472
NC_023642.1,27.0,43.84105,-52.44338,43.6859
NC_023642.1,28.0,42.94463,-51.8274,43.35591
NC_023642.1,29.0,43.56399,-51.51026,42.73153
NC_023642.1,30.0,43.47817,-52.48137,43.16236
NC_023642.1,31.0,44.12182,-52.74094,43.82518
NC_023642.1,32.0,44.39636,-53.19761,42.82107
NC_023642.1,33.0,44.28452,-52.51437,43.47855
NC_023642.1,34.0,44.93809,-53.03736,42.93197
NC_023642.1,35.0,44.24923,-53.48727,43.63064
NC_023642.1,36.0,44.45598,-53.07506,42.84867
