gene_name,gene_id,gene_start,gene_end,chromosome,peak_start,peak_end,chromosome_nc,name,score,strand,signalValue,pValue,qValue,peak
ZNF596,gene-ZNF596,29165,50523,chr8,29834,31162,NC_023649.1,2803_002_autosomes_peak_26281a,500,.,24.2677,53.138,50.0977,293
ZNF596,gene-ZNF596,29165,50523,chr8,29834,31162,NC_023649.1,2803_002_autosomes_peak_26281b,223,.,13.482,24.8988,22.3058,576
LOC103215708,gene-LOC103215708,180696,184652,chr8,182687,183235,NC_023649.1,2803_002_autosomes_peak_26284a,76,.,6.74102,9.90672,7.68582,113
LOC103215708,gene-LOC103215708,180696,184652,chr8,182687,183235,NC_023649.1,2803_002_autosomes_peak_26284b,255,.,14.8302,28.1957,25.5403,351
FBXO25,gene-FBXO25,183147,247701,chr8,182687,183235,NC_023649.1,2803_002_autosomes_peak_26284a,76,.,6.74102,9.90672,7.68582,113
FBXO25,gene-FBXO25,183147,247701,chr8,182687,183235,NC_023649.1,2803_002_autosomes_peak_26284b,255,.,14.8302,28.1957,25.5403,351
FBXO25,gene-FBXO25,183147,247701,chr8,225221,225439,NC_023649.1,2803_002_autosomes_peak_26285,19,.,3.37051,3.83133,1.95257,27
FBXO25,gene-FBXO25,183147,247701,chr8,232374,232710,NC_023649.1,2803_002_autosomes_peak_26286,40,.,4.71871,6.09502,4.04188,119
TDRP,gene-TDRP,267302,323918,chr8,323447,323684,NC_023649.1,2803_002_autosomes_peak_26287,40,.,4.71871,6.09502,4.04188,177
ERICH1,gene-ERICH1,444997,504020,chr8,463888,464023,NC_023649.1,2803_002_autosomes_peak_26292,64,.,6.06692,8.5891,6.41772,49
ERICH1,gene-ERICH1,444997,504020,chr8,465581,465832,NC_023649.1,2803_002_autosomes_peak_26293,19,.,3.37051,3.83133,1.95257,40
ERICH1,gene-ERICH1,444997,504020,chr8,499015,499118,NC_023649.1,2803_002_autosomes_peak_26294,29,.,4.04461,4.93036,2.95342,55
ERICH1,gene-ERICH1,444997,504020,chr8,499525,499683,NC_023649.1,2803_002_autosomes_peak_26295,29,.,4.04461,4.93036,2.95342,65
ERICH1,gene-ERICH1,444997,504020,chr8,503841,505045,NC_023649.1,2803_002_autosomes_peak_26296,811,.,35.0533,84.5261,81.1041,204
