gene_name,gene_id,gene_start,gene_end,chromosome,peak_start,peak_end,chromosome_nc,name,score,strand,signalValue,pValue,qValue,peak
SCGB1C1,gene-SCGB1C1,2628,4911,chr1,2691,3367,NC_023642.1,2803_002_autosomes_peak_1,191,.,12.1338,21.6867,19.1581,270
SCGB1C1,gene-SCGB1C1,2628,4911,chr1,3653,3754,NC_023642.1,2803_002_autosomes_peak_2,29,.,4.04461,4.93036,2.95342,85
SCGB1C1,gene-SCGB1C1,2628,4911,chr1,4357,4554,NC_023642.1,2803_002_autosomes_peak_3,19,.,3.37051,3.83133,1.95257,45
ODF3,gene-ODF3,4916,10379,chr1,5372,6292,NC_023642.1,2803_002_autosomes_peak_4,52,.,5.39281,7.31679,5.2005,788
ODF3,gene-ODF3,4916,10379,chr1,7207,7718,NC_023642.1,2803_002_autosomes_peak_5,40,.,4.71871,6.09502,4.04188,199
ODF3,gene-ODF3,4916,10379,chr1,8719,9057,NC_023642.1,2803_002_autosomes_peak_6,29,.,4.04461,4.93036,2.95342,164
BET1L,gene-BET1L,14423,18444,chr1,15690,16456,NC_023642.1,2803_002_autosomes_peak_7,64,.,6.06692,8.5891,6.41772,444
BET1L,gene-BET1L,14423,18444,chr1,16805,19568,NC_023642.1,2803_002_autosomes_peak_8a,76,.,6.74102,9.90672,7.68582,218
BET1L,gene-BET1L,14423,18444,chr1,16805,19568,NC_023642.1,2803_002_autosomes_peak_8b,131,.,9.43743,15.5552,13.1671,421
BET1L,gene-BET1L,14423,18444,chr1,16805,19568,NC_023642.1,2803_002_autosomes_peak_8c,255,.,14.8302,28.1957,25.5403,644
BET1L,gene-BET1L,14423,18444,chr1,16805,19568,NC_023642.1,2803_002_autosomes_peak_8d,731,.,32.3569,76.4505,73.1199,943
BET1L,gene-BET1L,14423,18444,chr1,16805,19568,NC_023642.1,2803_002_autosomes_peak_8e,811,.,35.0533,84.5261,81.1041,1052
BET1L,gene-BET1L,14423,18444,chr1,16805,19568,NC_023642.1,2803_002_autosomes_peak_8f,374,.,19.549,40.3031,37.4471,1333
BET1L,gene-BET1L,14423,18444,chr1,16805,19568,NC_023642.1,2803_002_autosomes_peak_8g,146,.,10.1115,17.0478,14.6228,1999
