chromosome,timepoint,gene_name,middle_x,middle_y,middle_z,cluster
chr10,24hrs,LOC103216839,75.25537098779999,-62.815872214200006,53.6497003052,-1
chr10,24hrs,LOC103216840,75.2369067802,-62.7908371378,53.6236670068,-1
chr10,24hrs,PTPN18,75.0877220454,-62.5885619406,53.4133265036,0
chr10,24hrs,IMP4,75.0326459264,-62.5138858496,53.3356728576,0
chr10,24hrs,CCDC115,75.0121445042,-62.4860885738,53.3067672228,0
chr10,24hrs,TRNAE-UUC,75.0074058628,-62.4796635892,53.3000860552,0
chr10,24hrs,TUBA3E,74.7833434614,-62.1758639646,52.9841730476,-1
chr10,24hrs,MZT2B,74.7399022004,-62.1169632356,52.9229237736,-1
chr10,24hrs,SMPD4,74.6041086968,-61.9328448152,52.7314640112,0
chr10,24hrs,CCDC74B,74.543968517,-61.851302513,52.646670378,0
chr10,24hrs,LOC103216849,74.5619245354,-61.8756485506,52.6719871636,0
chr10,24hrs,LOC103216847,74.507169378,-61.801407642,52.594786052,0
chr10,24hrs,LOC103216851,74.4469395877,-61.8795064351,52.5918798789,0
chr10,24hrs,LOC103216852,74.4533274835,-61.9797820105,52.6479164595,0
chr10,24hrs,LOC103216853,74.4736995679,-62.2995778477,52.8266266303,-1
chr10,24hrs,LOC103216854,74.4867897718,-62.505064563400005,52.9414579126,-1
chr10,24hrs,LOC103216855,74.62980604100001,-63.085170247,53.143962161000005,0
chr10,24hrs,LOC103216859,74.6392849338,-63.1185504646,53.1541811498,0
chr10,24hrs,LOC103216860,75.2373246272,-64.1888008512,52.8351808512,-1
chr10,24hrs,LOC103217006,73.8861537108,-63.2908313566,53.0311581136,-1
chr10,24hrs,LOC103216861,73.80786761819999,-62.9221365436,53.1676519819,-1
chr10,24hrs,LOC103216863,74.4618460897,-63.0679334095,53.4896229564,-1
chr10,24hrs,HS6ST1,75.739746418,-62.289697878,52.9757362,0
chr10,24hrs,UGGT1,75.41111585455,-62.7810077489,53.4544503302,0
chr10,24hrs,SAP130,75.82840276159999,-62.3775140672,52.9804534016,0
chr10,24hrs,AMMECR1L,76.17699949489999,-62.9478296579,53.1153583082,0
