gene_name,gene_id,start,end,chromosome,chromosome_nc,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
LOC103235585,gene-LOC103235585,88243,100611,chr7,NC_023648.1,0.211875695124312,0.0,5.39771667957176,0.0,1.0,NA
LOC103235708,gene-LOC103235708,233683,256011,chr7,NC_023648.1,0.177896231460551,0.0,5.39771667959173,0.0,1.0,NA
LOC103235588,gene-LOC103235588,315569,343837,chr7,NC_023648.1,0.0339794636637609,0.0,5.39771667960081,0.0,1.0,NA
LOC103235590,gene-LOC103235590,395170,427953,chr7,NC_023648.1,NA,NA,NA,NA,NA,NA
TMPRSS11E,gene-TMPRSS11E,483747,521490,chr7,NC_023648.1,0.0,NA,NA,NA,NA,NA
YTHDC1,gene-YTHDC1,633158,670000,chr7,NC_023648.1,960.434928445894,1.08990424826469,0.102480162626218,10.6352704790288,2.0423527607996095e-26,4.60604992594899e-25
TMPRSS11B,gene-TMPRSS11B,734885,748755,chr7,NC_023648.1,0.384293608347662,2.41056584699718,4.47054552298587,0.539210670063185,0.58974149874536,NA
TMPRSS11F,gene-TMPRSS11F,851831,905818,chr7,NC_023648.1,0.424836784072678,3.41258892514167,4.22445431623208,0.807817689501128,0.419195540278297,NA
LOC103235596,gene-LOC103235596,894520,896281,chr7,NC_023648.1,0.0,NA,NA,NA,NA,NA
TMPRSS11A,gene-TMPRSS11A,1005831,1046469,chr7,NC_023648.1,0.0,NA,NA,NA,NA,NA
TMPRSS11D,gene-TMPRSS11D,1076592,1146080,chr7,NC_023648.1,0.525923917308453,3.99228815724811,3.84150281133258,1.03925165575064,0.29868771221428,NA
GNRHR,gene-GNRHR,1205294,1225105,chr7,NC_023648.1,0.712521484686656,4.72146535626167,3.38084274754331,1.39653503839909,0.162553436966675,NA
UBA6,gene-UBA6,1246462,1320919,chr7,NC_023648.1,993.734715162421,0.0368126830951368,0.118401786916658,0.310913239181508,0.755866579537602,0.822964033456
STAP1,gene-STAP1,1330761,1380503,chr7,NC_023648.1,0.702344786034051,3.98652991746756,5.26776497663714,0.756778241844133,0.449182730367076,NA
CENPC,gene-CENPC,1393336,1464189,chr7,NC_023648.1,318.208102167187,1.41905038832076,0.16255302738139,8.72976905555444,2.55193175034492e-18,3.58656015771734e-17
LOC103235609,gene-LOC103235609,1749357,1774147,chr7,NC_023648.1,2.21001894785474,-2.62822578901531,1.93238954699473,-1.36009108158484,0.17380110294995,0.267575013622813
LOC103235611,gene-LOC103235611,2090210,2105004,chr7,NC_023648.1,0.0927793243868012,-0.476128189178793,5.39700391992032,-0.0882208344191498,0.929701158405676,NA
EPHA5,gene-EPHA5,3219396,3564416,chr7,NC_023648.1,20.870321746454,-1.87803723413469,0.58856907888584,-3.19085269938035,0.0014185358203697,0.0041174337627903
TECRL,gene-TECRL,4414168,4536561,chr7,NC_023648.1,0.160472968417926,0.0,5.39771667954599,0.0,1.0,NA
LOC103235616,gene-LOC103235616,5200222,5203605,chr7,NC_023648.1,204.154046423073,0.414390303529085,0.182484518166254,2.27082443866034,0.0231576079036356,0.0496013824716255
LOC103235618,gene-LOC103235618,5583716,5586498,chr7,NC_023648.1,0.116501016194285,2.41140573898208,5.39665037788042,0.446833789505034,0.654995072443755,NA
LOC103235623,gene-LOC103235623,6353920,6360168,chr7,NC_023648.1,0.0339794636637609,0.0,5.39771667960081,0.0,1.0,NA
LOC103235622,gene-LOC103235622,6408895,6420691,chr7,NC_023648.1,0.0,NA,NA,NA,NA,NA
LOC103235620,gene-LOC103235620,6472277,6487292,chr7,NC_023648.1,0.0,NA,NA,NA,NA,NA
