gene_name,gene_id,gene_start,gene_end,chromosome,peak_start,peak_end,chromosome_nc,name,score,strand,signalValue,pValue,qValue,peak
LOC103237737,gene-LOC103237737,53653,54893,chr9,53474,53747,NC_023650.1,2803_001_autosomes_peak_42252,29,.,3.84937,4.75735,2.97448,163
LOC103237737,gene-LOC103237737,53653,54893,chr9,54712,55069,NC_023650.1,2803_001_autosomes_peak_42253,47,.,4.81171,6.6564,4.77727,72
LOC103237738,gene-LOC103237738,57937,59227,chr9,58818,58985,NC_023650.1,2803_001_autosomes_peak_42256,29,.,3.84937,4.75735,2.97448,29
LOC103238131,gene-LOC103238131,110923,163286,chr9,111057,111551,NC_023650.1,2803_001_autosomes_peak_42257,78,.,6.25522,9.80253,7.81385,374
LOC103238131,gene-LOC103238131,110923,163286,chr9,120758,120895,NC_023650.1,2803_001_autosomes_peak_42258,14,.,2.88702,3.05827,1.41458,10
LOC103238131,gene-LOC103238131,110923,163286,chr9,152082,152316,NC_023650.1,2803_001_autosomes_peak_42259,21,.,3.3682,3.87986,2.15898,47
LOC103238131,gene-LOC103238131,110923,163286,chr9,160658,161065,NC_023650.1,2803_001_autosomes_peak_42260,78,.,6.25522,9.80253,7.81385,131
LOC103238131,gene-LOC103238131,110923,163286,chr9,161561,162119,NC_023650.1,2803_001_autosomes_peak_42261,57,.,5.29288,7.66889,5.74981,326
LOC103238131,gene-LOC103238131,110923,163286,chr9,162413,163177,NC_023650.1,2803_001_autosomes_peak_42262,47,.,4.81171,6.6564,4.77727,386
ZMYND11,gene-ZMYND11,162438,275764,chr9,162413,163177,NC_023650.1,2803_001_autosomes_peak_42262,47,.,4.81171,6.6564,4.77727,386
ZMYND11,gene-ZMYND11,162438,275764,chr9,163428,163750,NC_023650.1,2803_001_autosomes_peak_42263a,38,.,4.33054,5.68452,3.84989,50
ZMYND11,gene-ZMYND11,162438,275764,chr9,163428,163750,NC_023650.1,2803_001_autosomes_peak_42263b,29,.,3.84937,4.75735,2.97448,261
ZMYND11,gene-ZMYND11,162438,275764,chr9,164023,165516,NC_023650.1,2803_001_autosomes_peak_42264a,135,.,8.66107,15.6603,13.5311,369
ZMYND11,gene-ZMYND11,162438,275764,chr9,164023,165516,NC_023650.1,2803_001_autosomes_peak_42264b,198,.,11.0669,22.1082,19.8648,552
ZMYND11,gene-ZMYND11,162438,275764,chr9,164023,165516,NC_023650.1,2803_001_autosomes_peak_42264c,78,.,6.25522,9.80253,7.81385,1410
LOC103237740,gene-LOC103237740,163790,198322,chr9,164023,165516,NC_023650.1,2803_001_autosomes_peak_42264a,135,.,8.66107,15.6603,13.5311,369
LOC103237740,gene-LOC103237740,163790,198322,chr9,164023,165516,NC_023650.1,2803_001_autosomes_peak_42264b,198,.,11.0669,22.1082,19.8648,552
LOC103237740,gene-LOC103237740,163790,198322,chr9,164023,165516,NC_023650.1,2803_001_autosomes_peak_42264c,78,.,6.25522,9.80253,7.81385,1410
DIP2C,gene-DIP2C,293786,668102,chr9,306357,306587,NC_023650.1,2803_001_autosomes_peak_42265,185,.,10.5858,20.7783,18.5562,112
DIP2C,gene-DIP2C,293786,668102,chr9,311351,311672,NC_023650.1,2803_001_autosomes_peak_42266,29,.,3.84937,4.75735,2.97448,194
DIP2C,gene-DIP2C,293786,668102,chr9,333626,333819,NC_023650.1,2803_001_autosomes_peak_42267,21,.,3.3682,3.87986,2.15898,89
DIP2C,gene-DIP2C,293786,668102,chr9,337601,337717,NC_023650.1,2803_001_autosomes_peak_42268,14,.,2.88702,3.05827,1.41458,23
DIP2C,gene-DIP2C,293786,668102,chr9,362854,363030,NC_023650.1,2803_001_autosomes_peak_42269,21,.,3.3682,3.87986,2.15898,34
DIP2C,gene-DIP2C,293786,668102,chr9,377311,377651,NC_023650.1,2803_001_autosomes_peak_42270,14,.,2.88702,3.05827,1.41458,185
DIP2C,gene-DIP2C,293786,668102,chr9,379243,379380,NC_023650.1,2803_001_autosomes_peak_42271,14,.,2.88702,3.05827,1.41458,10
DIP2C,gene-DIP2C,293786,668102,chr9,395522,395642,NC_023650.1,2803_001_autosomes_peak_42272,14,.,2.88702,3.05827,1.41458,10
