gene_name,gene_id,gene_start,gene_end,chromosome,peak_start,peak_end,chromosome_nc,name,score,strand,signalValue,pValue,qValue,peak,structure_start_id,structure_end_id,start_pos,start_x,start_y,start_z,end_pos,end_x,end_y,end_z,middle,middle_percent,middle_pos,middle_x,middle_y,middle_z
LOC103228702,gene-LOC103228702,1001055,1035135,chr24,1004237,1004365,NC_023665.1,2803_002_autosomes_peak_90805,29,.,4.04461,4.93036,2.95342,50,10,11,"[-32.840201397499996, 6.8053415208, 21.2045186183]",-32.8402013975,6.8053415208,21.2045186183,"[-32.8407476375, 6.806096516, 21.2053206535]",-32.8407476375,6.806096516,21.2053206535,1004301,4.365,"[-32.8407476375, 6.806096516, 21.2053206535]",-32.8407476375,6.806096516,21.2053206535
LOC103228702,gene-LOC103228702,1001055,1035135,chr24,1004545,1004758,NC_023665.1,2803_002_autosomes_peak_90806,29,.,4.04461,4.93036,2.95342,17,10,11,"[-32.8415157875, 6.8071582280000005, 21.2064485155]",-32.8415157875,6.8071582280000005,21.2064485155,"[-32.842424765, 6.808414587200001, 21.207783152199998]",-32.842424765,6.808414587200001,21.2077831522,1004651,4.758,"[-32.842424765, 6.808414587200001, 21.207783152199998]",-32.842424765,6.808414587200001,21.2077831522
LOC103228702,gene-LOC103228702,1001055,1035135,chr24,1021328,1021640,NC_023665.1,2803_002_autosomes_peak_90807,52,.,5.39281,7.31679,5.2005,199,10,11,"[-32.91313724, 6.9061510752, 21.3116091152]",-32.91313724,6.9061510752,21.3116091152,"[-32.9144687, 6.907991376, 21.313564076]",-32.9144687,6.907991376,21.313564076,1021484,21.64,"[-32.9144687, 6.907991376, 21.313564076]",-32.9144687,6.907991376,21.313564076
LOC103228702,gene-LOC103228702,1001055,1035135,chr24,1022652,1022767,NC_023665.1,2803_002_autosomes_peak_90808,29,.,4.04461,4.93036,2.95342,46,10,11,"[-32.91878741, 6.9139605568, 21.319905166799998]",-32.91878741,6.9139605568,21.3199051668,"[-32.9192781725, 6.9146388728, 21.3206257453]",-32.9192781725,6.9146388728,21.3206257453,1022709,22.767,"[-32.9192781725, 6.9146388728, 21.3206257453]",-32.9192781725,6.9146388728,21.3206257453
LOC103228701,gene-LOC103228701,1002225,1015440,chr24,1004237,1004365,NC_023665.1,2803_002_autosomes_peak_90805,29,.,4.04461,4.93036,2.95342,50,10,11,"[-32.840201397499996, 6.8053415208, 21.2045186183]",-32.8402013975,6.8053415208,21.2045186183,"[-32.8407476375, 6.806096516, 21.2053206535]",-32.8407476375,6.806096516,21.2053206535,1004301,4.365,"[-32.8407476375, 6.806096516, 21.2053206535]",-32.8407476375,6.806096516,21.2053206535
LOC103228701,gene-LOC103228701,1002225,1015440,chr24,1004545,1004758,NC_023665.1,2803_002_autosomes_peak_90806,29,.,4.04461,4.93036,2.95342,17,10,11,"[-32.8415157875, 6.8071582280000005, 21.2064485155]",-32.8415157875,6.8071582280000005,21.2064485155,"[-32.842424765, 6.808414587200001, 21.207783152199998]",-32.842424765,6.808414587200001,21.2077831522,1004651,4.758,"[-32.842424765, 6.808414587200001, 21.207783152199998]",-32.842424765,6.808414587200001,21.2077831522
DHRS4L2,gene-DHRS4L2,1020086,1032242,chr24,1021328,1021640,NC_023665.1,2803_002_autosomes_peak_90807,52,.,5.39281,7.31679,5.2005,199,10,11,"[-32.91313724, 6.9061510752, 21.3116091152]",-32.91313724,6.9061510752,21.3116091152,"[-32.9144687, 6.907991376, 21.313564076]",-32.9144687,6.907991376,21.313564076,1021484,21.64,"[-32.9144687, 6.907991376, 21.313564076]",-32.9144687,6.907991376,21.313564076
DHRS4L2,gene-DHRS4L2,1020086,1032242,chr24,1022652,1022767,NC_023665.1,2803_002_autosomes_peak_90808,29,.,4.04461,4.93036,2.95342,46,10,11,"[-32.91878741, 6.9139605568, 21.319905166799998]",-32.91878741,6.9139605568,21.3199051668,"[-32.9192781725, 6.9146388728, 21.3206257453]",-32.9192781725,6.9146388728,21.3206257453,1022709,22.767,"[-32.9192781725, 6.9146388728, 21.3206257453]",-32.9192781725,6.9146388728,21.3206257453
LRRC16B,gene-LRRC16B,1034790,1053169,chr24,1035810,1036525,NC_023665.1,2803_002_autosomes_peak_90809,103,.,8.08922,12.6616,10.3521,115,10,11,"[-32.974939174999996, 6.991571704, 21.402351878999998]",-32.974939175,6.991571704,21.402351879,"[-32.9779904375, 6.99578906, 21.4068319975]",-32.9779904375,6.99578906,21.4068319975,1036167,36.525,"[-32.9779904375, 6.99578906, 21.4068319975]",-32.9779904375,6.99578906,21.4068319975
LRRC16B,gene-LRRC16B,1034790,1053169,chr24,1037086,1037508,NC_023665.1,2803_002_autosomes_peak_90810,64,.,6.06692,8.5891,6.41772,350,10,11,"[-32.980384504999996, 6.9990980624, 21.410347167399998]",-32.980384505,6.9990980624,21.4103471674,"[-32.98218539, 7.0015871872, 21.412991377199997]",-32.98218539,7.0015871872,21.4129913772,1037297,37.508,"[-32.98218539, 7.0015871872, 21.412991377199997]",-32.98218539,7.0015871872,21.4129913772
