gene_name,gene_id,start,end,chromosome,chromosome_nc,structure_start_id,structure_end_id,start_pos,start_x,start_y,start_z,end_pos,end_x,end_y,end_z,middle,middle_x,middle_y,middle_z,middle_percent,middle_pos
ZNF596,gene-ZNF596,29165,50523,chr8,NC_023649.1,0,1,"[-17.938047971, -34.1350306455, -40.252997644000004]",-17.938047971,-34.1350306455,-40.252997644000004,"[-17.8038642002, -34.2816041921, -40.3259053128]",-17.8038642002,-34.2816041921,-40.3259053128,39844,-17.8038642002,-34.2816041921,-40.3259053128,50.522999999999996,"[-17.8038642002, -34.2816041921, -40.3259053128]"
LOC103215255,gene-LOC103215255,152632,156049,chr8,NC_023649.1,1,2,"[-17.162354196800003, -34.9823476264, -40.6744645952]",-17.162354196800003,-34.9823476264,-40.6744645952,"[-17.1408865526, -35.0057974723, -40.6861288664]",-17.1408865526,-35.0057974723,-40.6861288664,154340,-17.1408865526,-35.0057974723,-40.6861288664,56.04900000000001,"[-17.1408865526, -35.0057974723, -40.6861288664]"
LOC103215708,gene-LOC103215708,180696,184652,chr8,NC_023649.1,1,2,"[-16.9860393104, -35.1749424392, -40.7702638656]",-16.9860393104,-35.1749424392,-40.7702638656,"[-16.9611853448, -35.2020912804, -40.7837680672]",-16.9611853448,-35.2020912804,-40.7837680672,182674,-16.9611853448,-35.2020912804,-40.7837680672,84.652,"[-16.9611853448, -35.2020912804, -40.7837680672]"
FBXO25,gene-FBXO25,183147,247701,chr8,NC_023649.1,1,3,"[-16.91361428785, -34.757519394700005, -40.4593128604]",-16.91361428785,-34.757519394700005,-40.4593128604,"[-16.46377296655, -34.8633944101, -40.4317612132]",-16.46377296655,-34.8633944101,-40.4317612132,215424,-16.46377296655,-34.8633944101,-40.4317612132,73.8505,"[-16.46377296655, -34.8633944101, -40.4317612132]"
TDRP,gene-TDRP,267302,323918,chr8,NC_023649.1,2,4,"[-16.3310113937, -35.105850509999996, -40.498505866]",-16.3310113937,-35.105850509999996,-40.498505866,"[-15.8820097133, -34.93628559, -40.214463394]",-15.8820097133,-34.93628559,-40.214463394,295610,-15.8820097133,-34.93628559,-40.214463394,61.958999999999996,"[-15.8820097133, -34.93628559, -40.214463394]"
LOC103215259,gene-LOC103215259,442403,442969,chr8,NC_023649.1,4,5,"[-15.6694457301, -34.850393724599996, -40.0198547569]",-15.6694457301,-34.850393724599996,-40.0198547569,"[-15.6746623823, -34.852288805799994, -40.0223521187]",-15.6746623823,-34.852288805799994,-40.0223521187,442686,-15.6746623823,-34.852288805799994,-40.0223521187,42.969,"[-15.6746623823, -34.852288805799994, -40.0223521187]"
ERICH1,gene-ERICH1,444997,504020,chr8,NC_023649.1,4,6,"[-15.33229567205, -34.6368387724, -39.8912426009]",-15.33229567205,-34.6368387724,-39.8912426009,"[-15.402689453, -34.542944983999995, -39.967954794]",-15.402689453,-34.542944983999995,-39.967954794,474508,-15.402689453,-34.542944983999995,-39.967954794,52.01,"[-15.402689453, -34.542944983999995, -39.967954794]"
LOC103215265,gene-LOC103215265,510361,1256653,chr8,NC_023649.1,5,13,"[-16.2041090921375, -35.042390657024995, -40.2744452364375]",-16.2041090921375,-35.042390657024995,-40.2744452364375,"[-16.4784740172875, -34.981213370325, -40.3072354411875]",-16.4784740172875,-34.981213370325,-40.3072354411875,883507,-16.4784740172875,-34.981213370325,-40.3072354411875,94.581625,"[-16.4784740172875, -34.981213370325, -40.3072354411875]"
LOC103215264,gene-LOC103215264,729126,730932,chr8,NC_023649.1,7,8,"[-14.8951092654, -34.0952150934, -39.6966951984]",-14.8951092654,-34.0952150934,-39.6966951984,"[-14.903783302799999, -34.1112539988, -39.6954281088]",-14.903783302799999,-34.1112539988,-39.6954281088,730029,-14.903783302799999,-34.1112539988,-39.6954281088,30.932,"[-14.903783302799999, -34.1112539988, -39.6954281088]"
LOC103215263,gene-LOC103215263,742787,749463,chr8,NC_023649.1,7,8,"[-14.960721682299999, -34.2165370683, -39.6871106408]",-14.960721682299999,-34.2165370683,-39.6871106408,"[-14.9927858427, -34.275825956700004, -39.6824267592]",-14.9927858427,-34.275825956700004,-39.6824267592,746125,-14.9927858427,-34.275825956700004,-39.6824267592,49.463,"[-14.9927858427, -34.275825956700004, -39.6824267592]"
LOC103215262,gene-LOC103215262,784563,795160,chr8,NC_023649.1,7,8,"[-15.1613676327, -34.5875455467, -39.6578005992]",-15.1613676327,-34.5875455467,-39.6578005992,"[-15.212263964, -34.681656444, -39.650365744000005]",-15.212263964,-34.681656444,-39.650365744000005,789861,-15.212263964,-34.681656444,-39.650365744000005,95.16,"[-15.212263964, -34.681656444, -39.650365744000005]"
LOC103215261,gene-LOC103215261,844459,845283,chr8,NC_023649.1,8,9,"[-15.4415863568, -34.8648459024, -40.0672275893]",-15.4415863568,-34.8648459024,-40.0672275893,"[-15.4454057616, -34.8674444688, -40.0750166141]",-15.4454057616,-34.8674444688,-40.0750166141,844871,-15.4454057616,-34.8674444688,-40.0750166141,45.283,"[-15.4454057616, -34.8674444688, -40.0750166141]"
