gene_name,gene_id,start,end,chromosome,chromosome_nc,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
LOC103228702,gene-LOC103228702,1001055,1035135,chr24,NC_023665.1,0.292921884919883,2.56950354302237,5.35188315389362,0.480112040778207,0.631147726892493,NA
LOC103228701,gene-LOC103228701,1002225,1015440,chr24,NC_023665.1,0.0,NA,NA,NA,NA,NA
DHRS4L2,gene-DHRS4L2,1020086,1032242,chr24,NC_023665.1,0.175085130261125,0.0,5.39771667961939,0.0,1.0,NA
LRRC16B,gene-LRRC16B,1034790,1053169,chr24,NC_023665.1,2.89801298447274,0.431994094619616,1.43553166077011,0.300929687881539,0.763468111346918,0.848826400223045
LOC103228698,gene-LOC103228698,1050226,1056397,chr24,NC_023665.1,0.0,NA,NA,NA,NA,NA
CPNE6,gene-CPNE6,1053980,1061544,chr24,NC_023665.1,0.0,NA,NA,NA,NA,NA
NRL,gene-NRL,1064266,1100995,chr24,NC_023665.1,4.00783263438182,1.75252220654901,1.24421577864005,1.40853559055853,0.158972535918111,0.282254903720509
PCK2,gene-PCK2,1077206,1087306,chr24,NC_023665.1,182.859997103223,-0.311780854514893,0.194286313675054,-1.60474944743843,0.108548955178734,0.211406494202189
DCAF11,gene-DCAF11,1100974,1110283,chr24,NC_023665.1,220.942081080994,-0.68064623817259,0.194241272221663,-3.50412778081402,0.0004581054852601,0.002022909052448
FITM1,gene-FITM1,1116201,1118814,chr24,NC_023665.1,4.27459523939218,1.36675295131971,1.14318772576022,1.19556300380221,0.231867136008663,0.372521248555654
PSME1,gene-PSME1,1122086,1124907,chr24,NC_023665.1,208.014952633004,-1.05838366339247,0.193907169034164,-5.45819769668235,4.80991935802257e-08,4.57792788521824e-07
EMC9,gene-EMC9,1124905,1127574,chr24,NC_023665.1,57.6513934230512,0.121596745527193,0.322857463122801,0.376626714312447,0.706451032107172,0.809787279045975
PSME2,gene-PSME2,1129389,1133289,chr24,NC_023665.1,204.020879471705,-0.389774824472076,0.186464372109676,-2.09034476700362,0.0365868405963154,0.0888058469707726
RNF31,gene-RNF31,1133589,1146020,chr24,NC_023665.1,258.697072353078,0.310424971390914,0.188781573022273,1.64436055077414,0.100101748705947,0.198486776600753
IRF9,gene-IRF9,1146116,1151622,chr24,NC_023665.1,94.0126208227064,0.0743153742151344,0.259881770479207,0.285958395920196,0.774909986764629,0.857101592079686
REC8,gene-REC8,1157135,1165927,chr24,NC_023665.1,4.49738798278598,1.78405397551778,1.10065012198966,1.62090926069469,0.105037100473426,0.205934931403476
IPO4,gene-IPO4,1165892,1174660,chr24,NC_023665.1,306.882831214443,-0.194034908549491,0.170290418443335,-1.13943526783955,0.254521653080749,0.397937006026068
TM9SF1,gene-TM9SF1,1174808,1181558,chr24,NC_023665.1,213.061033638257,-0.540138383778194,0.179343373557573,-3.01175545582563,0.0025974175157958,0.0094749737491945
TSSK4,gene-TSSK4,1181695,1191387,chr24,NC_023665.1,7.07451183253244,-0.490648326947356,0.936240383492047,-0.524062340824592,0.600235180580481,0.730660517407946
CHMP4A,gene-CHMP4A,1192581,1196989,chr24,NC_023665.1,71.3431497878046,-0.0797394355540062,0.309632823891122,-0.257529013080492,0.7967704211808,0.873081277110484
LOC103228715,gene-LOC103228715,1197088,1199725,chr24,NC_023665.1,36.6889741961127,0.77615144854875,0.407354851299456,1.9053448021371,0.0567352652650507,0.125926670964121
NEDD8,gene-NEDD8,1199974,1215079,chr24,NC_023665.1,146.950698916857,-0.77684607312479,0.241469577590232,-3.21715920024956,0.001294667372135,0.0051071237183355
