chromosome,id,x,y,z
NC_023642.1,1.0,71.11736,23.06844,45.88734
NC_023642.1,2.0,70.54435,23.55035,46.52954
NC_023642.1,3.0,71.21709,23.1289,45.69638
NC_023642.1,4.0,70.27561,23.36382,45.17055
NC_023642.1,5.0,70.88808,23.63971,45.97666
NC_023642.1,6.0,71.72882,23.2594,45.4986
NC_023642.1,7.0,71.00875,23.33115,46.03576
NC_023642.1,8.0,70.94176,23.12703,47.05624
NC_023642.1,9.0,70.96731,22.33441,46.26939
NC_023642.1,10.0,71.66793,22.02313,45.62326
NC_023642.1,11.0,70.95281,21.29606,46.16803
NC_023642.1,12.0,71.16234,22.04213,45.37373
NC_023642.1,13.0,71.3218,22.9243,44.76148
NC_023642.1,14.0,70.63746,22.46468,45.46746
NC_023642.1,15.0,70.28354,21.66513,46.00899
NC_023642.1,16.0,70.83584,21.87177,45.15496
NC_023642.1,17.0,71.39042,22.57298,44.89618
NC_023642.1,18.0,71.7858,21.76199,45.38527
NC_023642.1,19.0,70.88386,21.31205,44.9495
NC_023642.1,20.0,71.77879,21.44207,45.32006
NC_023642.1,21.0,71.22147,20.7315,45.59458
NC_023642.1,22.0,70.95504,21.64284,45.65596
NC_023642.1,23.0,70.71478,21.11761,46.45668
NC_023642.1,24.0,70.03479,21.20119,45.72769
NC_023642.1,25.0,70.74372,20.53077,46.02884
NC_023642.1,26.0,70.84645,21.1347,46.77903
NC_023642.1,27.0,70.87044,20.9824,45.77465
NC_023642.1,28.0,71.26443,21.71882,46.42486
NC_023642.1,29.0,70.37191,21.96356,46.95933
NC_023642.1,30.0,69.93892,22.29109,47.74993
NC_023642.1,31.0,70.76494,21.67489,47.77476
NC_023642.1,32.0,70.9504,20.78092,47.48657
NC_023642.1,33.0,70.29526,21.7078,47.35038
NC_023642.1,34.0,70.48716,20.6287,47.18833
NC_023642.1,35.0,70.93449,21.41217,47.92485
NC_023642.1,36.0,70.49756,21.10628,47.12711
NC_023642.1,37.0,70.23091,22.00572,47.43962
