seqid,start,end,id,name,seqid_old,start_id,end_id,start_pos,start_x,start_y,start_z,end_pos,end_x,end_y,end_z,middle,middle_x,middle_y,middle_z,middle_percent,middle_pos,center_of_mass,distance_from_com
chr25,1185693,1189294,gene-BTNL10,BTNL10,NC_023666.1,11,12,"[47.7194883687, -25.8706306335, -21.0586279185]",47.7194883687,-25.8706306335,-21.0586279185,"[47.7139640746, -25.828713193000002, -21.062605223]",47.7139640746,-25.828713193,-21.062605223,1187493,47.7139640746,-25.828713193,-21.062605223,89.294,"[47.7139640746, -25.828713193000002, -21.062605223]","[46.4468336946387, -25.172870477855472, -21.07721525641026]",1.4268715849386273
chr25,1187954,1189291,gene-LOC103229945,LOC103229945,NC_023666.1,11,12,"[47.7160197686, -25.844311463, -21.061125193]",47.7160197686,-25.844311463,-21.061125193,"[47.713968676899995, -25.8287481145, -21.0626019095]",47.7139686769,-25.8287481145,-21.0626019095,1188622,47.7139686769,-25.8287481145,-21.0626019095,89.291,"[47.713968676899995, -25.8287481145, -21.0626019095]","[46.4468336946387, -25.172870477855472, -21.07721525641026]",1.4268917574324513
chr25,1228235,1235292,gene-RNF187,RNF187,NC_023666.1,12,13,"[47.848933246499996, -25.892496508, -20.9479795525]",47.8489332465,-25.892496508,-20.9479795525,"[47.8867721748, -25.9395864576, -20.916374778]",47.8867721748,-25.9395864576,-20.916374778,1231763,47.8867721748,-25.9395864576,-20.916374778,35.292,"[47.8867721748, -25.9395864576, -20.916374778]","[46.4468336946387, -25.172870477855472, -21.07721525641026]",1.639251621850683
chr25,1265038,1267693,gene-LOC103229947,LOC103229947,NC_023666.1,12,13,"[48.046267252199996, -26.138075566399998, -20.783157317]",48.0462672522,-26.1380755664,-20.783157317,"[48.0605030967, -26.1557918504, -20.7712668995]",48.0605030967,-26.1557918504,-20.7712668995,1266365,48.0605030967,-26.1557918504,-20.7712668995,67.693,"[48.0605030967, -26.1557918504, -20.7712668995]","[46.4468336946387, -25.172870477855472, -21.07721525641026]",1.9140709915909067
chr25,1271322,1273983,gene-LOC103229948,LOC103229948,NC_023666.1,12,13,"[48.0799614318, -26.1800074416, -20.755014423]",48.0799614318,-26.1800074416,-20.755014423,"[48.0942294477, -26.1977637624, -20.7430971345]",48.0942294477,-26.1977637624,-20.7430971345,1272652,48.0942294477,-26.1977637624,-20.7430971345,73.983,"[48.0942294477, -26.1977637624, -20.7430971345]","[46.4468336946387, -25.172870477855472, -21.07721525641026]",1.9687442523846845
chr25,1278398,1279218,gene-LOC103229949,LOC103229949,NC_023666.1,12,13,"[48.1179022362, -26.2272241744, -20.723324557]",48.1179022362,-26.2272241744,-20.723324557,"[48.1222989942, -26.2326958704, -20.719652187]",48.1222989942,-26.2326958704,-20.719652187,1278808,48.1222989942,-26.2326958704,-20.719652187,79.218,"[48.1222989942, -26.2326958704, -20.719652187]","[46.4468336946387, -25.172870477855472, -21.07721525641026]",2.014513633938052
chr25,1279465,1280351,gene-LOC103229950,LOC103229950,NC_023666.1,12,13,"[48.123623383500004, -26.234344052, -20.7185459975]",48.1236233835,-26.234344052,-20.7185459975,"[48.1283740269, -26.2402561528, -20.7145780465]",48.1283740269,-26.2402561528,-20.7145780465,1279908,48.1283740269,-26.2402561528,-20.7145780465,80.351,"[48.1283740269, -26.2402561528, -20.7145780465]","[46.4468336946387, -25.172870477855472, -21.07721525641026]",2.024449508905995
chr25,1300485,1303990,gene-LOC103229955,LOC103229955,NC_023666.1,13,14,"[48.2299572335, -26.374677215, -20.625374775]",48.2299572335,-26.374677215,-20.625374775,"[48.202692189000004, -26.39857781, -20.61666485]",48.202692189,-26.39857781,-20.61666485,1302237,48.202692189,-26.39857781,-20.61666485,3.99,"[48.202692189000004, -26.39857781, -20.61666485]","[46.4468336946387, -25.172870477855472, -21.07721525641026]",2.1903205685785494
chr25,1304447,1305991,gene-LOC103229954,LOC103229954,NC_023666.1,13,14,"[48.1991372317, -26.401694093, -20.615529205]",48.1991372317,-26.401694093,-20.615529205,"[48.1871266101, -26.412222629, -20.611692365]",48.1871266101,-26.412222629,-20.611692365,1305219,48.1871266101,-26.412222629,-20.611692365,5.991,"[48.1871266101, -26.412222629, -20.611692365]","[46.4468336946387, -25.172870477855472, -21.07721525641026]",2.186624052867419
chr25,1312737,1322058,gene-TRIM17,TRIM17,NC_023666.1,13,14,"[48.134650150700004, -26.458223603, -20.594928555]",48.1346501507,-26.458223603,-20.594928555,"[48.062143023800004, -26.521783501999998, -20.57176587]",48.0621430238,-26.521783502,-20.57176587,1317397,48.0621430238,-26.521783502,-20.57176587,22.058,"[48.062143023800004, -26.521783501999998, -20.57176587]","[46.4468336946387, -25.172870477855472, -21.07721525641026]",2.164317365315167
